nodeId,availability,honesty,datasetSize,freq,transRate,task,dropout,malicious
0,true,0,670,80,320,0,false,false
1,true,0,810,130,790,0,false,false
2,true,0,940,100,1000,0,false,false
3,false,0,880,150,700,0,false,false
4,false,0,260,130,840,1,false,false
5,false,0,830,140,740,0,false,false
6,true,0,260,250,990,0,false,false
7,false,0,280,90,330,1,false,false
8,true,0,770,130,290,1,false,false
9,true,0,610,270,530,0,false,false
10,true,0,790,200,550,1,false,false
11,true,0,580,300,510,1,false,false
12,true,0,670,220,700,1,false,false
13,true,0,520,220,530,1,false,false
14,true,0,880,80,410,1,false,false
15,true,0,460,50,230,1,false,false
16,true,0,730,210,400,0,false,false
17,true,0,210,190,610,0,false,false
18,true,0,710,110,860,0,false,false
19,true,0,340,160,960,1,false,false
20,true,0,780,270,740,0,false,false
21,true,0,180,200,250,0,false,false
22,true,0,290,170,710,1,false,false
23,false,0,540,240,820,0,false,false
24,true,0,780,180,810,0,false,false
25,true,0,210,80,580,0,false,false
26,true,0,450,180,250,1,false,false
27,true,0,510,190,650,0,false,false
28,false,0,820,120,790,1,false,false
29,true,0,660,100,760,0,false,false
30,true,0,120,250,440,1,false,false
31,true,0,540,140,360,0,false,false
32,false,0,990,180,210,1,false,false
33,false,0,310,200,790,0,false,false
34,true,0,540,240,280,0,false,false
35,false,0,400,230,260,0,false,false
36,true,0,120,290,710,1,false,false
37,true,0,470,180,940,0,false,false
38,true,0,430,220,450,1,false,false
39,true,0,990,140,860,0,false,false
40,true,0,880,210,990,0,false,false
41,true,0,850,80,470,0,false,false
42,true,0,1000,200,970,1,false,false
43,true,0,280,250,230,0,false,false
44,true,0,550,70,210,1,false,false
45,true,0,730,240,310,1,false,false
46,true,0,290,60,920,0,false,false
47,true,0,930,240,570,0,false,false
48,true,0,770,200,530,0,false,false
49,true,0,100,190,970,0,false,false
50,true,0,100,250,890,0,false,false
51,true,0,960,130,490,0,false,false
52,true,0,880,290,150,1,false,false
53,true,0,660,300,700,0,false,false
54,true,0,540,210,870,0,false,false
55,true,0,790,140,900,0,false,false
56,true,0,240,260,960,0,false,false
57,false,0,710,240,900,0,false,false
58,true,0,200,200,190,0,false,false
59,true,0,550,260,900,1,false,false
60,true,0,770,260,610,0,false,false
61,false,0,570,180,150,0,false,false
62,true,0,490,140,180,0,false,false
63,true,0,220,230,850,0,false,false
64,true,0,890,190,730,0,false,false
65,true,0,710,160,220,0,false,false
66,false,0,480,190,170,0,false,false
67,true,0,390,60,350,0,false,false
68,false,0,330,280,600,0,false,false
69,true,0,880,220,910,1,false,false
70,true,0,970,110,760,0,false,false
71,true,0,300,290,340,1,false,false
72,true,0,390,140,340,0,false,false
73,false,0,180,200,320,0,false,false
74,true,0,240,260,310,1,false,false
75,true,0,910,140,400,0,false,false
76,true,0,770,150,240,0,false,false
77,true,0,560,280,970,0,false,false
78,true,0,950,100,550,0,false,false
79,false,0,110,240,150,0,false,false
80,false,0,570,210,610,0,false,false
81,true,0,270,130,270,0,false,false
82,true,0,120,130,630,1,false,false
83,true,0,870,170,960,0,false,false
84,true,0,980,220,990,0,false,false
85,true,0,800,240,170,0,false,false
86,true,0,700,110,260,1,false,false
87,true,0,400,210,680,1,false,false
88,true,0,590,60,610,1,false,false
89,true,0,720,270,420,0,false,false
90,true,0,130,220,500,1,false,false
91,true,0,210,300,360,0,false,false
92,false,0,760,300,470,0,false,false
93,true,0,440,100,300,1,false,false
94,true,0,690,210,370,0,false,false
95,true,0,850,160,910,0,false,false
96,true,0,740,300,480,0,false,false
97,true,0,110,110,450,0,false,false
98,false,0,940,230,490,0,false,false
99,true,0,230,90,760,1,false,false
100,true,0,770,280,300,0,false,false
101,true,0,960,170,460,1,false,false
102,true,0,870,80,450,1,false,false
103,true,0,720,230,520,0,false,false
104,true,0,600,120,960,0,false,false
105,true,0,200,230,660,0,false,false
106,true,0,480,260,770,0,false,false
107,true,0,710,270,680,1,false,false
108,true,0,960,170,630,1,false,false
109,true,0,380,280,690,1,false,false
110,false,0,410,190,760,0,false,false
111,false,0,880,200,510,1,false,false
112,true,0,290,120,530,0,false,false
113,false,0,680,120,250,0,false,false
114,true,0,120,180,630,0,false,false
115,false,0,250,150,750,0,false,false
116,true,0,850,180,960,0,false,false
117,true,0,280,80,580,0,false,false
118,true,0,210,280,340,0,false,false
119,true,0,670,60,570,0,false,false
120,true,0,790,140,450,0,false,false
121,true,0,360,290,800,0,false,false
122,false,0,100,60,710,0,false,false
123,true,0,110,240,500,0,false,false
124,true,0,790,180,660,0,false,false
125,true,0,720,280,860,1,false,false
126,true,0,990,200,170,1,false,false
127,true,0,310,300,970,0,false,false
128,true,0,940,260,970,0,false,false
129,true,0,930,60,490,0,false,false
130,true,0,900,240,610,1,false,false
131,true,0,970,220,730,0,false,false
132,true,0,620,70,240,0,false,false
133,true,0,630,80,550,0,false,false
134,true,0,560,300,750,0,false,false
135,true,0,680,50,340,0,false,false
136,true,0,760,230,960,0,false,false
137,false,0,200,250,330,0,false,false
138,true,0,910,260,680,1,false,false
139,true,0,800,120,1000,1,false,false
140,true,0,910,220,840,0,false,false
141,true,0,180,200,960,0,false,false
142,false,0,260,260,550,1,false,false
143,true,0,270,70,920,1,false,false
144,true,0,730,50,420,0,false,false
145,true,0,310,240,790,0,false,false
146,true,0,960,80,540,0,false,false
147,true,0,610,200,550,0,false,false
148,true,0,510,80,210,0,false,false
149,true,0,570,250,710,0,false,false
150,true,0,610,170,480,0,false,false
151,true,0,860,60,310,0,false,false
152,true,0,520,230,580,0,false,false
153,true,0,430,250,900,1,false,false
154,false,0,730,130,960,0,false,false
155,true,0,200,180,420,0,false,false
156,false,0,780,270,370,0,false,false
157,true,0,820,80,790,0,false,false
158,true,0,170,50,300,0,false,false
159,true,0,320,270,190,0,false,false
160,true,0,240,300,960,1,false,false
161,true,0,530,140,810,0,false,false
162,true,0,570,300,730,0,false,false
163,true,0,430,150,620,0,false,false
164,true,0,320,220,1000,0,false,false
165,true,0,1000,90,520,1,false,false
166,false,0,750,130,690,1,false,false
167,true,0,380,280,360,0,false,false
168,true,0,310,160,490,0,false,false
169,true,0,910,70,730,0,false,false
170,false,0,180,80,310,0,false,false
171,true,0,310,230,270,1,false,false
172,true,0,530,280,950,0,false,false
173,true,0,110,200,690,0,false,false
174,true,0,910,150,580,0,false,false
175,false,0,300,80,890,0,false,false
176,false,0,390,250,990,0,false,false
177,false,0,150,80,420,1,false,false
178,true,0,220,260,470,0,false,false
179,false,0,120,110,820,1,false,false
180,true,0,510,200,220,1,false,false
181,true,0,170,50,380,0,false,false
182,true,0,800,70,870,0,false,false
183,false,0,670,100,500,0,false,false
184,true,0,640,180,380,0,false,false
185,true,0,320,190,870,0,false,false
186,true,0,790,220,900,0,false,false
187,true,0,880,230,410,0,false,false
188,true,0,800,290,780,1,false,false
189,true,0,420,270,930,0,false,false
190,true,0,750,160,160,0,false,false
191,true,0,750,290,910,0,false,false
192,false,0,250,100,520,1,false,false
193,true,0,630,120,1000,0,false,false
194,true,0,270,260,850,1,false,false
195,false,0,670,160,180,0,false,false
196,true,0,140,210,650,0,false,false
197,true,0,170,230,400,0,false,false
198,true,0,200,220,930,0,false,false
199,true,0,870,80,400,0,false,false
200,true,0,850,290,940,0,false,false
201,true,0,170,190,980,0,false,false
202,true,0,520,290,1000,0,false,false
203,true,0,800,100,320,0,false,false
204,true,0,850,300,440,0,false,false
205,false,0,290,90,510,1,false,false
