nodeId,availability,honesty,datasetSize,freq,transRate,task,dropout,malicious
0,1,-34.185,730,100,550,0,0,1
1,0,0.0,710,210,860,0,0,0
2,0,0.0,680,150,880,0,0,0
3,1,0.0,970,290,160,0,0,0
4,0,0.0,410,100,780,0,0,0
5,1,5.878,870,230,310,0,0,0
6,1,-10.0,900,270,610,0,1,0
7,1,-3.301,170,140,570,0,0,0
8,1,18.0,110,60,290,1,0,0
9,1,7.781,580,140,220,0,0,0
10,1,-21.696,890,220,540,0,0,0
11,1,-21.845,410,90,720,0,0,0
12,0,0.0,240,70,500,0,0,0
13,1,8.774,530,100,780,0,0,0
14,1,0.0,810,80,330,0,0,0
15,0,0.0,620,100,930,0,0,0
16,0,0.0,230,110,840,0,0,0
17,1,4.856,860,190,290,0,0,0
18,1,8.782,410,90,390,0,0,0
19,1,-10.0,650,80,280,0,1,1
20,0,0.0,120,60,190,1,0,0
21,0,0.0,440,90,560,0,0,1
22,1,8.741,630,90,690,0,0,0
23,1,15.15,440,200,660,1,0,0
24,1,-12.904,540,140,400,0,0,0
25,1,14.46,800,270,800,1,0,0
26,1,16.946,530,300,690,1,0,0
27,1,0.0,830,170,160,0,0,0
28,1,15.93,450,90,880,1,0,0
29,0,0.0,450,60,690,0,0,0
30,1,-27.61,300,250,410,0,0,0
31,0,0.0,940,180,720,0,0,0
32,1,0.0,890,80,170,0,0,0
33,1,4.794,590,190,560,0,0,0
34,1,12.812,740,270,510,1,0,0
35,1,8.847,260,70,200,0,0,0
36,1,0.0,820,80,510,0,0,0
37,1,0.0,830,80,950,0,0,0
38,1,-26.876,990,280,610,0,0,1
39,1,0.0,830,70,680,0,0,0
40,0,0.0,490,130,760,1,0,0
41,0,0.0,190,300,1000,0,0,0
42,0,0.0,680,60,850,0,0,0
43,1,-10.0,970,230,590,0,1,1
44,1,18.0,190,60,530,1,0,0
45,0,0.0,100,130,730,1,0,0
46,1,8.734,670,140,780,0,0,0
47,1,2.914,960,210,310,0,0,0
48,0,0.0,350,240,230,0,0,0
49,1,13.863,590,140,810,1,0,0
50,1,-18.366,390,60,410,0,0,0
51,1,8.753,510,110,540,0,0,0
52,0,0.0,500,100,300,0,0,0
53,0,0.0,420,100,930,1,0,0
54,1,7.729,880,250,440,0,0,0
55,1,8.707,800,260,400,0,0,0
56,0,0.0,220,250,530,1,0,0
57,1,-38.115,840,210,770,0,0,1
58,0,0.0,380,220,590,0,0,1
59,0,0.0,800,130,310,1,1,0
60,1,18.0,130,260,450,1,0,0
61,1,8.704,910,220,600,0,0,0
62,0,0.0,860,110,280,0,0,0
63,1,6.753,1000,190,780,0,0,0
64,0,0.0,940,90,780,0,0,0
65,1,3.801,400,260,370,0,0,0
66,1,16.107,190,200,970,1,0,0
67,1,14.35,560,290,560,1,0,0
68,1,3.892,700,220,170,0,0,0
69,1,11.749,980,240,830,1,0,0
70,1,17.667,260,190,320,1,0,0
71,1,-20.0,540,270,720,0,1,0
72,1,1.943,150,140,220,0,0,0
73,1,6.779,890,140,980,0,0,0
74,0,0.0,390,170,640,0,0,0
75,1,7.816,590,90,340,0,0,0
76,1,-35.492,190,160,960,0,0,0
77,1,6.82,820,250,300,0,0,0
78,0,0.0,810,180,650,0,0,0
79,1,15.466,250,280,580,1,0,0
80,1,0.0,980,50,560,1,0,0
81,1,16.2,480,280,510,1,0,0
82,1,18.0,110,200,220,1,0,0
83,1,-34.14,480,190,220,0,0,0
84,1,15.777,110,270,720,1,0,0
85,1,2.924,980,140,680,0,0,0
86,1,15.833,190,130,770,1,0,0
87,0,0.0,620,160,790,0,0,0
88,0,0.0,150,80,730,0,0,0
89,1,4.871,810,210,270,0,0,0
90,1,-39.426,800,220,740,0,0,1
91,1,-16.013,480,100,940,0,0,1
92,1,-60.0,170,240,860,0,1,0
93,1,15.973,110,120,160,0,0,0
94,1,8.716,810,290,370,0,0,0
95,1,8.707,840,210,530,0,0,0
96,1,10.734,900,220,780,1,0,0
97,1,8.725,720,130,810,0,0,0
98,1,15.0,380,260,350,1,0,0
99,1,6.839,620,90,310,0,0,0
100,1,0.0,130,250,310,0,0,0
101,1,0.0,260,110,980,0,0,0
102,1,0.0,320,130,380,0,0,0
103,1,0.0,450,250,190,0,0,0
104,1,0.0,460,210,450,0,0,0
105,1,0.0,660,60,150,0,1,0
106,1,0.0,200,150,380,1,0,0
107,1,0.0,620,100,750,1,0,0
108,1,0.0,520,160,580,0,0,0
109,1,0.0,830,130,150,0,0,0
110,0,0.0,510,130,430,1,0,0
111,0,0.0,290,240,710,0,0,0
112,1,0.0,430,120,720,0,0,0
113,1,0.0,630,270,950,1,0,0
114,1,0.0,840,290,460,0,0,0
115,1,0.0,710,50,820,1,0,0
116,0,0.0,140,270,800,0,0,0
117,1,0.0,820,200,960,0,0,0
118,1,0.0,270,70,360,1,0,0
119,1,0.0,510,260,590,0,0,0
120,1,0.0,150,280,370,0,0,0
121,1,0.0,980,240,780,0,0,0
122,0,0.0,950,270,340,0,0,0
123,1,0.0,740,60,990,0,0,0
124,1,0.0,260,130,450,0,0,0
125,0,0.0,570,120,400,1,0,0
126,1,0.0,250,110,450,0,0,0
127,1,0.0,470,270,270,0,1,0
128,1,0.0,430,150,530,1,0,0
129,1,0.0,820,120,950,0,0,1
130,1,0.0,180,130,440,0,0,0
131,0,0.0,740,210,680,1,1,0
132,0,0.0,800,300,860,1,0,0
133,0,0.0,890,180,830,1,0,0
134,1,0.0,480,250,740,1,0,0
135,1,0.0,540,250,500,0,0,0
136,1,0.0,330,60,170,0,0,0
137,1,0.0,290,70,150,0,0,0
138,0,0.0,500,70,870,1,0,0
139,1,0.0,830,90,200,1,0,1
140,0,0.0,410,230,560,0,0,0
141,1,0.0,700,90,470,0,1,0
142,1,0.0,970,210,190,0,0,0
143,1,0.0,440,260,230,0,0,0
144,1,0.0,740,200,370,0,0,0
145,0,0.0,410,200,550,0,0,0
146,1,0.0,600,50,370,0,0,0
147,1,0.0,240,50,320,0,0,0
148,1,0.0,180,200,180,0,0,0
149,1,0.0,570,180,300,0,0,0
150,1,0.0,740,260,230,0,0,0
151,1,0.0,960,220,780,0,0,0
152,0,0.0,980,220,920,1,0,0
153,1,0.0,370,120,300,0,0,0
154,1,0.0,670,120,870,0,0,0
155,1,0.0,930,250,560,1,0,0
156,0,0.0,810,140,730,0,0,0
157,1,0.0,710,260,770,0,0,0
158,1,0.0,190,140,410,1,0,0
159,1,0.0,220,240,750,0,0,0
160,1,0.0,400,280,610,1,1,1
161,1,0.0,630,280,860,0,0,0
162,1,0.0,940,190,830,0,0,0
163,1,0.0,630,180,370,1,0,1
164,1,0.0,390,220,920,0,0,0
165,1,0.0,480,180,810,0,0,0
166,1,0.0,900,180,890,0,0,0
167,1,0.0,800,250,840,0,0,0
168,1,0.0,210,250,630,0,0,0
169,1,0.0,460,160,700,0,0,0
170,1,0.0,160,240,960,1,0,0
171,1,0.0,130,70,790,0,0,0
172,1,0.0,510,150,950,0,0,0
173,1,0.0,620,260,370,1,0,0
174,1,0.0,100,170,590,0,0,0
175,1,0.0,990,90,670,0,0,0
176,1,0.0,900,250,900,1,0,1
177,1,0.0,180,60,190,0,0,0
178,1,0.0,760,140,670,0,0,0
179,1,0.0,240,120,540,1,0,0
180,1,0.0,910,240,180,0,0,0
181,1,0.0,380,50,740,1,0,0
182,1,0.0,760,280,270,0,1,0
183,0,0.0,270,80,180,0,0,0
184,1,0.0,1000,100,740,0,0,0
185,1,0.0,350,100,550,0,0,0
186,1,0.0,500,180,930,0,0,0
187,1,0.0,700,200,610,1,0,0
188,0,0.0,890,140,240,1,0,0
189,0,0.0,890,200,230,1,0,0
190,0,0.0,820,240,420,0,1,0
191,1,0.0,660,80,780,0,0,0
192,0,0.0,520,90,170,0,0,0
193,1,0.0,270,100,920,1,0,0
194,1,0.0,850,130,830,0,0,0
195,1,0.0,820,150,390,1,1,0
196,1,0.0,490,120,370,1,1,0
197,1,0.0,680,260,890,1,0,0
198,1,0.0,790,80,740,0,0,0
199,1,0.0,720,240,940,1,0,0
200,0,0.0,920,240,640,1,0,0
201,1,0.0,730,100,430,0,1,0
202,1,0.0,810,180,180,0,0,0
203,1,0.0,910,110,220,0,0,0
204,0,0.0,650,180,880,0,0,0
205,1,0.0,330,130,270,0,0,0
206,1,0.0,500,170,590,1,0,0
207,1,0.0,920,230,570,0,0,0
208,1,0.0,260,220,320,0,0,0
209,0,0.0,650,190,980,1,0,1
210,1,0.0,810,220,820,0,0,0
211,1,0.0,250,230,200,1,1,0
212,1,0.0,900,190,1000,1,1,0
213,0,0.0,570,170,410,1,0,1
214,1,0.0,820,200,150,0,0,0
215,1,0.0,590,250,450,0,0,0
216,1,0.0,740,280,520,0,0,0
217,1,0.0,420,80,860,0,0,0
218,1,0.0,100,210,850,0,0,0
219,1,0.0,420,110,830,1,0,0
220,1,0.0,1000,190,200,0,0,0
221,1,0.0,740,70,790,0,0,0
222,1,0.0,940,100,760,0,0,0
223,1,0.0,120,250,930,1,0,0
224,1,0.0,1000,190,580,0,0,0
225,1,0.0,490,170,380,0,0,0
226,1,0.0,960,140,940,1,0,0
227,1,0.0,420,90,720,0,0,0
228,0,0.0,450,300,890,0,1,0
229,1,0.0,570,100,830,1,1,0
230,1,0.0,830,220,300,0,1,1
231,1,0.0,290,100,950,0,0,0
232,1,0.0,950,280,840,1,0,0
233,1,0.0,320,210,240,0,0,0
