modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,0,1,0,0,2,0,46,42,-1,true,17,62.16,69.0,66.13,0.0
3,3,1,0,0,2,1,17,38,23,true,17,50.0,31.9,46.0,45.96
4,5,1,0,0,2,0,17,46,-1,true,19,61.25,53.81,66.0,0.0
5,8,1,0,0,2,0,23,42,-1,true,17,50.0,62.3,52.9,0.0
6,11,1,0,0,2,0,38,0,-1,true,17,42.42,62.0,55.95,0.0
7,13,1,0,0,2,0,35,23,-1,true,18,35.71,37.27,42.64,0.0
8,14,1,0,0,2,0,38,4,-1,true,18,41.67,66.0,48.67,0.0
9,29,1,0,0,2,0,36,35,-1,true,19,56.12,57.29,55.45,0.0
10,32,1,0,0,2,0,35,46,-1,true,18,61.63,57.27,63.0,0.0
11,33,1,0,0,1,2,35,46,4,false,0,45.83,35.45,39.0,33.33
12,39,1,0,0,2,0,7,4,-1,true,19,41.67,44.74,48.0,0.0
13,44,1,0,0,2,1,19,42,46,true,19,63.54,51.76,58.39,62.0
14,45,1,0,0,2,0,4,35,-1,true,17,41.18,36.0,44.55,0.0
15,47,1,0,0,2,1,35,17,0,true,18,55.95,48.18,45.24,53.24
16,48,1,0,0,2,0,46,17,-1,true,18,71.0,75.0,65.24,0.0
17,19,1,0,1,0,0,-1,-1,-1,true,19,50.0,0.0,0.0,0.0
18,23,1,0,1,0,2,4,38,-1,true,20,50.21,0.0,0.0,0.0
19,46,1,0,1,0,0,-1,-1,-1,true,20,45.0,0.0,0.0,0.0
20,46,1,0,2,0,0,-1,-1,-1,false,0,44.17,0.0,0.0,0.0
21,0,1,1,0,2,0,11,36,-1,true,38,70.27,70.0,63.54,0.0
22,22,1,1,0,2,0,42,32,-1,true,37,75.0,73.87,66.28,0.0
23,15,1,1,0,2,0,19,21,-1,true,36,67.86,64.12,63.57,0.0
24,17,1,1,0,2,0,4,21,-1,true,36,64.29,65.33,64.29,0.0
25,34,1,1,0,2,1,7,35,42,true,38,73.08,64.21,61.82,69.35
26,3,1,1,0,2,0,21,38,-1,true,36,58.33,52.86,66.0,0.0
27,45,1,1,0,2,0,35,42,-1,true,36,64.71,61.82,69.68,0.0
28,47,1,1,0,2,0,21,11,-1,true,36,69.05,67.86,73.64,0.0
29,43,1,1,0,2,0,38,42,-1,true,37,72.22,78.0,74.84,0.0
30,12,1,1,0,2,0,4,38,-1,true,37,65.62,66.67,70.0,0.0
31,14,1,1,0,2,0,35,21,-1,true,37,68.33,70.91,65.71,0.0
32,1,1,1,0,0,2,35,19,-1,false,0,76.32,60.91,62.94,0.0
33,5,1,1,0,2,0,21,7,-1,true,39,71.25,70.71,68.42,0.0
34,13,1,1,0,2,0,4,42,-1,true,38,69.64,64.0,63.87,0.0
35,29,1,1,0,2,0,36,4,-1,true,38,62.24,64.38,67.33,0.0
36,11,1,1,1,0,0,-1,-1,-1,true,37,68.79,0.0,0.0,0.0
37,11,1,1,1,0,0,-1,-1,-1,true,38,72.12,0.0,0.0,0.0
38,11,1,1,1,1,0,4,-1,-1,true,39,69.09,0.0,0.0,0.0
39,11,1,1,2,0,0,-1,-1,-1,false,0,73.64,0.0,0.0,0.0
40,35,1,2,0,2,0,11,42,-1,true,55,72.73,74.85,77.1,0.0
41,0,1,2,0,2,0,36,7,-1,true,58,81.08,71.25,71.58,0.0
42,24,1,2,0,2,0,22,16,-1,true,56,66.67,75.87,76.0,0.0
43,40,1,2,0,2,0,42,36,-1,true,57,69.23,78.06,72.08,0.0
44,29,1,2,0,2,0,22,4,-1,true,55,70.41,71.3,71.33,0.0
45,28,1,2,0,2,0,7,38,-1,true,56,75.0,72.11,72.0,0.0
46,2,1,2,0,2,0,38,42,-1,true,57,74.24,78.0,72.26,0.0
47,44,1,2,0,2,0,45,38,-1,true,55,76.04,69.41,78.0,0.0
48,26,1,2,0,1,2,4,11,22,false,0,84.21,72.67,77.58,73.48
49,47,1,2,0,2,0,17,4,-1,true,57,80.95,75.24,77.33,0.0
50,43,1,2,0,2,0,16,42,-1,true,55,75.0,80.0,78.06,0.0
51,41,1,2,0,2,0,38,4,-1,true,56,68.75,78.0,72.67,0.0
52,48,1,2,0,2,0,45,11,-1,true,56,80.0,75.29,76.67,0.0
53,1,1,2,0,2,0,38,22,-1,true,57,76.32,78.0,71.52,0.0
54,25,1,2,0,2,0,38,16,-1,true,55,69.57,80.0,70.0,0.0
55,42,1,2,1,1,0,46,-1,-1,true,56,79.68,0.0,0.0,0.0
56,11,1,2,1,0,0,-1,-1,-1,true,57,77.88,0.0,0.0,0.0
57,11,1,2,1,0,0,-1,-1,-1,true,58,75.76,0.0,0.0,0.0
58,11,1,2,2,0,0,-1,-1,-1,false,0,74.24,0.0,0.0,0.0
59,0,1,3,0,2,0,11,42,-1,true,72,79.73,71.82,76.77,0.0
60,22,1,3,0,2,0,40,7,-1,true,73,80.43,76.15,75.79,0.0
61,29,1,3,0,2,0,35,36,-1,true,74,69.39,73.64,73.75,0.0
62,17,1,3,0,2,0,42,38,-1,true,72,76.19,82.58,80.0,0.0
63,2,1,3,0,2,0,40,42,-1,true,74,78.79,73.46,79.68,0.0
64,34,1,3,0,2,0,38,35,-1,true,72,80.77,86.0,78.18,0.0
65,45,1,3,0,2,0,19,40,-1,true,73,70.59,72.35,75.0,0.0
66,43,1,3,0,2,0,40,19,-1,true,74,76.39,73.46,68.82,0.0
67,48,1,3,0,2,0,40,35,-1,true,72,81.0,76.54,74.55,0.0
68,12,1,3,0,2,0,9,4,-1,true,73,65.62,75.38,76.0,0.0
69,14,1,3,0,2,0,42,40,-1,true,73,73.33,78.39,73.08,0.0
70,10,1,3,0,2,0,19,4,-1,true,74,69.51,67.65,70.0,0.0
71,44,1,3,0,2,0,9,11,-1,true,72,77.08,79.23,75.45,0.0
72,11,1,3,1,0,0,-1,-1,-1,true,73,80.0,0.0,0.0,0.0
73,11,1,3,1,0,0,-1,-1,-1,true,74,79.39,0.0,0.0,0.0
74,11,1,3,2,0,0,-1,-1,-1,false,0,77.58,0.0,0.0,0.0
75,0,1,4,0,2,0,11,15,-1,true,92,81.08,73.64,71.43,0.0
76,24,1,4,0,2,0,7,42,-1,true,95,73.61,78.42,81.94,0.0
77,22,1,4,0,2,0,42,38,-1,true,92,79.35,79.03,82.0,0.0
78,40,1,4,0,2,0,19,42,-1,true,93,73.08,70.0,78.71,0.0
79,32,1,4,0,2,0,4,42,-1,true,93,67.44,76.0,81.61,0.0
80,29,1,4,0,2,0,35,42,-1,true,92,71.43,72.73,78.39,0.0
81,17,1,4,0,2,0,44,15,-1,true,95,76.19,80.62,81.43,0.0
82,2,1,4,0,2,0,21,11,-1,true,92,77.27,79.29,77.88,0.0
83,25,1,4,0,2,0,15,35,-1,true,92,76.09,75.71,70.91,0.0
84,39,1,4,0,2,0,38,11,-1,true,94,75.0,82.0,78.79,0.0
85,47,1,4,0,2,0,4,19,-1,true,95,80.95,76.67,71.18,0.0
86,45,1,4,0,2,0,7,35,-1,true,94,79.41,76.58,76.36,0.0
87,43,1,4,0,2,0,21,44,-1,true,93,73.61,75.0,71.88,0.0
88,41,1,4,0,2,0,19,38,-1,true,94,75.0,73.53,82.0,0.0
89,14,1,4,0,2,0,15,44,-1,true,94,73.33,72.14,73.54,0.0
90,5,1,4,0,2,0,38,44,-1,true,95,76.25,76.0,78.33,0.0
91,10,1,4,0,2,0,38,15,-1,true,93,73.17,78.0,68.57,0.0
92,11,1,4,1,0,0,-1,-1,-1,true,93,77.88,0.0,0.0,0.0
93,42,1,4,1,0,0,-1,-1,-1,true,94,80.32,0.0,0.0,0.0
94,42,1,4,1,0,0,-1,-1,-1,true,95,83.23,0.0,0.0,0.0
95,42,1,4,2,0,0,-1,-1,-1,false,0,84.52,0.0,0.0,0.0
96,35,1,5,0,2,0,7,0,-1,true,112,63.64,78.68,79.73,0.0
