modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,2,1,0,0,2,0,20,11,-1,true,10,65.15,70.0,72.36,0.0
3,6,1,0,0,2,0,18,20,-1,true,10,36.11,41.2,44.0,0.0
4,14,1,0,0,2,0,18,11,-1,true,11,53.33,54.6,71.64,0.0
5,21,1,0,0,2,0,41,24,-1,true,10,32.14,45.0,42.67,0.0
6,22,1,0,0,2,0,11,43,-1,true,10,65.22,80.36,61.39,0.0
7,25,1,0,0,2,0,5,10,-1,true,11,50.0,58.2,55.9,0.0
8,35,1,0,0,2,0,10,11,-1,true,10,31.82,38.05,49.45,0.0
9,36,1,0,0,2,0,41,18,-1,true,11,51.04,63.38,60.4,0.0
10,5,1,0,1,0,0,-1,-1,-1,true,11,44.25,0.0,0.0,0.0
11,18,1,0,2,0,0,-1,-1,-1,false,0,44.4,0.0,0.0,0.0
12,0,1,1,0,2,0,41,24,-1,true,23,62.16,64.06,65.83,0.0
13,6,1,1,0,2,0,11,44,-1,true,22,69.44,65.76,64.38,0.0
14,28,1,1,0,2,0,12,43,-1,true,22,62.5,57.5,69.33,0.0
15,25,1,1,0,1,2,43,33,11,false,0,76.09,75.33,60.83,63.64
16,46,1,1,0,2,0,15,24,-1,true,22,45.83,59.29,52.78,0.0
17,2,1,1,0,2,0,15,11,-1,true,22,69.7,65.0,66.36,0.0
18,1,1,1,0,2,0,15,12,-1,true,23,52.63,66.43,60.62,0.0
19,36,1,1,0,2,0,15,44,-1,true,23,64.58,68.57,66.46,0.0
20,35,1,1,0,2,0,44,33,-1,true,22,50.0,57.92,56.67,0.0
21,31,1,1,0,2,1,44,41,11,true,23,71.88,62.92,61.25,70.3
22,15,1,1,1,1,0,26,-1,-1,true,23,72.14,0.0,0.0,0.0
23,11,1,1,2,0,0,-1,-1,-1,false,0,74.24,0.0,0.0,0.0
24,0,1,2,0,2,0,24,33,-1,true,36,71.62,73.06,71.67,0.0
25,40,1,2,0,2,0,44,10,-1,true,38,65.38,65.83,66.34,0.0
26,8,1,2,0,2,0,4,15,-1,true,36,62.96,66.0,70.0,0.0
27,21,1,2,0,2,0,41,24,-1,true,37,71.43,68.12,68.89,0.0
28,22,1,2,0,2,0,10,15,-1,true,36,77.17,73.41,75.71,0.0
