modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,0,1,0,0,2,0,6,35,-1,true,22,55.41,73.33,58.18,0.0
3,2,1,0,0,2,0,20,21,-1,true,23,51.52,66.0,72.0,0.0
4,3,1,0,0,1,2,35,6,16,false,0,41.67,23.64,40.0,26.4
5,4,1,0,0,2,0,38,40,-1,true,20,40.0,32.0,37.69,0.0
6,8,1,0,0,2,0,16,6,-1,true,22,42.59,57.6,62.0,0.0
7,11,1,0,0,2,1,0,35,21,true,21,54.55,44.86,40.0,60.86
8,22,1,0,0,2,0,21,46,-1,true,20,67.39,76.29,75.0,0.0
9,24,1,0,0,2,0,9,16,-1,true,22,55.56,69.23,72.0,0.0
10,26,1,0,0,2,0,16,21,-1,true,20,42.11,52.8,54.86,0.0
11,29,1,0,0,2,0,21,40,-1,true,23,61.22,78.0,56.15,0.0
12,30,1,0,0,2,0,28,21,-1,true,20,47.73,47.5,59.14,0.0
13,33,1,0,0,2,0,40,28,-1,true,23,37.5,30.0,28.33,0.0
14,34,1,0,0,2,0,6,21,-1,true,22,36.54,48.0,58.29,0.0
15,39,1,0,0,2,0,9,20,-1,true,21,39.58,53.54,54.0,0.0
16,42,1,0,0,2,0,16,28,-1,true,21,33.87,57.6,47.5,0.0
17,44,1,0,0,2,0,35,6,-1,true,21,55.21,56.36,73.33,0.0
18,45,1,0,0,2,0,20,38,-1,true,20,38.24,46.0,40.0,0.0
19,47,1,0,0,2,0,38,16,-1,true,23,53.57,46.0,57.6,0.0
20,21,1,0,1,1,2,0,45,-1,true,21,42.86,0.0,0.0,0.0
21,6,1,0,1,0,2,0,17,-1,true,22,45.0,0.0,0.0,0.0
22,6,1,0,1,0,2,22,40,-1,true,23,45.56,0.0,0.0,0.0
23,6,1,0,2,0,0,-1,-1,-1,false,0,46.11,0.0,0.0,0.0
24,8,1,1,0,2,0,0,15,-1,true,43,59.26,68.11,70.71,0.0
25,24,1,1,0,2,0,40,28,-1,true,45,65.28,68.46,74.17,0.0
26,29,1,1,0,2,0,42,4,-1,true,45,69.39,68.06,69.33,0.0
27,2,1,1,0,2,0,25,38,-1,true,43,71.21,68.26,78.0,0.0
28,17,1,1,0,2,0,22,28,-1,true,42,66.67,73.48,69.17,0.0
29,11,1,1,0,2,0,4,26,-1,true,43,75.76,74.0,71.58,0.0
30,34,1,1,0,2,0,15,22,-1,true,42,55.77,68.57,68.48,0.0
31,44,1,1,0,2,0,26,40,-1,true,42,67.71,71.58,73.08,0.0
32,39,1,1,0,2,0,38,40,-1,true,42,62.5,68.0,69.62,0.0
33,33,1,1,0,2,0,28,38,-1,true,42,66.67,66.67,68.0,0.0
34,45,1,1,0,2,0,40,22,-1,true,44,64.71,66.54,68.48,0.0
35,47,1,1,0,2,0,28,42,-1,true,44,75.0,74.17,71.94,0.0
36,43,1,1,0,2,0,26,38,-1,true,45,58.33,74.74,78.0,0.0
37,19,1,1,0,2,0,38,40,-1,true,45,58.82,64.0,63.08,0.0
38,48,1,1,0,2,0,4,28,-1,true,44,72.0,76.0,75.0,0.0
39,12,1,1,0,2,0,0,22,-1,true,45,62.5,68.92,69.35,0.0
40,1,1,1,0,2,0,42,38,-1,true,43,60.53,66.77,66.0,0.0
41,32,1,1,0,2,0,28,26,-1,true,44,62.79,75.0,70.0,0.0
42,40,1,1,1,1,0,28,-1,-1,true,43,68.85,0.0,0.0,0.0
43,38,1,1,1,1,0,15,-1,-1,true,44,72.0,0.0,0.0,0.0
44,26,1,1,1,1,0,28,-1,-1,true,46,75.79,0.0,0.0,0.0
45,38,1,1,1,0,0,-1,-1,-1,true,46,72.0,0.0,0.0,0.0
46,38,1,1,2,0,0,-1,-1,-1,false,0,74.0,0.0,0.0,0.0
47,35,1,2,0,2,0,28,42,-1,true,66,63.64,74.17,80.65,0.0
48,8,1,2,0,2,0,4,22,-1,true,67,70.37,78.67,75.43,0.0
49,29,1,2,0,2,0,28,26,-1,true,66,75.51,70.83,73.16,0.0
50,24,1,2,0,2,0,0,15,-1,true,68,68.06,74.32,77.14,0.0
51,32,1,2,0,2,0,4,38,-1,true,68,70.93,82.67,84.0,0.0
52,17,1,2,0,2,0,22,38,-1,true,66,66.67,78.04,76.0,0.0
53,2,1,2,0,2,0,40,42,-1,true,69,66.67,70.77,73.55,0.0
54,44,1,2,0,2,0,15,42,-1,true,67,70.83,77.14,72.58,0.0
55,34,1,2,0,2,0,0,15,-1,true,66,67.31,76.22,77.14,0.0
56,30,1,2,0,2,1,26,22,0,true,69,81.82,70.0,72.61,74.05
57,45,1,2,0,2,0,40,22,-1,true,68,67.65,68.08,72.39,0.0
58,33,1,2,0,0,2,38,40,-1,false,0,83.33,70.0,68.46,0.0
59,19,1,2,0,2,0,38,22,-1,true,70,55.88,74.0,75.43,0.0
60,43,1,2,0,2,0,25,28,-1,true,67,65.28,72.61,71.67,0.0
61,48,1,2,0,2,0,38,40,-1,true,67,79.0,78.0,77.69,0.0
62,12,1,2,0,2,0,26,38,-1,true,69,68.75,75.26,80.0,0.0
63,1,1,2,0,2,0,40,0,-1,true,68,68.42,72.69,74.86,0.0
64,11,1,2,0,2,0,25,28,-1,true,66,77.27,73.48,72.5,0.0
65,47,1,2,0,2,0,28,40,-1,true,69,71.43,70.83,68.46,0.0
66,26,1,2,1,0,0,-1,-1,-1,true,67,77.37,0.0,0.0,0.0
67,28,1,2,1,0,0,-1,-1,-1,true,68,76.67,0.0,0.0,0.0
68,28,1,2,1,1,0,28,-1,-1,true,69,78.33,0.0,0.0,0.0
69,38,1,2,1,0,0,-1,-1,-1,true,70,84.0,0.0,0.0,0.0
70,28,1,2,2,0,0,-1,-1,-1,false,0,75.83,0.0,0.0,0.0
71,24,1,3,0,2,0,15,22,-1,true,90,68.06,77.14,78.26,0.0
72,29,1,3,0,2,0,25,38,-1,true,92,76.53,73.48,78.0,0.0
73,17,1,3,0,2,0,28,38,-1,true,89,71.43,74.17,72.0,0.0
74,32,1,3,0,2,0,28,42,-1,true,91,70.93,78.33,76.45,0.0
75,2,1,3,0,2,0,40,42,-1,true,92,75.76,72.69,73.23,0.0
76,11,1,3,0,2,0,4,38,-1,true,90,81.82,80.67,72.0,0.0
77,44,1,3,0,2,0,42,40,-1,true,89,68.75,71.94,73.08,0.0
78,26,1,3,0,2,0,40,45,-1,true,89,63.16,76.54,74.71,0.0
79,30,1,3,0,2,0,38,8,-1,true,89,77.27,80.0,78.89,0.0
80,34,1,3,0,2,0,15,25,-1,true,90,69.23,79.29,76.09,0.0
81,39,1,3,0,2,0,22,28,-1,true,89,75.0,80.0,80.83,0.0
82,19,1,3,0,2,0,22,38,-1,true,92,64.71,78.91,88.0,0.0
83,41,1,3,0,2,0,15,22,-1,true,91,78.12,79.29,81.74,0.0
84,48,1,3,0,2,0,4,40,-1,true,90,81.0,80.0,76.15,0.0
85,12,1,3,0,2,0,28,40,-1,true,92,68.75,76.67,76.92,0.0
86,14,1,3,0,2,0,25,28,-1,true,91,76.67,75.65,80.83,0.0
87,1,1,3,0,2,0,42,45,-1,true,91,57.89,73.23,73.53,0.0
88,13,1,3,0,1,2,38,4,15,false,0,85.71,74.0,76.0,75.71
89,40,1,3,1,0,0,-1,-1,-1,true,90,78.85,0.0,0.0,0.0
90,40,1,3,1,0,0,-1,-1,-1,true,91,80.0,0.0,0.0,0.0
91,40,1,3,1,0,0,-1,-1,-1,true,92,79.62,0.0,0.0,0.0
92,40,1,3,2,0,0,-1,-1,-1,false,0,77.31,0.0,0.0,0.0
93,29,1,4,0,2,0,0,28,-1,true,112,75.51,74.59,73.33,0.0
94,24,1,4,0,2,0,0,42,-1,true,113,69.44,78.38,78.39,0.0
95,2,1,4,0,2,0,28,42,-1,true,115,81.82,80.0,76.45,0.0
96,32,1,4,0,2,0,22,28,-1,true,114,74.42,81.3,79.17,0.0
97,44,1,4,0,2,0,8,40,-1,true,115,73.96,77.78,76.15,0.0
98,34,1,4,0,2,0,28,42,-1,true,113,73.08,71.67,77.1,0.0
99,11,1,4,0,2,0,45,40,-1,true,112,81.82,76.47,76.54,0.0
100,4,1,4,0,2,0,42,22,-1,true,115,76.67,77.74,77.17,0.0
101,26,1,4,0,2,0,40,17,-1,true,112,76.32,76.15,76.67,0.0
102,30,1,4,0,2,0,22,40,-1,true,114,84.09,79.35,75.38,0.0
103,39,1,4,0,2,0,15,22,-1,true,112,77.08,81.43,82.39,0.0
104,47,1,4,0,2,0,40,0,-1,true,115,79.76,79.23,80.81,0.0
105,43,1,4,0,2,0,15,22,-1,true,116,72.22,80.0,81.3,0.0
106,48,1,4,0,2,0,17,25,-1,true,113,76.0,76.67,70.87,0.0
107,12,1,4,0,2,0,25,40,-1,true,113,75.0,76.52,78.08,0.0
108,14,1,4,0,2,0,15,40,-1,true,114,75.0,79.29,76.92,0.0
109,1,1,4,0,2,0,45,0,-1,true,114,71.05,78.82,77.3,0.0
