modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,4,1,0,0,2,0,15,38,-1,true,19,40.0,40.0,34.0,0.0
3,5,1,0,0,2,0,38,33,-1,true,22,55.0,56.0,59.17,0.0
4,6,1,0,0,2,1,9,38,46,true,19,44.44,51.69,34.0,37.5
5,7,1,0,0,2,1,32,38,9,true,22,68.42,59.53,48.0,70.15
6,8,1,0,0,2,0,9,33,-1,true,20,44.44,50.77,44.17,0.0
7,12,1,0,0,2,0,11,32,-1,true,22,31.25,44.55,46.74,0.0
8,16,1,0,0,2,0,38,20,-1,true,19,10.0,22.0,18.33,0.0
9,19,1,0,0,2,0,40,9,-1,true,22,23.53,27.69,45.23,0.0
10,22,1,0,0,2,0,40,0,-1,true,19,58.7,60.0,63.51,0.0
11,24,1,0,0,2,0,9,11,-1,true,21,61.11,70.15,56.97,0.0
12,28,1,0,0,2,0,32,40,-1,true,21,37.5,37.21,30.0,0.0
13,30,1,0,0,2,0,11,0,-1,true,20,43.18,43.64,41.89,0.0
14,31,1,0,0,2,0,9,33,-1,true,21,42.19,64.62,54.17,0.0
15,34,1,0,0,2,0,1,9,-1,true,21,63.46,56.84,63.69,0.0
16,37,1,0,0,2,0,15,40,-1,true,20,29.17,25.71,25.38,0.0
17,39,1,0,0,2,0,46,40,-1,true,19,37.5,38.33,43.46,0.0
18,45,1,0,0,2,0,33,20,-1,true,20,26.47,34.17,25.0,0.0
19,38,1,0,1,1,1,15,28,-1,true,20,38.0,0.0,0.0,0.0
20,38,1,0,1,1,1,46,11,-1,true,21,30.0,0.0,0.0,0.0
21,9,1,0,1,1,2,25,3,-1,true,22,45.38,0.0,0.0,0.0
22,9,1,0,2,0,0,-1,-1,-1,false,0,43.85,0.0,0.0,0.0
23,16,1,1,0,2,0,23,28,-1,true,40,50.0,60.43,58.33,0.0
24,21,1,1,0,2,0,46,15,-1,true,39,53.57,67.0,79.71,0.0
25,2,1,1,0,2,0,46,15,-1,true,41,59.09,70.0,72.0,0.0
26,29,1,1,0,2,0,46,15,-1,true,39,61.22,67.0,82.29,0.0
27,17,1,1,0,2,0,38,23,-1,true,39,59.52,54.0,61.28,0.0
28,11,1,1,0,2,0,6,28,-1,true,39,69.7,69.33,60.83,0.0
29,39,1,1,0,2,0,7,23,-1,true,40,52.08,76.11,63.19,0.0
30,3,1,1,0,0,2,8,38,-1,false,0,75.0,60.0,58.0,0.0
31,45,1,1,0,0,2,28,38,-1,false,0,61.76,50.0,50.0,0.0
32,33,1,1,0,2,0,5,46,-1,true,41,58.33,64.0,67.0,0.0
33,47,1,1,0,0,2,25,38,-1,false,0,95.71,73.04,64.0,0.0
34,19,1,1,0,2,0,46,28,-1,true,40,52.94,73.0,63.33,0.0
35,37,1,1,0,2,0,6,8,-1,true,39,54.17,68.0,60.37,0.0
36,12,1,1,0,2,0,8,46,-1,true,41,75.0,67.78,70.0,0.0
37,10,1,1,0,2,1,23,38,7,true,41,71.95,64.04,60.0,76.74
38,48,1,1,0,2,0,6,46,-1,true,40,72.0,82.0,75.0,0.0
