modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,1,1,0,0,2,0,19,11,-1,true,9,39.47,45.18,45.45,0.0
3,12,1,0,0,2,0,35,11,-1,true,8,56.25,56.73,51.27,0.0
4,20,1,0,0,2,0,40,43,-1,true,8,8.33,40.62,33.61,0.0
5,29,1,0,0,2,0,11,40,-1,true,8,60.2,73.82,71.54,0.0
6,31,1,0,0,2,0,35,40,-1,true,8,54.69,67.64,65.54,0.0
7,37,1,0,0,2,0,40,3,-1,true,8,41.67,39.69,35.0,0.0
8,40,1,0,1,0,2,13,18,-1,true,9,44.23,0.0,0.0,0.0
9,40,1,0,2,0,0,-1,-1,-1,false,0,42.69,0.0,0.0,0.0
10,26,1,1,0,2,0,13,3,-1,true,14,65.79,66.43,63.33,0.0
11,39,1,1,0,2,0,3,49,-1,true,14,50.0,66.67,66.19,0.0
12,12,1,1,0,2,1,3,20,47,true,14,65.62,55.0,63.33,74.57
13,1,1,1,0,2,0,20,18,-1,true,14,65.79,66.67,67.2,0.0
14,13,1,1,2,0,0,-1,-1,-1,false,0,67.86,0.0,0.0,0.0
15,39,1,2,0,2,0,7,3,-1,true,19,50.0,65.53,70.0,0.0
16,43,1,2,0,2,0,47,2,-1,true,19,76.39,86.57,69.09,0.0
17,37,1,2,0,2,0,2,3,-1,true,19,62.5,55.45,55.0,0.0
18,12,1,2,0,2,1,3,1,7,true,19,68.75,58.33,62.63,63.68
19,7,1,2,2,0,0,-1,-1,-1,false,0,66.58,0.0,0.0,0.0
20,29,1,3,0,2,0,11,16,-1,true,25,71.43,73.03,79.2,0.0
21,34,1,3,0,1,2,47,40,16,false,0,92.31,92.86,76.54,79.2
22,39,1,3,0,2,0,40,18,-1,true,25,58.33,71.54,67.2,0.0
23,31,1,3,0,2,0,47,40,-1,true,25,71.88,85.14,74.62,0.0
24,43,1,3,0,2,0,40,11,-1,true,25,80.56,72.69,74.55,0.0
25,40,1,3,2,0,0,-1,-1,-1,false,0,75.0,0.0,0.0,0.0
26,15,1,4,0,2,0,49,20,-1,true,32,75.0,73.81,75.0,0.0
27,44,1,4,0,2,0,3,1,-1,true,32,75.0,80.0,73.16,0.0
28,39,1,4,0,2,0,20,18,-1,true,32,50.0,61.67,64.2,0.0
29,31,1,4,0,2,0,20,47,-1,true,32,76.56,71.67,89.71,0.0
30,43,1,4,0,2,1,47,3,49,true,33,79.17,90.29,68.33,76.19
31,37,1,4,0,2,0,20,3,-1,true,32,70.83,63.33,66.67,0.0
32,20,1,4,1,1,0,20,-1,-1,true,33,73.33,0.0,0.0,0.0
33,49,1,4,2,0,0,-1,-1,-1,false,0,75.95,0.0,0.0,0.0
34,26,1,5,0,2,0,11,40,-1,true,37,71.05,70.3,75.77,0.0
35,39,1,5,0,2,0,40,6,-1,true,37,62.5,73.46,66.67,0.0
36,1,1,5,0,2,0,11,40,-1,true,37,60.53,71.21,75.0,0.0
37,11,1,5,2,0,0,-1,-1,-1,false,0,72.73,0.0,0.0,0.0
38,20,1,6,0,2,0,39,35,-1,true,43,66.67,62.5,67.27,0.0
39,15,1,6,0,2,0,33,39,-1,true,43,75.0,74.17,71.67,0.0
40,34,1,6,0,2,1,35,6,47,true,43,85.38,76.36,74.44,88.29
41,26,1,6,0,2,0,10,33,-1,true,43,73.68,69.51,74.17,0.0
42,43,1,6,0,1,2,33,39,10,false,0,81.94,75.0,70.83,70.24
43,10,1,6,2,0,0,-1,-1,-1,false,0,71.71,0.0,0.0,0.0
44,34,1,7,0,0,2,19,42,-1,false,0,99.23,79.41,78.39,0.0
45,39,1,7,0,2,0,13,48,-1,true,49,58.33,70.0,69.2,0.0
46,3,1,7,0,2,0,42,11,-1,true,49,58.33,65.48,65.15,0.0
47,1,1,7,0,2,0,42,11,-1,true,49,71.05,73.55,71.82,0.0
48,29,1,7,0,2,0,48,19,-1,true,49,77.55,77.4,81.76,0.0
49,42,1,7,2,0,0,-1,-1,-1,false,0,75.48,0.0,0.0,0.0
50,15,1,8,0,2,0,7,13,-1,true,59,78.57,78.16,81.43,0.0
51,29,1,8,0,2,0,6,17,-1,true,58,76.53,72.22,68.1,0.0
52,26,1,8,0,2,0,17,39,-1,true,58,76.32,67.14,67.92,0.0
53,3,1,8,0,2,0,13,17,-1,true,58,58.33,70.0,60.95,0.0
54,43,1,8,0,2,1,10,17,6,true,59,83.33,73.41,71.9,76.67
55,31,1,8,0,2,0,6,39,-1,true,58,78.12,77.78,77.08,0.0
56,1,1,8,0,2,0,6,17,-1,true,58,73.68,71.67,66.19,0.0
57,37,1,8,0,2,0,6,49,-1,true,59,66.67,67.78,70.95,0.0
58,7,1,8,1,1,0,7,-1,-1,true,59,77.89,0.0,0.0,0.0
59,7,1,8,2,0,0,-1,-1,-1,false,0,78.95,0.0,0.0,0.0
60,39,1,9,0,2,0,18,47,-1,true,64,62.5,75.2,90.57,0.0
61,3,1,9,0,2,0,49,18,-1,true,64,58.33,63.33,63.8,0.0
62,43,1,9,0,2,1,16,20,13,true,64,83.33,60.2,81.67,83.57
63,37,1,9,0,2,0,47,16,-1,true,64,66.67,84.0,84.0,0.0
64,18,1,9,2,0,0,-1,-1,-1,false,0,77.4,0.0,0.0,0.0
65,20,1,10,0,2,0,33,17,-1,true,72,66.67,67.5,60.0,0.0
