modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,1,1,0,0,2,0,12,37,-1,true,10,50.0,55.5,52.5,0.0
3,2,1,0,0,2,0,39,37,-1,true,9,54.55,57.5,51.67,0.0
4,14,1,0,0,2,0,39,11,-1,true,9,56.67,64.5,66.91,0.0
5,27,1,0,0,2,0,10,39,-1,true,9,58.16,70.24,71.0,0.0
6,28,1,0,0,2,0,37,18,-1,true,9,33.33,35.83,30.0,0.0
7,43,1,0,0,2,0,11,24,-1,true,10,59.72,74.91,67.33,0.0
8,46,1,0,0,2,0,11,41,-1,true,9,37.5,39.64,37.12,0.0
9,11,1,0,1,1,1,37,11,-1,true,10,43.64,0.0,0.0,0.0
10,37,1,0,2,0,0,-1,-1,-1,false,0,52.5,0.0,0.0,0.0
11,22,1,1,0,2,1,20,10,43,true,21,72.83,60.0,64.88,77.33
12,8,1,1,0,2,0,12,20,-1,true,20,68.52,75.62,65.0,0.0
13,40,1,1,0,2,0,41,12,-1,true,21,73.08,68.44,66.88,0.0
14,28,1,1,0,2,0,24,43,-1,true,20,54.17,53.89,69.0,0.0
15,25,1,1,0,2,0,43,4,-1,true,20,67.39,75.67,62.0,0.0
16,31,1,1,0,2,0,11,20,-1,true,20,57.81,69.7,65.0,0.0
17,37,1,1,0,2,0,20,33,-1,true,20,37.5,45.0,57.5,0.0
18,14,1,1,0,2,0,24,41,-1,true,21,75.0,67.5,72.19,0.0
19,18,1,1,0,2,1,20,5,24,true,21,72.0,56.67,65.5,65.28
20,20,1,1,1,1,0,24,-1,-1,true,21,58.33,0.0,0.0,0.0
21,24,1,1,2,0,0,-1,-1,-1,false,0,69.44,0.0,0.0,0.0
22,22,1,2,0,2,0,33,31,-1,true,27,71.74,66.67,65.62,0.0
23,28,1,2,0,2,0,2,7,-1,true,27,62.5,66.97,68.95,0.0
24,25,1,2,0,2,0,4,33,-1,true,27,69.57,69.33,80.0,0.0
25,46,1,2,0,2,0,10,33,-1,true,27,66.67,57.8,67.5,0.0
26,37,1,2,0,2,0,4,33,-1,true,27,54.17,64.67,74.17,0.0
27,33,1,2,1,1,0,15,-1,-1,true,28,73.33,0.0,0.0,0.0
28,33,1,2,2,0,0,-1,-1,-1,false,0,73.33,0.0,0.0,0.0
29,27,1,3,0,2,0,39,44,-1,true,39,67.35,67.5,69.17,0.0
30,21,1,3,0,2,0,43,15,-1,true,39,57.14,78.33,69.29,0.0
31,35,1,3,0,2,0,10,41,-1,true,40,59.09,65.37,67.19,0.0
32,22,1,3,0,2,0,15,11,-1,true,39,72.83,68.57,70.61,0.0
33,40,1,3,0,2,1,44,39,43,true,40,76.92,65.83,67.5,78.0
34,8,1,3,0,2,1,24,43,11,true,40,79.63,69.17,84.0,76.06
35,25,1,3,0,2,0,41,44,-1,true,39,69.57,75.0,70.42,0.0
36,2,1,3,0,2,0,28,39,-1,true,39,74.24,72.5,70.83,0.0
37,36,1,3,0,2,0,39,10,-1,true,41,70.83,70.42,72.44,0.0
38,37,1,3,0,2,0,31,15,-1,true,40,62.5,67.81,66.43,0.0
39,44,1,3,1,0,0,-1,-1,-1,true,40,75.42,0.0,0.0,0.0
40,43,1,3,1,0,0,-1,-1,-1,true,41,70.28,0.0,0.0,0.0
41,43,1,3,2,0,0,-1,-1,-1,false,0,74.72,0.0,0.0,0.0
42,21,1,4,0,2,0,33,24,-1,true,54,75.0,85.0,75.83,0.0
43,0,1,4,0,2,0,44,5,-1,true,56,77.03,78.33,73.5,0.0
44,35,1,4,0,2,0,4,15,-1,true,54,81.82,77.33,80.71,0.0
45,6,1,4,0,2,0,5,16,-1,true,56,83.33,74.5,80.0,0.0
46,40,1,4,0,2,0,26,33,-1,true,54,76.92,85.79,72.5,0.0
47,8,1,4,0,2,0,16,10,-1,true,55,81.48,84.0,83.41,0.0
48,28,1,4,0,2,0,15,26,-1,true,54,79.17,79.29,85.26,0.0
49,46,1,4,0,2,0,16,18,-1,true,55,79.17,80.0,79.4,0.0
50,2,1,4,0,2,0,4,33,-1,true,55,84.85,76.0,79.17,0.0
51,31,1,4,0,2,0,4,33,-1,true,55,78.12,79.33,81.67,0.0
52,37,1,4,0,2,0,16,26,-1,true,54,66.67,78.0,79.47,0.0
53,36,1,4,0,2,0,26,4,-1,true,56,73.96,83.68,75.33,0.0
54,16,1,4,1,0,0,-1,-1,-1,true,55,80.0,0.0,0.0,0.0
55,33,1,4,1,1,0,5,-1,-1,true,56,80.83,0.0,0.0,0.0
56,5,1,4,2,0,0,-1,-1,-1,false,0,77.0,0.0,0.0,0.0
57,35,1,5,0,2,0,6,4,-1,true,65,77.27,81.11,76.67,0.0
58,21,1,5,0,2,0,5,37,-1,true,66,64.29,74.0,81.67,0.0
59,8,1,5,0,2,0,6,20,-1,true,65,85.19,77.78,80.0,0.0
60,28,1,5,0,2,0,37,5,-1,true,66,79.17,82.5,75.75,0.0
