modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,3,1,0,0,2,0,40,9,-1,true,24,33.33,47.08,39.23,0.0
3,4,1,0,0,2,0,38,40,-1,true,21,50.0,44.0,57.23,0.0
4,11,1,0,0,2,0,21,6,-1,true,23,51.52,55.0,57.78,0.0
5,17,1,0,0,2,0,20,21,-1,true,21,40.48,55.0,56.43,0.0
6,23,1,0,0,2,0,38,16,-1,true,24,64.89,68.0,62.0,0.0
7,24,1,0,0,2,0,21,20,-1,true,23,68.06,65.0,60.0,0.0
8,25,1,0,0,2,0,6,21,-1,true,21,39.13,47.22,47.86,0.0
9,26,1,0,0,2,0,21,6,-1,true,23,39.47,53.57,45.56,0.0
10,27,1,0,0,2,0,16,6,-1,true,21,46.94,40.0,54.44,0.0
11,29,1,0,0,2,0,20,38,-1,true,24,56.12,58.33,54.0,0.0
12,30,1,0,0,2,0,46,6,-1,true,21,50.0,42.5,42.78,0.0
13,33,1,0,0,0,2,15,16,-1,false,0,50.0,32.86,28.0,0.0
14,34,1,0,0,1,2,16,21,20,false,0,59.62,46.0,60.0,48.33
15,39,1,0,0,2,0,28,20,-1,true,22,47.92,49.17,40.0,0.0
16,42,1,0,0,2,0,0,9,-1,true,22,56.45,55.14,60.0,0.0
17,43,1,0,0,2,0,46,16,-1,true,23,66.67,59.17,58.0,0.0
18,44,1,0,0,2,0,16,28,-1,true,22,62.5,56.0,65.83,0.0
19,45,1,0,0,2,0,9,38,-1,true,22,29.41,50.77,42.0,0.0
20,47,1,0,0,2,0,28,21,-1,true,24,54.76,60.83,65.71,0.0
21,6,1,0,1,1,0,42,-1,-1,true,22,47.78,0.0,0.0,0.0
22,6,1,0,1,1,0,27,-1,-1,true,23,49.44,0.0,0.0,0.0
23,6,1,0,1,1,0,27,-1,-1,true,24,56.11,0.0,0.0,0.0
24,6,1,0,1,1,0,30,-1,-1,true,25,53.33,0.0,0.0,0.0
25,6,1,0,2,0,0,-1,-1,-1,false,0,53.33,0.0,0.0,0.0
26,0,1,1,0,2,0,38,9,-1,true,48,79.73,70.0,73.08,0.0
27,35,1,1,0,2,0,16,28,-1,true,46,50.0,58.0,73.0,0.0
28,27,1,1,0,2,0,20,38,-1,true,46,63.27,55.0,56.0,0.0
29,8,1,1,0,2,0,16,15,-1,true,48,55.56,58.0,56.43,0.0
30,24,1,1,0,2,0,26,38,-1,true,47,72.22,67.37,66.0,0.0
31,2,1,1,0,2,0,46,26,-1,true,49,66.67,59.17,60.0,0.0
32,29,1,1,0,2,0,38,16,-1,true,48,61.22,64.0,58.0,0.0
33,17,1,1,0,2,0,16,6,-1,true,46,52.38,60.0,70.56,0.0
34,42,1,1,0,2,0,9,46,-1,true,46,58.06,63.85,60.0,0.0
35,11,1,1,0,1,2,28,20,46,false,0,72.73,74.0,56.67,58.33
36,44,1,1,0,0,2,26,38,-1,false,0,78.75,66.32,66.0,0.0
37,23,1,1,0,2,0,20,38,-1,true,48,65.96,63.33,66.0,0.0
38,4,1,1,0,1,2,6,20,25,false,0,60.0,52.78,45.0,49.13
39,30,1,1,0,2,0,46,28,-1,true,46,63.64,55.83,78.0,0.0
40,3,1,1,0,2,0,15,9,-1,true,47,50.0,57.14,65.38,0.0
41,47,1,1,0,2,0,16,6,-1,true,47,57.14,54.0,69.44,0.0
42,43,1,1,0,2,0,6,16,-1,true,49,66.67,70.0,58.0,0.0
43,37,1,1,0,0,2,15,16,-1,false,0,70.83,50.71,48.0,0.0
44,12,1,1,0,2,1,9,20,16,true,49,65.62,65.38,55.0,58.0
45,39,1,1,0,2,0,25,16,-1,true,47,56.25,61.3,50.0,0.0
46,20,1,1,1,1,0,38,-1,-1,true,47,60.0,0.0,0.0,0.0
47,28,1,1,1,0,0,-1,-1,-1,true,48,70.0,0.0,0.0,0.0
48,38,1,1,1,0,0,-1,-1,-1,true,49,66.0,0.0,0.0,0.0
49,16,1,1,2,0,0,-1,-1,-1,false,0,58.0,0.0,0.0,0.0
50,21,1,2,0,2,0,9,17,-1,true,70,71.43,67.69,63.33,0.0
51,35,1,2,0,2,0,46,38,-1,true,70,63.64,69.17,74.0,0.0
52,0,1,2,0,2,1,15,46,42,true,70,81.08,64.29,71.67,71.94
53,8,1,2,0,2,0,42,26,-1,true,72,62.96,71.61,70.53,0.0
54,24,1,2,0,2,0,46,15,-1,true,73,77.78,72.5,70.0,0.0
