modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,3,1,0,0,2,0,21,100,-1,true,32,44.64,50.0,55.0,0.0
3,5,1,0,0,2,0,80,103,-1,true,36,69.78,68.5,68.95,0.0
4,20,1,0,0,2,0,40,29,-1,true,35,69.33,67.68,68.67,0.0
5,22,1,0,0,2,0,21,146,-1,true,33,65.48,64.62,68.16,0.0
6,32,1,0,0,2,0,0,21,-1,true,36,67.68,71.67,70.0,0.0
7,42,1,0,0,2,0,103,25,-1,true,35,70.31,71.47,68.9,0.0
8,43,1,0,0,2,0,83,25,-1,true,32,62.5,55.76,53.08,0.0
9,48,1,0,0,2,0,123,107,-1,true,33,65.19,66.5,61.11,0.0
10,50,1,0,0,1,2,25,17,21,false,0,60.53,51.87,50.0,46.92
11,51,1,0,0,2,0,29,17,-1,true,33,41.38,51.47,47.61,0.0
12,57,1,0,0,2,0,146,141,-1,true,36,71.32,68.37,70.22,0.0
13,58,1,0,0,2,0,123,107,-1,true,36,74.68,73.5,71.11,0.0
14,65,1,0,0,2,0,146,107,-1,true,32,65.58,62.65,61.67,0.0
15,66,1,0,0,2,0,17,76,-1,true,37,64.89,60.22,62.68,0.0
16,68,1,0,0,2,0,107,17,-1,true,34,65.19,58.33,59.57,0.0
17,81,1,0,0,2,0,47,100,-1,true,34,62.36,67.75,69.44,0.0
18,86,1,0,0,2,0,146,80,-1,true,35,68.04,69.59,73.0,0.0
19,89,1,0,0,2,0,103,143,-1,true,34,42.5,44.95,39.52,0.0
20,93,1,0,0,2,0,47,146,-1,true,32,56.0,62.38,60.0,0.0
21,94,1,0,0,2,0,107,92,-1,true,32,42.0,46.11,48.73,0.0
22,102,1,0,0,2,0,95,83,-1,true,33,63.51,55.83,56.36,0.0
23,110,1,0,0,2,0,83,141,-1,true,34,51.72,54.55,54.78,0.0
24,116,1,0,0,2,0,76,107,-1,true,34,47.73,41.13,41.67,0.0
25,119,1,0,0,2,0,100,141,-1,true,32,56.25,62.22,64.78,0.0
26,121,1,0,0,2,0,143,123,-1,true,33,16.67,29.05,35.0,0.0
27,133,1,0,0,2,0,138,146,-1,true,35,57.5,55.21,56.53,0.0
28,135,1,0,0,2,0,127,146,-1,true,33,58.0,61.03,59.8,0.0
29,139,1,0,0,2,0,100,40,-1,true,36,70.53,72.78,72.32,0.0
30,140,1,0,0,1,2,141,21,143,false,0,50.0,42.39,37.69,35.56
31,149,1,0,0,2,0,47,146,-1,true,36,47.27,51.0,52.86,0.0
32,25,1,0,1,1,0,140,-1,-1,true,34,48.02,0.0,0.0,0.0
33,83,1,0,1,1,0,103,-1,-1,true,35,51.21,0.0,0.0,0.0
34,100,1,0,1,0,0,-1,-1,-1,true,35,47.5,0.0,0.0,0.0
35,47,1,0,1,1,1,14,47,-1,true,37,58.25,0.0,0.0,0.0
36,141,1,0,1,1,0,121,-1,-1,true,37,66.3,0.0,0.0,0.0
37,141,1,0,2,0,0,-1,-1,-1,false,0,62.39,0.0,0.0,0.0
38,20,1,1,0,1,2,95,17,121,false,0,92.0,75.67,88.7,75.83
39,102,1,1,0,2,0,148,121,-1,true,71,74.32,71.61,72.5,0.0
40,104,1,1,0,2,0,17,95,-1,true,71,61.54,74.09,65.0,0.0
41,83,1,1,0,2,0,148,1,-1,true,71,69.7,60.65,75.79,0.0
42,62,1,1,0,2,0,7,11,-1,true,68,74.63,72.86,84.72,0.0
43,141,1,1,0,2,0,14,37,-1,true,69,65.22,72.18,73.33,0.0
44,103,1,1,0,2,0,17,11,-1,true,69,77.37,92.09,89.52,0.0
45,71,1,1,0,2,0,37,40,-1,true,70,71.21,68.33,70.0,0.0
46,38,1,1,0,2,0,139,17,-1,true,71,74.44,70.53,81.39,0.0
47,25,1,1,0,0,2,58,14,-1,false,0,91.65,73.29,76.36,0.0
48,97,1,1,0,2,0,1,37,-1,true,70,63.16,85.26,72.92,0.0
49,73,1,1,0,2,0,43,2,-1,true,68,68.33,69.5,65.0,0.0
50,50,1,1,0,2,0,2,139,-1,true,73,76.32,66.8,70.11,0.0
51,100,1,1,0,2,0,86,2,-1,true,70,65.28,60.62,60.8,0.0
52,3,1,1,0,2,0,51,123,-1,true,69,60.71,65.17,67.17,0.0
53,75,1,1,0,2,0,7,17,-1,true,72,73.56,71.71,88.17,0.0
54,21,1,1,0,2,0,99,14,-1,true,69,65.38,66.36,66.18,0.0
55,47,1,1,0,2,0,80,99,-1,true,70,75.0,70.5,72.73,0.0
56,59,1,1,0,2,0,37,148,-1,true,69,67.24,71.25,64.52,0.0
57,109,1,1,0,2,0,123,7,-1,true,68,66.98,70.83,66.43,0.0
58,57,1,1,0,2,0,2,43,-1,true,72,73.53,72.8,78.5,0.0
59,89,1,1,0,2,0,1,121,-1,true,68,75.0,84.95,70.83,0.0
60,91,1,1,0,2,0,11,43,-1,true,68,61.46,75.6,63.5,0.0
61,81,1,1,0,2,0,14,37,-1,true,72,67.98,72.73,72.08,0.0
