modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,1,1,0,0,2,0,82,114,-1,true,34,60.64,55.81,64.5,0.0
3,9,1,0,0,2,0,0,114,-1,true,32,59.48,59.6,68.5,0.0
4,16,1,0,0,2,0,110,114,-1,true,35,60.99,64.42,71.0,0.0
5,18,1,0,0,2,0,60,144,-1,true,34,72.46,65.45,66.38,0.0
6,46,1,0,0,2,0,83,144,-1,true,37,62.22,62.61,65.5,0.0
7,58,1,0,0,2,0,30,145,-1,true,33,56.67,57.03,55.0,0.0
8,66,1,0,0,2,0,42,145,-1,true,32,64.08,63.67,69.0,0.0
9,68,1,0,0,2,0,82,145,-1,true,32,54.88,52.26,55.0,0.0
10,69,1,0,0,2,0,144,145,-1,true,32,50.0,48.12,55.0,0.0
11,71,1,0,0,2,0,0,144,-1,true,35,56.73,54.4,54.88,0.0
12,72,1,0,0,2,0,117,95,-1,true,35,69.7,68.36,74.35,0.0
13,74,1,0,0,1,2,114,95,42,false,0,45.45,30.0,40.43,29.33
14,87,1,0,0,2,0,83,136,-1,true,34,72.5,71.96,74.0,0.0
15,88,1,0,0,2,0,48,82,-1,true,33,38.64,42.05,40.0,0.0
16,90,1,0,0,2,0,42,60,-1,true,32,54.72,63.0,63.64,0.0
17,92,1,0,0,2,0,63,95,-1,true,33,70.62,68.33,73.91,0.0
18,94,1,0,0,2,0,8,30,-1,true,34,56.25,57.13,63.78,0.0
19,99,1,0,0,2,0,136,101,-1,true,34,63.21,62.6,62.81,0.0
20,100,1,0,0,2,0,48,63,-1,true,35,66.22,63.25,67.08,0.0
21,102,1,0,0,2,0,64,8,-1,true,36,40.48,43.33,41.06,0.0
22,103,1,0,0,2,0,50,42,-1,true,33,64.8,65.24,60.33,0.0
23,104,1,0,0,2,0,114,38,-1,true,37,64.43,69.5,65.22,0.0
