modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,4,1,0,0,2,0,125,135,-1,true,35,68.75,68.88,70.7,0.0
3,7,1,0,0,2,0,147,82,-1,true,33,65.49,66.36,66.97,0.0
4,9,1,0,0,2,0,125,135,-1,true,32,73.4,71.53,71.86,0.0
5,15,1,0,0,2,0,149,88,-1,true,33,65.22,62.78,64.65,0.0
6,18,1,0,0,2,0,141,125,-1,true,35,50.0,41.29,41.22,0.0
7,26,1,0,0,2,0,135,11,-1,true,35,73.56,68.84,70.34,0.0
8,33,1,0,0,2,0,0,14,-1,true,32,76.37,68.77,68.33,0.0
9,35,1,0,0,2,0,149,147,-1,true,33,75.0,68.33,75.45,0.0
10,36,1,0,0,2,0,14,21,-1,true,32,73.47,70.0,75.83,0.0
11,45,1,0,0,2,0,141,14,-1,true,33,58.47,61.61,65.67,0.0
12,51,1,0,0,0,2,53,135,-1,false,0,61.54,36.0,33.26,0.0
13,56,1,0,0,2,0,3,72,-1,true,34,58.33,60.45,60.51,0.0
14,63,1,0,0,2,0,114,135,-1,true,34,64.42,58.57,57.21,0.0
15,65,1,0,0,2,0,11,0,-1,true,32,42.86,46.1,46.32,0.0
16,68,1,0,0,2,0,147,67,-1,true,36,80.81,76.36,76.1,0.0
17,69,1,0,0,0,2,72,0,-1,false,0,54.76,42.37,44.04,0.0
18,83,1,0,0,0,2,135,147,-1,false,0,58.7,44.42,48.18,0.0
19,84,1,0,0,2,0,135,97,-1,true,32,52.04,46.28,44.29,0.0
20,90,1,0,0,2,0,138,67,-1,true,34,77.13,72.73,71.59,0.0
21,93,1,0,0,2,0,67,21,-1,true,33,35.71,43.29,45.0,0.0
22,95,1,0,0,2,0,53,125,-1,true,33,28.12,32.29,34.9,0.0
23,107,1,0,0,2,0,14,147,-1,true,32,52.0,57.33,57.27,0.0
24,109,1,0,0,2,1,53,82,0,true,36,69.49,62.0,58.79,65.44
25,115,1,0,0,2,0,82,72,-1,true,35,60.19,59.09,57.63,0.0
26,120,1,0,0,2,0,39,11,-1,true,36,66.0,63.78,66.1,0.0
27,122,1,0,0,0,2,88,72,-1,false,0,72.73,62.39,58.98,0.0
28,132,1,0,0,2,0,11,147,-1,true,34,66.91,61.53,67.27,0.0
29,136,1,0,0,2,0,140,14,-1,true,35,66.18,68.27,72.67,0.0
30,137,1,0,0,2,0,14,114,-1,true,36,67.28,67.67,66.67,0.0
31,143,1,0,0,2,0,14,141,-1,true,36,55.43,65.33,63.39,0.0
32,0,1,0,1,0,0,-1,-1,-1,true,34,55.96,0.0,0.0,0.0
33,88,1,0,1,1,0,88,-1,-1,true,34,52.11,0.0,0.0,0.0
34,14,1,0,1,1,0,114,-1,-1,true,35,58.67,0.0,0.0,0.0
35,14,1,0,1,0,0,-1,-1,-1,true,36,54.0,0.0,0.0,0.0
36,11,1,0,2,0,0,-1,-1,-1,false,0,61.86,0.0,0.0,0.0
37,136,1,1,0,2,0,14,75,-1,true,59,70.59,90.8,90.67,0.0
38,123,1,1,0,0,2,61,132,-1,false,0,75.0,63.51,61.18,0.0
39,131,1,1,0,2,0,67,60,-1,true,60,64.71,75.37,82.8,0.0
40,6,1,1,0,2,0,107,9,-1,true,60,65.15,75.2,89.62,0.0
41,126,1,1,0,2,0,9,3,-1,true,61,70.69,87.57,68.86,0.0
42,30,1,1,0,2,0,63,107,-1,true,59,78.92,73.08,79.2,0.0
43,41,1,1,0,2,0,63,37,-1,true,59,75.0,66.54,70.15,0.0
44,47,1,1,0,2,0,16,14,-1,true,59,74.46,74.0,91.2,0.0
45,57,1,1,0,2,0,89,61,-1,true,60,71.2,85.71,70.53,0.0
46,44,1,1,0,0,2,118,37,-1,false,0,91.3,73.96,73.03,0.0
47,100,1,1,0,2,0,89,15,-1,true,60,79.46,92.57,87.3,0.0
48,147,1,1,0,2,0,37,61,-1,true,59,50.0,61.36,64.91,0.0
49,144,1,1,0,2,0,113,37,-1,true,60,75.0,68.87,68.94,0.0
50,142,1,1,0,2,0,54,114,-1,true,62,71.52,86.79,73.81,0.0
51,4,1,1,0,2,1,14,63,67,true,62,89.38,98.4,75.19,91.32
52,134,1,1,0,2,0,63,16,-1,true,61,79.17,73.85,74.67,0.0
53,18,1,1,0,2,0,14,16,-1,true,61,76.67,86.8,67.67,0.0
54,117,1,1,0,2,0,16,67,-1,true,61,74.0,82.33,95.12,0.0
55,21,1,1,0,2,0,14,87,-1,true,59,58.33,85.2,82.5,0.0
56,45,1,1,0,2,0,16,140,-1,true,62,69.49,71.0,72.53,0.0
57,90,1,1,0,2,1,60,63,89,true,61,93.19,99.6,77.69,95.14
58,39,1,1,0,2,0,14,37,-1,true,62,72.56,85.6,67.88,0.0
59,16,1,1,1,0,0,-1,-1,-1,true,60,74.33,0.0,0.0,0.0
60,61,1,1,1,0,0,-1,-1,-1,true,61,76.49,0.0,0.0,0.0
61,61,1,1,1,0,0,-1,-1,-1,true,62,77.02,0.0,0.0,0.0
62,114,1,1,2,0,0,-1,-1,-1,false,0,77.3,0.0,0.0,0.0
63,38,1,2,0,2,0,114,61,-1,true,89,79.9,77.3,95.16,0.0
64,125,1,2,0,2,0,61,21,-1,true,87,76.53,91.37,91.0,0.0
65,59,1,2,0,2,0,102,21,-1,true,89,80.21,91.71,96.0,0.0
66,45,1,2,0,2,1,138,61,60,true,89,90.51,76.18,92.63,94.8
67,16,1,2,0,0,2,124,30,-1,false,0,96.0,74.22,76.75,0.0
68,128,1,2,0,2,0,21,107,-1,true,87,75.0,94.0,77.2,0.0
69,122,1,2,0,2,0,30,60,-1,true,88,76.36,74.46,91.4,0.0
70,47,1,2,0,2,0,60,135,-1,true,87,76.63,94.8,75.58,0.0
71,112,1,2,0,2,0,77,41,-1,true,87,73.53,75.22,85.33,0.0
