modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,5,1,0,0,2,1,41,34,24,true,15,54.17,43.0,48.84,46.62
3,6,1,0,0,2,0,17,0,-1,true,15,67.89,69.57,68.86,0.0
4,8,1,0,0,2,0,41,24,-1,true,14,57.03,58.33,64.46,0.0
5,12,1,0,0,2,0,34,41,-1,true,13,74.21,71.01,68.0,0.0
6,13,1,0,0,2,0,18,17,-1,true,13,67.01,67.89,67.39,0.0
7,27,1,0,0,2,0,17,9,-1,true,13,51.67,56.09,55.92,0.0
8,32,1,0,0,2,0,18,41,-1,true,16,68.59,66.76,67.67,0.0
9,37,1,0,0,2,0,24,0,-1,true,12,64.84,62.16,62.29,0.0
10,38,1,0,0,2,0,0,17,-1,true,12,67.69,66.86,62.61,0.0
11,47,1,0,0,2,0,17,9,-1,true,12,73.12,67.39,70.28,0.0
12,0,1,0,1,0,0,-1,-1,-1,true,14,58.29,0.0,0.0,0.0
13,41,1,0,1,0,0,-1,-1,-1,true,14,60.33,0.0,0.0,0.0
14,41,1,0,1,1,0,9,-1,-1,true,15,55.67,0.0,0.0,0.0
15,24,1,0,1,0,0,-1,-1,-1,true,16,55.68,0.0,0.0,0.0
16,41,1,0,2,0,0,-1,-1,-1,false,0,58.33,0.0,0.0,0.0
17,38,1,1,0,2,0,9,17,-1,true,27,73.08,86.2,70.43,0.0
18,43,1,1,0,2,0,17,13,-1,true,27,79.69,70.0,74.64,0.0
19,20,1,1,0,2,0,34,17,-1,true,27,65.0,63.91,59.13,0.0
20,11,1,1,0,1,2,0,26,13,false,0,80.56,79.54,68.18,67.22
21,14,1,1,0,2,0,9,26,-1,true,29,68.07,84.51,75.45,0.0
22,8,1,1,0,2,0,9,34,-1,true,29,68.75,87.38,74.06,0.0
23,16,1,1,0,2,0,17,34,-1,true,30,70.83,71.3,73.33,0.0
24,23,1,1,0,2,0,9,17,-1,true,30,77.66,86.2,72.17,0.0
25,15,1,1,0,2,0,26,27,-1,true,28,79.49,76.14,75.0,0.0
26,25,1,1,0,2,0,0,9,-1,true,28,65.58,84.0,83.66,0.0
27,17,1,1,1,1,0,35,-1,-1,true,28,70.87,0.0,0.0,0.0
28,0,1,1,1,0,0,-1,-1,-1,true,29,73.43,0.0,0.0,0.0
29,0,1,1,1,1,1,34,0,-1,true,30,71.71,0.0,0.0,0.0
30,34,1,1,2,0,0,-1,-1,-1,false,0,75.07,0.0,0.0,0.0
31,47,1,2,0,2,0,25,5,-1,true,41,85.62,83.38,86.25,0.0
32,12,1,2,0,2,1,0,5,8,true,42,83.68,59.6,85.0,81.88
33,37,1,2,0,2,0,8,26,-1,true,41,85.94,82.66,83.86,0.0
34,14,1,2,0,2,1,0,34,25,true,44,77.11,58.4,82.03,82.47
35,24,1,2,0,2,0,26,5,-1,true,42,83.11,85.91,89.58,0.0
36,21,1,2,0,2,0,5,26,-1,true,43,79.73,85.42,85.68,0.0
