modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,4,1,0,0,2,0,21,72,-1,true,33,59.78,58.96,56.36,0.0
3,11,1,0,0,2,0,19,114,-1,true,32,53.51,58.82,56.11,0.0
4,13,1,0,0,2,0,125,148,-1,true,36,51.19,57.5,56.61,0.0
5,16,1,0,0,2,0,21,67,-1,true,34,74.03,71.17,70.0,0.0
6,20,1,0,0,2,0,101,95,-1,true,37,58.62,63.9,61.06,0.0
7,22,1,0,0,2,0,95,148,-1,true,33,31.58,41.67,42.58,0.0
8,29,1,0,0,0,2,9,125,-1,false,0,55.88,38.12,45.0,0.0
9,32,1,0,0,2,0,53,142,-1,true,35,59.72,53.02,56.99,0.0
10,33,1,0,0,2,0,125,62,-1,true,36,59.72,63.0,58.37,0.0
11,35,1,0,0,2,0,100,48,-1,true,37,67.19,60.0,61.49,0.0
12,45,1,0,0,2,0,25,19,-1,true,35,61.11,59.47,60.39,0.0
13,50,1,0,0,2,0,63,19,-1,true,33,63.37,63.33,69.22,0.0
14,55,1,0,0,2,0,0,66,-1,true,36,32.14,36.25,35.74,0.0
15,78,1,0,0,2,0,48,19,-1,true,32,56.9,51.38,50.2,0.0
16,81,1,0,0,2,0,9,95,-1,true,33,70.13,68.12,68.64,0.0
17,82,1,0,0,2,0,25,9,-1,true,36,52.78,62.11,64.38,0.0
18,84,1,0,0,2,0,101,9,-1,true,34,53.03,53.38,48.75,0.0
19,85,1,0,0,2,1,142,9,68,true,33,43.75,40.82,30.62,36.98
20,87,1,0,0,2,0,68,63,-1,true,34,55.83,61.51,54.44,0.0
21,90,1,0,0,2,0,0,95,-1,true,35,64.44,63.75,64.39,0.0
22,102,1,0,0,2,0,53,48,-1,true,32,67.35,61.51,62.45,0.0
23,103,1,0,0,2,0,53,21,-1,true,34,35.29,42.26,42.08,0.0
24,104,1,0,0,2,0,9,148,-1,true,35,57.02,60.0,58.39,0.0
25,123,1,0,0,2,0,148,0,-1,true,32,62.16,61.45,60.62,0.0
26,128,1,0,0,2,0,72,9,-1,true,35,64.58,63.03,64.38,0.0
27,129,1,0,0,2,0,25,66,-1,true,33,45.31,54.04,50.0,0.0
28,136,1,0,0,0,2,66,95,-1,false,0,61.76,44.44,45.0,0.0
29,137,1,0,0,2,0,9,67,-1,true,32,55.88,53.75,57.5,0.0
30,141,1,0,0,2,0,62,9,-1,true,34,58.89,57.44,56.25,0.0
31,144,1,0,0,2,0,68,9,-1,true,32,63.41,63.77,66.25,0.0
32,48,1,0,1,0,0,-1,-1,-1,true,34,53.3,0.0,0.0,0.0
33,72,1,0,1,1,1,53,67,-1,true,35,46.06,0.0,0.0,0.0
34,48,1,0,1,1,0,48,-1,-1,true,36,50.96,0.0,0.0,0.0
35,142,1,0,1,0,0,-1,-1,-1,true,36,55.07,0.0,0.0,0.0
36,142,1,0,1,0,0,-1,-1,-1,true,37,52.88,0.0,0.0,0.0
37,142,1,0,2,0,0,-1,-1,-1,false,0,54.52,0.0,0.0,0.0
38,50,1,1,0,2,1,114,0,121,true,61,85.81,75.56,84.75,79.17
39,57,1,1,0,2,0,19,0,-1,true,62,84.86,87.53,84.75,0.0
40,83,1,1,0,2,0,9,0,-1,true,64,73.33,74.38,82.5,0.0
41,95,1,1,0,2,0,15,62,-1,true,64,71.21,82.55,71.16,0.0
42,144,1,1,0,2,0,53,6,-1,true,61,70.12,86.49,87.32,0.0
43,145,1,1,0,2,0,62,67,-1,true,63,64.62,64.65,65.68,0.0
44,112,1,1,0,2,0,137,121,-1,true,62,76.76,73.14,77.92,0.0
45,71,1,1,0,2,0,6,9,-1,true,61,61.31,82.47,68.12,0.0
46,139,1,1,0,2,0,67,101,-1,true,63,60.61,67.95,67.53,0.0
47,102,1,1,0,2,0,0,121,-1,true,61,71.43,78.0,67.5,0.0
48,4,1,1,0,0,2,141,68,-1,false,0,83.48,64.89,67.55,0.0
49,89,1,1,0,2,0,121,67,-1,true,61,66.1,73.75,70.68,0.0
50,135,1,1,0,2,0,84,141,-1,true,62,64.66,65.76,68.89,0.0
51,49,1,1,0,0,2,68,114,-1,false,0,77.38,67.17,63.89,0.0
52,129,1,1,0,2,0,9,59,-1,true,62,71.88,68.12,67.29,0.0
53,28,1,1,0,2,0,20,114,-1,true,64,55.88,62.07,58.33,0.0
54,104,1,1,0,2,0,0,121,-1,true,63,67.54,78.0,68.33,0.0
55,63,1,1,0,2,0,108,114,-1,true,63,55.56,58.53,57.22,0.0
56,110,1,1,0,2,0,9,15,-1,true,64,66.07,70.62,80.84,0.0
57,82,1,1,0,2,0,68,9,-1,true,61,64.81,73.4,77.5,0.0
58,2,1,1,0,0,2,90,121,-1,false,0,90.0,69.67,77.5,0.0
59,103,1,1,0,2,0,68,9,-1,true,62,58.82,66.04,64.38,0.0
60,64,1,1,0,2,0,66,114,-1,true,63,76.97,73.15,74.44,0.0
61,9,1,1,1,0,0,-1,-1,-1,true,62,75.0,0.0,0.0,0.0
62,9,1,1,1,0,0,-1,-1,-1,true,63,71.25,0.0,0.0,0.0
63,67,1,1,1,0,0,-1,-1,-1,true,64,70.45,0.0,0.0,0.0
64,67,1,1,2,0,0,-1,-1,-1,false,0,69.09,0.0,0.0,0.0
65,74,1,2,0,2,0,21,48,-1,true,91,80.51,80.13,78.62,0.0
66,29,1,2,0,2,0,104,67,-1,true,91,73.53,75.96,76.59,0.0
67,132,1,2,0,2,0,69,66,-1,true,89,64.0,67.88,67.04,0.0
68,1,1,2,0,2,0,20,59,-1,true,93,78.95,93.72,94.5,0.0
69,140,1,2,0,2,0,71,59,-1,true,91,76.67,72.38,88.37,0.0
70,64,1,2,0,2,0,21,22,-1,true,89,78.09,77.27,77.89,0.0
71,97,1,2,0,2,0,20,148,-1,true,92,56.67,86.48,71.94,0.0
72,128,1,2,0,2,0,66,19,-1,true,91,72.92,74.26,74.12,0.0
73,105,1,2,0,2,0,95,69,-1,true,90,73.64,75.76,74.85,0.0
74,139,1,2,0,2,0,59,53,-1,true,89,62.12,83.87,69.81,0.0
75,130,1,2,0,2,0,22,109,-1,true,90,68.18,72.63,71.8,0.0
76,123,1,2,0,2,0,67,68,-1,true,89,70.27,75.45,73.96,0.0
77,55,1,2,0,0,2,62,69,-1,false,0,90.0,74.42,76.26,0.0
78,35,1,2,0,0,2,19,9,-1,false,0,93.75,74.31,74.38,0.0
79,87,1,2,0,2,0,19,67,-1,true,90,63.33,70.0,71.14,0.0
80,81,1,2,0,2,0,22,148,-1,true,90,77.27,78.95,74.68,0.0
81,28,1,2,0,2,0,15,95,-1,true,91,55.88,74.11,62.42,0.0
82,63,1,2,0,2,0,53,48,-1,true,89,72.22,73.21,73.3,0.0
83,110,1,2,0,2,0,135,19,-1,true,90,71.43,71.9,76.08,0.0
84,100,1,2,0,2,0,69,67,-1,true,92,80.23,76.06,75.68,0.0
85,143,1,2,0,2,0,67,68,-1,true,89,77.5,73.41,72.26,0.0
86,149,1,2,0,2,0,71,66,-1,true,92,72.92,71.31,69.63,0.0
87,92,1,2,0,2,0,22,67,-1,true,92,56.1,72.63,69.32,0.0
88,125,1,2,0,2,0,148,95,-1,true,90,65.0,70.0,68.64,0.0
89,22,1,2,1,0,0,-1,-1,-1,true,91,80.53,0.0,0.0,0.0
90,104,1,2,1,0,0,-1,-1,-1,true,92,75.09,0.0,0.0,0.0
91,59,1,2,1,0,0,-1,-1,-1,true,92,75.42,0.0,0.0,0.0
