modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,0,1,0,0,2,1,0,86,19,true,35,54.88,47.8,48.46,57.06
3,6,1,0,0,2,0,49,32,-1,true,32,48.78,48.26,50.0,0.0
4,10,1,0,0,2,0,51,86,-1,true,32,60.0,55.76,59.23,0.0
5,12,1,0,0,0,2,35,53,-1,false,0,54.55,42.5,47.5,0.0
6,24,1,0,0,2,0,86,16,-1,true,36,22.73,31.54,39.72,0.0
7,25,1,0,0,0,2,7,138,-1,false,0,56.52,41.3,42.7,0.0
8,27,1,0,0,2,0,62,35,-1,true,34,56.86,56.05,54.29,0.0
9,40,1,0,0,2,0,84,51,-1,true,34,65.33,63.33,62.73,0.0
10,42,1,0,0,2,0,35,19,-1,true,37,41.3,39.64,45.88,0.0
11,46,1,0,0,2,0,13,32,-1,true,33,67.42,62.5,66.3,0.0
12,50,1,0,0,2,0,119,49,-1,true,37,27.27,42.19,38.26,0.0
13,56,1,0,0,2,0,138,62,-1,true,34,50.0,54.32,52.11,0.0
14,60,1,0,0,2,1,19,100,119,true,33,62.5,58.24,54.67,62.81
15,68,1,0,0,2,1,79,86,19,true,35,62.16,60.47,53.08,58.82
16,72,1,0,0,2,0,16,51,-1,true,33,66.22,67.22,66.97,0.0
17,75,1,0,0,2,0,51,32,-1,true,36,55.47,60.0,64.81,0.0
18,78,1,0,0,2,0,100,86,-1,true,32,19.23,31.33,27.69,0.0
19,92,1,0,0,2,0,122,100,-1,true,32,61.02,65.0,58.67,0.0
20,101,1,0,0,2,0,32,49,-1,true,35,30.77,39.26,41.74,0.0
21,102,1,0,0,2,0,84,49,-1,true,32,67.81,69.58,67.39,0.0
22,111,1,0,0,2,0,100,86,-1,true,35,46.05,54.0,56.92,0.0
23,114,1,0,0,2,0,32,19,-1,true,36,66.1,66.67,68.24,0.0
24,115,1,0,0,2,0,123,49,-1,true,34,44.44,55.33,59.57,0.0
25,116,1,0,0,2,0,55,7,-1,true,35,68.67,71.5,66.09,0.0
26,120,1,0,0,2,0,19,122,-1,true,34,66.15,67.06,68.42,0.0
27,128,1,0,0,2,0,19,100,-1,true,36,59.87,68.24,62.67,0.0
28,135,1,0,0,2,0,86,44,-1,true,32,50.0,48.46,44.62,0.0
29,142,1,0,0,2,0,84,100,-1,true,36,50.0,52.08,44.0,0.0
30,147,1,0,0,2,0,119,16,-1,true,33,61.46,63.75,58.89,0.0
31,149,1,0,0,2,0,53,19,-1,true,33,55.81,61.79,66.47,0.0
32,100,1,0,1,1,0,49,-1,-1,true,33,48.0,0.0,0.0,0.0
33,100,1,0,1,1,0,53,-1,-1,true,34,52.0,0.0,0.0,0.0
34,100,1,0,1,0,0,-1,-1,-1,true,35,53.33,0.0,0.0,0.0
35,86,1,0,1,1,0,86,-1,-1,true,36,49.23,0.0,0.0,0.0
36,100,1,0,1,0,0,-1,-1,-1,true,37,48.67,0.0,0.0,0.0
37,86,1,0,2,0,0,-1,-1,-1,false,0,38.46,0.0,0.0,0.0
