modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,6,1,0,0,2,0,88,258,-1,true,82,42.0,39.33,47.5,0.0
3,8,1,0,0,2,0,256,87,-1,true,84,68.29,67.0,62.69,0.0
4,10,1,0,0,0,2,215,88,-1,false,0,65.28,58.24,50.0,0.0
5,13,1,0,0,2,0,274,288,-1,true,83,63.89,72.75,73.0,0.0
6,14,1,0,0,2,0,277,167,-1,true,82,61.82,61.61,66.36,0.0
7,18,1,0,0,2,0,213,225,-1,true,85,62.84,62.35,62.63,0.0
8,20,1,0,0,2,0,146,122,-1,true,83,64.18,65.83,65.95,0.0
9,29,1,0,0,2,0,261,146,-1,true,85,61.46,59.58,62.22,0.0
10,30,1,0,0,2,0,0,76,-1,true,86,62.5,64.44,63.27,0.0
11,31,1,0,0,2,0,128,138,-1,true,87,58.5,67.18,69.35,0.0
12,37,1,0,0,2,0,146,195,-1,true,87,57.94,65.83,61.9,0.0
13,39,1,0,0,2,0,138,150,-1,true,82,46.88,45.16,45.83,0.0
14,49,1,0,0,2,1,83,88,209,true,88,65.17,61.0,52.0,65.62
15,56,1,0,0,2,0,47,167,-1,true,86,52.38,60.0,63.64,0.0
16,62,1,0,0,2,0,284,258,-1,true,82,63.33,57.69,58.33,0.0
17,64,1,0,0,2,0,211,247,-1,true,83,65.71,69.66,67.09,0.0
18,68,1,0,0,2,0,195,167,-1,true,86,61.76,62.38,56.36,0.0
19,71,1,0,0,2,0,124,195,-1,true,83,65.58,63.86,67.62,0.0
20,74,1,0,0,2,0,189,183,-1,true,85,52.94,52.5,50.83,0.0
21,79,1,0,0,2,0,19,32,-1,true,85,68.07,77.04,75.25,0.0
22,86,1,0,0,2,0,58,209,-1,true,83,69.89,76.55,68.12,0.0
23,93,1,0,0,2,0,190,277,-1,true,84,66.67,67.76,62.58,0.0
24,94,1,0,0,2,0,168,135,-1,true,84,79.89,73.65,75.33,0.0
25,100,1,0,0,2,0,87,211,-1,true,88,64.0,57.31,63.79,0.0
26,103,1,0,0,2,0,258,183,-1,true,86,70.97,71.67,70.0,0.0
27,104,1,0,0,2,0,247,145,-1,true,83,51.32,56.73,55.88,0.0
28,106,1,0,0,2,0,267,150,-1,true,84,54.55,51.82,52.5,0.0
29,107,1,0,0,2,0,47,124,-1,true,86,60.91,65.0,58.42,0.0
30,108,1,0,0,2,0,215,88,-1,true,82,55.32,55.88,49.33,0.0
31,109,1,0,0,2,0,135,211,-1,true,83,64.38,67.0,66.55,0.0
32,110,1,0,0,2,0,225,150,-1,true,87,55.68,62.63,69.17,0.0
33,111,1,0,0,2,0,183,47,-1,true,86,60.71,57.5,66.0,0.0
34,116,1,0,0,2,0,247,146,-1,true,87,59.68,53.64,57.78,0.0
35,131,1,0,0,1,2,277,47,183,false,0,71.43,63.87,71.0,63.33
36,134,1,0,0,2,0,187,47,-1,true,85,54.08,63.23,67.0,0.0
37,143,1,0,0,2,0,150,183,-1,true,82,56.0,63.75,54.17,0.0
38,152,1,0,0,2,0,32,47,-1,true,83,55.63,64.0,64.0,0.0
39,155,1,0,0,2,0,284,128,-1,true,88,62.7,58.46,60.26,0.0
40,156,1,0,0,2,0,217,83,-1,true,85,56.1,59.8,50.0,0.0
41,157,1,0,0,2,0,288,225,-1,true,87,57.33,64.0,58.95,0.0
42,160,1,0,0,2,1,89,277,167,true,84,71.64,64.32,65.16,72.73
43,162,1,0,0,2,0,170,124,-1,true,85,60.48,67.27,62.63,0.0
44,164,1,0,0,2,0,211,274,-1,true,87,63.21,58.28,59.8,0.0
45,172,1,0,0,2,0,195,215,-1,true,82,34.78,46.19,43.53,0.0
46,176,1,0,0,2,0,139,215,-1,true,86,51.67,54.0,51.76,0.0
47,178,1,0,0,0,2,83,88,-1,false,0,60.0,49.0,48.0,0.0
48,182,1,0,0,2,0,195,284,-1,true,84,52.0,57.62,54.23,0.0
49,186,1,0,0,2,0,209,183,-1,true,82,42.0,48.12,43.33,0.0
50,200,1,0,0,2,0,89,139,-1,true,86,65.91,60.45,65.0,0.0
51,201,1,0,0,2,0,194,258,-1,true,84,55.26,58.77,60.0,0.0
52,210,1,0,0,2,0,270,215,-1,true,84,45.45,44.12,45.29,0.0
53,214,1,0,0,0,2,288,139,-1,false,0,60.0,45.0,37.0,0.0
54,218,1,0,0,2,0,258,47,-1,true,82,47.56,57.5,58.0,0.0
55,219,1,0,0,2,1,78,88,258,true,85,63.77,64.58,54.67,59.17
