modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,0,1,0,0,2,0,87,263,-1,true,82,69.19,68.57,65.0,0.0
3,1,1,0,0,2,0,263,278,-1,true,83,40.62,44.29,51.54,0.0
4,2,1,0,0,2,0,56,233,-1,true,84,62.5,61.43,69.09,0.0
5,11,1,0,0,2,0,258,208,-1,true,84,47.87,55.0,55.27,0.0
6,15,1,0,0,2,0,185,166,-1,true,85,56.15,62.17,57.93,0.0
7,16,1,0,0,2,0,23,258,-1,true,84,67.31,64.0,66.0,0.0
8,21,1,0,0,2,0,175,167,-1,true,88,59.17,58.75,61.3,0.0
9,24,1,0,0,2,0,271,234,-1,true,83,46.43,58.33,55.88,0.0
10,32,1,0,0,2,0,60,246,-1,true,86,59.8,60.0,66.67,0.0
11,39,1,0,0,2,0,147,277,-1,true,83,65.06,65.81,62.26,0.0
12,42,1,0,0,2,0,117,175,-1,true,84,59.43,62.7,60.42,0.0
13,44,1,0,0,2,0,147,229,-1,true,87,37.88,46.05,42.67,0.0
14,48,1,0,0,2,0,222,271,-1,true,84,61.36,58.79,60.0,0.0
15,62,1,0,0,2,0,166,127,-1,true,85,64.29,63.45,63.65,0.0
16,65,1,0,0,2,0,258,99,-1,true,88,60.29,54.67,55.71,0.0
17,66,1,0,0,2,0,141,117,-1,true,85,35.0,36.52,44.59,0.0
18,67,1,0,0,2,0,41,170,-1,true,85,68.29,68.98,67.27,0.0
19,68,1,0,0,2,0,229,81,-1,true,87,46.0,41.33,50.0,0.0
20,74,1,0,0,2,0,167,98,-1,true,88,72.83,69.13,71.82,0.0
21,78,1,0,0,2,0,280,98,-1,true,82,51.52,48.42,57.27,0.0
22,79,1,0,0,2,0,285,246,-1,true,84,64.29,67.04,67.5,0.0
23,83,1,0,0,2,0,127,271,-1,true,82,61.49,68.85,68.33,0.0
24,86,1,0,0,2,0,225,233,-1,true,86,54.48,62.86,66.36,0.0
25,92,1,0,0,2,1,57,81,280,true,86,73.81,65.77,71.05,68.95
26,94,1,0,0,2,0,133,72,-1,true,85,75.68,72.5,73.4,0.0
27,96,1,0,0,2,0,277,263,-1,true,87,63.11,62.58,59.29,0.0
28,97,1,0,0,2,0,208,167,-1,true,82,73.12,68.0,68.26,0.0
29,100,1,0,0,2,0,0,43,-1,true,86,51.72,59.07,59.49,0.0
30,102,1,0,0,2,0,166,127,-1,true,88,47.37,46.55,49.42,0.0
31,107,1,0,0,2,0,22,176,-1,true,82,52.04,55.29,54.71,0.0
32,110,1,0,0,2,0,238,178,-1,true,84,51.79,56.48,57.92,0.0
33,111,1,0,0,2,0,178,225,-1,true,86,67.02,65.42,67.86,0.0
34,112,1,0,0,2,0,137,73,-1,true,86,69.27,68.71,63.68,0.0
35,113,1,0,0,2,0,175,59,-1,true,84,47.5,46.67,49.38,0.0
36,114,1,0,0,2,0,127,280,-1,true,88,56.58,65.0,64.21,0.0
37,124,1,0,0,2,0,98,99,-1,true,82,35.0,40.91,35.71,0.0
38,125,1,0,0,2,0,267,22,-1,true,82,50.0,51.38,49.41,0.0
39,126,1,0,0,2,0,81,269,-1,true,83,65.22,68.42,64.71,0.0
40,135,1,0,0,2,0,60,178,-1,true,87,42.86,36.36,38.75,0.0
41,145,1,0,0,2,0,81,263,-1,true,86,57.94,66.84,57.14,0.0
42,146,1,0,0,2,0,61,278,-1,true,87,57.58,59.03,56.15,0.0
43,149,1,0,0,2,0,278,271,-1,true,86,31.25,49.23,44.17,0.0
44,151,1,0,0,1,2,59,147,278,false,0,57.5,53.75,46.98,43.08
45,152,1,0,0,2,0,61,23,-1,true,84,59.46,62.26,57.0,0.0
46,153,1,0,0,2,1,229,60,278,true,82,68.38,60.67,65.45,61.54
47,160,1,0,0,0,2,138,176,-1,false,0,60.71,51.67,49.41,0.0
48,168,1,0,0,2,1,20,280,263,true,85,67.31,60.0,63.16,62.14
49,169,1,0,0,2,0,246,178,-1,true,83,67.47,66.67,70.0,0.0
50,171,1,0,0,2,0,72,267,-1,true,84,40.74,51.4,47.93,0.0
51,179,1,0,0,1,2,269,263,278,false,0,68.66,64.12,57.14,60.0
52,180,1,0,0,2,0,99,269,-1,true,83,65.87,59.52,67.65,0.0
53,183,1,0,0,2,0,278,271,-1,true,83,60.98,62.31,62.5,0.0
54,184,1,0,0,2,0,233,81,-1,true,86,60.94,71.82,65.79,0.0
55,187,1,0,0,2,0,224,233,-1,true,83,56.1,53.45,59.09,0.0
56,190,1,0,0,2,1,23,224,271,true,88,58.82,51.0,60.0,56.67
57,191,1,0,0,2,0,49,60,-1,true,84,66.85,68.0,67.27,0.0
58,194,1,0,0,2,0,280,60,-1,true,87,64.04,57.89,60.91,0.0
59,197,1,0,0,2,0,22,246,-1,true,87,63.28,61.18,69.17,0.0
60,201,1,0,0,2,0,229,87,-1,true,85,71.25,65.33,67.38,0.0
61,202,1,0,0,0,2,119,229,-1,false,0,46.15,38.72,30.0,0.0
62,203,1,0,0,2,0,225,233,-1,true,83,66.67,70.0,73.64,0.0
63,219,1,0,0,2,0,263,269,-1,true,86,57.95,55.71,61.18,0.0
64,221,1,0,0,2,0,277,263,-1,true,83,47.96,47.42,44.29,0.0
65,228,1,0,0,2,0,43,225,-1,true,84,67.71,64.36,67.14,0.0
66,231,1,0,0,2,0,225,224,-1,true,82,64.29,67.86,64.48,0.0
67,232,1,0,0,2,1,271,20,59,true,88,64.17,62.5,55.83,67.5
68,244,1,0,0,2,0,170,225,-1,true,83,50.98,52.91,60.0,0.0
69,245,1,0,0,1,2,233,81,246,false,0,54.35,46.36,48.95,46.67
70,255,1,0,0,2,0,178,271,-1,true,83,67.02,71.25,67.5,0.0
71,256,1,0,0,2,0,43,277,-1,true,87,70.83,67.69,64.19,0.0
72,261,1,0,0,2,0,176,269,-1,true,87,58.89,58.24,60.59,0.0
73,265,1,0,0,2,0,269,278,-1,true,86,55.43,65.29,53.08,0.0
74,268,1,0,0,2,1,73,20,278,true,85,40.0,33.16,29.17,34.62
75,281,1,0,0,2,0,138,269,-1,true,82,65.59,68.33,71.76,0.0
76,282,1,0,0,2,0,99,271,-1,true,87,69.79,73.33,69.17,0.0
77,286,1,0,0,2,0,167,147,-1,true,82,55.36,55.22,56.74,0.0
78,291,1,0,0,2,1,176,81,138,true,85,69.05,61.76,68.95,68.33
