modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,2,1,0,0,2,0,21,36,-1,true,15,34.21,42.73,41.05,0.0
3,4,1,0,0,2,1,36,26,17,true,12,70.67,67.89,62.78,63.89
4,7,1,0,0,2,0,32,36,-1,true,12,25.0,48.93,45.26,0.0
5,8,1,0,0,2,1,17,32,26,true,12,73.73,61.11,66.79,70.56
6,9,1,0,0,2,0,0,36,-1,true,13,65.0,63.64,60.53,0.0
7,14,1,0,0,0,2,25,26,-1,false,0,67.54,60.0,53.33,0.0
8,15,1,0,0,2,0,20,36,-1,true,13,65.0,60.0,62.11,0.0
9,30,1,0,0,2,0,17,36,-1,true,14,55.71,50.0,54.74,0.0
10,37,1,0,0,1,2,21,20,26,false,0,58.33,55.45,43.0,48.89
11,46,1,0,0,2,0,26,25,-1,true,14,59.18,58.33,56.84,0.0
12,26,1,0,1,1,0,39,-1,-1,true,13,58.33,0.0,0.0,0.0
13,36,1,0,1,1,0,30,-1,-1,true,14,60.0,0.0,0.0,0.0
14,26,1,0,1,1,0,23,-1,-1,true,15,56.67,0.0,0.0,0.0
15,26,1,0,2,0,0,-1,-1,-1,false,0,47.78,0.0,0.0,0.0
16,16,1,1,0,0,2,32,2,-1,false,0,68.42,57.5,61.05,0.0
17,47,1,1,0,2,0,32,25,-1,true,25,38.46,50.0,51.05,0.0
18,34,1,1,0,2,0,36,32,-1,true,27,62.12,67.37,67.14,0.0
19,15,1,1,0,2,0,20,2,-1,true,26,65.71,61.0,64.21,0.0
20,30,1,1,0,2,0,36,4,-1,true,25,68.57,66.84,64.27,0.0
21,8,1,1,0,1,2,4,32,20,false,0,72.88,66.67,65.0,65.0
22,31,1,1,0,2,0,25,7,-1,true,27,47.22,61.58,57.0,0.0
23,17,1,1,0,2,0,7,36,-1,true,25,58.33,58.0,60.0,0.0
24,24,1,1,0,2,0,7,36,-1,true,26,61.11,62.5,64.21,0.0
25,32,1,1,1,1,0,30,-1,-1,true,26,60.0,0.0,0.0,0.0
26,36,1,1,1,1,0,46,-1,-1,true,27,64.21,0.0,0.0,0.0
27,32,1,1,2,0,0,-1,-1,-1,false,0,66.07,0.0,0.0,0.0
28,47,1,2,0,2,0,7,36,-1,true,36,38.46,53.0,56.32,0.0
29,46,1,2,0,2,0,36,15,-1,true,36,60.2,59.47,62.86,0.0
30,48,1,2,0,2,0,34,15,-1,true,37,72.12,70.0,75.43,0.0
31,17,1,2,0,2,0,25,7,-1,true,38,66.67,64.74,64.5,0.0
32,0,1,2,0,0,2,25,2,-1,false,0,81.82,66.32,64.74,0.0
33,21,1,2,0,2,0,20,15,-1,true,37,63.64,60.0,69.14,0.0
34,24,1,2,0,0,2,7,36,-1,false,0,72.22,64.5,60.53,0.0
35,26,1,2,0,2,0,15,2,-1,true,36,61.11,63.86,64.21,0.0
36,36,1,2,1,1,0,10,-1,-1,true,37,61.05,0.0,0.0,0.0
37,15,1,2,1,0,0,-1,-1,-1,true,38,72.29,0.0,0.0,0.0
38,15,1,2,2,0,0,-1,-1,-1,false,0,72.57,0.0,0.0,0.0
39,26,1,3,0,2,0,15,32,-1,true,51,58.33,65.0,62.86,0.0
40,49,1,3,0,0,2,7,46,-1,false,0,79.55,71.0,70.82,0.0
41,48,1,3,0,2,0,25,32,-1,true,50,71.15,71.58,75.0,0.0
42,23,1,3,0,2,0,25,15,-1,true,52,68.64,70.53,73.43,0.0
43,10,1,3,0,2,0,20,25,-1,true,50,75.0,70.0,71.05,0.0
44,30,1,3,0,2,0,46,32,-1,true,51,71.43,67.55,65.36,0.0
45,31,1,3,0,2,0,25,32,-1,true,49,50.0,60.53,66.79,0.0
46,22,1,3,0,2,0,34,15,-1,true,49,66.36,66.97,71.29,0.0
47,17,1,3,0,2,0,32,15,-1,true,49,72.22,70.71,74.0,0.0
48,21,1,3,0,0,2,7,32,-1,false,0,77.27,68.5,69.64,0.0
49,15,1,3,1,0,0,-1,-1,-1,true,50,75.29,0.0,0.0,0.0
50,15,1,3,1,1,0,25,-1,-1,true,51,78.0,0.0,0.0,0.0
51,25,1,3,1,1,0,34,-1,-1,true,52,67.89,0.0,0.0,0.0
