modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,10,1,0,0,2,0,122,50,-1,true,35,57.14,52.31,55.83,0.0
3,11,1,0,0,2,0,120,33,-1,true,36,31.25,37.83,32.63,0.0
4,16,1,0,0,2,0,70,142,-1,true,34,55.19,73.33,68.7,0.0
5,24,1,0,0,2,0,92,97,-1,true,32,47.96,49.07,50.62,0.0
6,25,1,0,0,2,0,41,120,-1,true,36,54.17,64.4,57.83,0.0
7,26,1,0,0,2,0,0,38,-1,true,34,64.2,67.27,62.86,0.0
8,27,1,0,0,2,0,135,41,-1,true,36,59.3,60.0,54.0,0.0
9,28,1,0,0,0,2,50,30,-1,false,0,46.43,33.33,37.27,0.0
10,32,1,0,0,2,0,97,122,-1,true,35,63.19,60.62,64.1,0.0
11,34,1,0,0,2,0,44,50,-1,true,33,40.91,42.0,35.83,0.0
12,35,1,0,0,0,2,112,38,-1,false,0,58.54,43.53,47.86,0.0
13,37,1,0,0,0,2,97,122,-1,false,0,70.75,58.12,61.79,0.0
14,47,1,0,0,2,0,62,116,-1,true,32,72.99,74.64,73.33,0.0
15,49,1,0,0,2,0,33,92,-1,true,32,66.0,67.37,64.65,0.0
16,54,1,0,0,2,0,33,97,-1,true,35,57.32,56.32,52.5,0.0
17,66,1,0,0,2,0,38,48,-1,true,34,23.08,37.14,32.63,0.0
18,73,1,0,0,0,2,122,92,-1,false,0,47.62,36.15,39.77,0.0
19,78,1,0,0,2,0,120,33,-1,true,32,69.89,66.96,68.95,0.0
20,79,1,0,0,2,0,93,111,-1,true,33,51.04,50.0,56.11,0.0
21,82,1,0,0,2,0,111,135,-1,true,33,62.35,68.33,72.89,0.0
22,94,1,0,0,2,0,142,30,-1,true,33,54.17,64.78,64.55,0.0
23,99,1,0,0,2,0,80,93,-1,true,33,59.62,57.0,54.21,0.0
24,105,1,0,0,2,1,41,33,92,true,35,67.71,66.0,57.37,63.02
25,106,1,0,0,0,2,38,50,-1,false,0,50.0,37.14,33.33,0.0
26,113,1,0,0,2,0,50,38,-1,true,35,60.71,62.5,60.0,0.0
27,115,1,0,0,2,0,44,135,-1,true,36,29.41,33.33,38.42,0.0
28,119,1,0,0,2,0,48,44,-1,true,34,47.67,53.16,54.0,0.0
