modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,1,1,0,0,2,0,77,57,-1,true,34,66.35,60.0,63.9,0.0
3,7,1,0,0,2,0,86,77,-1,true,35,68.9,69.23,67.87,0.0
4,16,1,0,0,2,0,14,145,-1,true,35,55.41,55.0,56.43,0.0
5,20,1,0,0,2,0,105,125,-1,true,32,57.26,56.67,54.4,0.0
6,25,1,0,0,2,0,91,32,-1,true,35,62.24,64.38,58.7,0.0
7,28,1,0,0,2,0,15,121,-1,true,32,75.0,71.82,70.83,0.0
8,35,1,0,0,2,0,43,14,-1,true,36,37.5,43.11,35.0,0.0
9,37,1,0,0,2,0,108,49,-1,true,37,66.95,61.82,66.52,0.0
10,39,1,0,0,2,0,32,121,-1,true,33,55.45,62.17,60.0,0.0
11,42,1,0,0,2,0,145,121,-1,true,32,26.47,32.86,30.83,0.0
12,47,1,0,0,2,1,14,121,127,true,36,65.08,57.5,60.83,60.4
13,52,1,0,0,2,0,13,14,-1,true,32,65.44,62.5,61.67,0.0
14,62,1,0,0,2,0,119,65,-1,true,35,61.25,56.88,55.0,0.0
15,64,1,0,0,2,0,30,125,-1,true,34,62.66,64.5,64.8,0.0
16,66,1,0,0,2,1,0,14,121,true,35,47.37,49.29,38.33,41.67
17,73,1,0,0,2,0,49,105,-1,true,32,67.16,70.43,69.44,0.0
18,79,1,0,0,2,1,145,13,121,true,34,64.13,65.0,55.83,61.67
19,81,1,0,0,2,0,125,121,-1,true,36,60.42,60.8,62.5,0.0
20,84,1,0,0,2,0,108,145,-1,true,33,77.92,81.82,76.43,0.0
21,87,1,0,0,2,0,121,13,-1,true,36,55.88,61.67,55.83,0.0
22,88,1,0,0,2,0,57,108,-1,true,34,26.67,39.02,32.73,0.0
23,95,1,0,0,2,1,121,14,49,true,32,63.33,60.0,54.17,58.26
24,97,1,0,0,2,0,15,105,-1,true,37,51.47,51.82,51.11,0.0
25,101,1,0,0,2,0,12,14,-1,true,33,67.5,71.9,69.17,0.0
26,106,1,0,0,2,0,43,15,-1,true,33,42.0,51.56,52.12,0.0
27,120,1,0,0,2,0,65,127,-1,true,33,53.85,61.0,55.2,0.0
28,123,1,0,0,2,0,105,145,-1,true,37,56.52,60.0,57.86,0.0
29,131,1,0,0,2,0,127,43,-1,true,33,61.48,62.0,62.44,0.0
30,134,1,0,0,2,0,125,14,-1,true,36,54.88,60.0,51.67,0.0
31,147,1,0,0,2,0,49,125,-1,true,37,39.29,44.78,41.6,0.0
32,49,1,0,1,1,0,145,-1,-1,true,34,57.39,0.0,0.0,0.0
33,145,1,0,1,1,0,145,-1,-1,true,34,56.43,0.0,0.0,0.0
34,14,1,0,1,1,0,121,-1,-1,true,35,51.67,0.0,0.0,0.0
35,145,1,0,1,1,0,121,-1,-1,true,36,51.43,0.0,0.0,0.0
36,121,1,0,1,1,0,105,-1,-1,true,37,52.5,0.0,0.0,0.0
