modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,2,1,0,0,2,0,0,16,-1,true,19,50.0,44.05,52.0,0.0
3,3,1,0,0,2,0,1,30,-1,true,21,25.0,34.21,35.0,0.0
4,5,1,0,0,2,0,42,19,-1,true,22,56.25,50.65,60.59,0.0
5,7,1,0,0,2,0,1,30,-1,true,22,61.84,58.42,54.55,0.0
6,9,1,0,0,2,0,29,20,-1,true,19,34.62,37.96,45.0,0.0
7,15,1,0,0,2,0,19,42,-1,true,20,25.0,43.53,35.16,0.0
8,17,1,0,0,2,0,24,20,-1,true,20,54.76,46.94,56.67,0.0
9,23,1,0,0,2,0,16,42,-1,true,19,61.7,60.0,57.42,0.0
10,26,1,0,0,2,0,42,20,-1,true,21,50.0,49.03,60.0,0.0
11,31,1,0,0,2,0,19,45,-1,true,22,62.5,64.12,65.29,0.0
12,32,1,0,0,2,0,45,20,-1,true,20,67.44,68.24,60.0,0.0
13,34,1,0,0,2,0,20,30,-1,true,21,32.69,50.0,40.45,0.0
14,36,1,0,0,2,0,43,42,-1,true,22,60.42,62.78,55.81,0.0
15,37,1,0,0,2,0,16,30,-1,true,20,41.67,38.0,32.73,0.0
16,38,1,0,0,2,0,30,29,-1,true,19,30.0,30.0,30.2,0.0
17,39,1,0,0,2,0,45,0,-1,true,19,43.75,40.0,33.78,0.0
18,44,1,0,0,2,0,43,24,-1,true,21,44.79,49.72,52.22,0.0
19,29,1,0,1,1,0,16,-1,-1,true,20,38.37,0.0,0.0,0.0
20,29,1,0,1,0,0,-1,-1,-1,true,21,43.88,0.0,0.0,0.0
21,29,1,0,1,1,0,30,-1,-1,true,22,44.49,0.0,0.0,0.0
22,29,1,0,2,0,0,-1,-1,-1,false,0,52.86,0.0,0.0,0.0
23,6,1,1,0,2,0,38,34,-1,true,41,44.44,58.0,72.0,0.0
24,8,1,1,0,2,0,38,20,-1,true,41,55.56,58.0,63.33,0.0
25,21,1,1,0,2,0,16,27,-1,true,41,53.57,54.0,55.1,0.0
26,24,1,1,0,2,0,16,27,-1,true,41,51.39,60.0,60.61,0.0
27,9,1,1,0,2,0,10,16,-1,true,42,46.15,53.9,54.0,0.0
28,29,1,1,0,2,0,15,16,-1,true,42,62.24,64.29,62.0,0.0
29,2,1,1,0,2,0,15,34,-1,true,42,66.67,68.57,82.62,0.0
30,44,1,1,0,0,2,19,38,-1,false,0,89.06,68.24,68.0,0.0
31,42,1,1,0,2,1,3,38,27,true,43,72.58,55.0,68.0,62.86
32,30,1,1,0,1,2,16,27,38,false,0,68.18,52.0,58.37,58.0
33,39,1,1,0,2,0,20,49,-1,true,43,68.75,61.67,66.43,0.0
34,45,1,1,0,2,0,49,10,-1,true,43,64.71,62.14,59.51,0.0
35,48,1,1,0,2,0,15,16,-1,true,43,68.0,71.43,70.0,0.0
36,7,1,1,0,0,2,16,38,-1,false,0,93.16,68.0,74.0,0.0
37,37,1,1,0,2,0,27,38,-1,true,41,50.0,55.92,58.0,0.0
38,1,1,1,0,2,0,15,3,-1,true,42,57.89,57.14,48.33,0.0
