modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,2,1,0,0,2,0,13,14,-1,true,12,66.46,71.04,72.67,0.0
3,6,1,0,0,2,0,5,14,-1,true,13,64.71,66.36,70.67,0.0
4,12,1,0,0,2,0,0,14,-1,true,12,64.77,56.96,67.33,0.0
5,21,1,0,0,2,0,0,15,-1,true,16,60.83,57.39,62.36,0.0
6,24,1,0,0,2,0,0,5,-1,true,15,67.58,65.65,72.27,0.0
7,25,1,0,0,2,0,15,5,-1,true,15,47.44,55.69,54.77,0.0
8,27,1,0,0,2,0,14,8,-1,true,13,66.47,70.0,70.9,0.0
9,35,1,0,0,2,0,5,13,-1,true,14,55.95,55.0,58.05,0.0
10,38,1,0,0,2,0,10,0,-1,true,12,59.3,53.85,50.0,0.0
11,41,1,0,0,2,0,14,10,-1,true,14,65.28,62.0,58.46,0.0
12,0,1,0,1,1,0,14,-1,-1,true,13,54.35,0.0,0.0,0.0
13,14,1,0,1,0,0,-1,-1,-1,true,14,63.33,0.0,0.0,0.0
14,10,1,0,1,0,0,-1,-1,-1,true,15,53.08,0.0,0.0,0.0
15,10,1,0,1,0,0,-1,-1,-1,true,16,60.77,0.0,0.0,0.0
16,10,1,0,2,0,0,-1,-1,-1,false,0,62.31,0.0,0.0,0.0
17,44,1,1,0,2,0,0,38,-1,true,26,74.73,69.57,70.93,0.0
18,26,1,1,0,2,0,2,0,-1,true,26,63.04,61.9,60.43,0.0
19,27,1,1,0,2,0,18,34,-1,true,26,76.47,75.38,73.64,0.0
20,49,1,1,0,2,0,35,0,-1,true,27,65.52,72.86,65.65,0.0
21,15,1,1,0,2,0,18,0,-1,true,28,72.22,68.85,68.7,0.0
22,24,1,1,0,2,0,2,18,-1,true,29,75.82,75.7,70.0,0.0
23,21,1,1,0,2,0,18,34,-1,true,28,64.17,64.23,66.36,0.0
24,23,1,1,0,2,0,14,2,-1,true,27,56.67,64.0,59.37,0.0
25,47,1,1,0,2,0,35,18,-1,true,29,68.29,76.19,74.62,0.0
26,18,1,1,1,0,0,-1,-1,-1,true,27,68.85,0.0,0.0,0.0
27,2,1,1,1,0,0,-1,-1,-1,true,28,72.03,0.0,0.0,0.0
28,35,1,1,1,1,0,27,-1,-1,true,29,72.86,0.0,0.0,0.0
29,2,1,1,2,0,0,-1,-1,-1,false,0,76.84,0.0,0.0,0.0
30,14,1,2,0,2,0,41,34,-1,true,38,70.0,76.39,77.05,0.0
31,49,1,2,0,2,0,8,17,-1,true,39,68.1,92.78,72.22,0.0
32,38,1,2,0,2,0,44,0,-1,true,38,73.26,72.09,64.78,0.0
33,33,1,2,0,2,0,34,27,-1,true,38,80.72,79.77,80.82,0.0
34,13,1,2,0,2,0,17,0,-1,true,39,79.22,75.0,72.17,0.0
35,39,1,2,0,2,0,44,34,-1,true,40,71.65,76.15,75.23,0.0
36,47,1,2,0,2,0,8,44,-1,true,41,76.22,97.25,80.55,0.0
37,21,1,2,0,2,0,44,41,-1,true,40,71.67,74.84,73.61,0.0
38,27,1,2,1,0,0,-1,-1,-1,true,39,77.88,0.0,0.0,0.0
39,44,1,2,1,0,0,-1,-1,-1,true,40,78.24,0.0,0.0,0.0
40,41,1,2,1,0,0,-1,-1,-1,true,41,75.28,0.0,0.0,0.0
41,41,1,2,2,0,0,-1,-1,-1,false,0,78.89,0.0,0.0,0.0
42,27,1,3,0,2,0,14,0,-1,true,52,82.35,86.67,94.43,0.0
43,22,1,3,0,2,0,0,5,-1,true,52,72.97,86.09,74.09,0.0
44,42,1,3,0,2,0,8,39,-1,true,56,82.61,96.54,80.93,0.0
45,46,1,3,0,2,0,14,34,-1,true,52,75.0,79.33,77.27,0.0
46,31,1,3,0,2,0,39,14,-1,true,54,72.62,76.39,79.33,0.0
47,26,1,3,0,2,0,23,34,-1,true,53,76.09,72.67,75.68,0.0
48,37,1,3,0,2,0,14,5,-1,true,55,69.57,76.67,78.64,0.0
49,15,1,3,0,2,0,14,34,-1,true,54,79.17,82.67,79.55,0.0
50,24,1,3,0,2,0,14,0,-1,true,55,81.32,84.0,91.3,0.0
51,7,1,3,0,2,0,14,0,-1,true,53,77.08,80.67,86.61,0.0
52,14,1,3,1,1,0,23,-1,-1,true,53,86.67,0.0,0.0,0.0
53,0,1,3,1,0,0,-1,-1,-1,true,54,74.78,0.0,0.0,0.0
54,23,1,3,1,0,0,-1,-1,-1,true,55,82.0,0.0,0.0,0.0
55,23,1,3,1,0,0,-1,-1,-1,true,56,84.67,0.0,0.0,0.0
56,23,1,3,2,0,0,-1,-1,-1,false,0,84.67,0.0,0.0,0.0
57,14,1,4,0,2,0,38,34,-1,true,65,63.33,78.14,78.18,0.0
58,27,1,4,0,2,0,38,17,-1,true,65,85.88,80.23,82.22,0.0
59,35,1,4,0,2,0,34,18,-1,true,66,76.19,76.59,74.62,0.0
60,8,1,4,0,2,0,15,38,-1,true,67,86.57,82.92,81.4,0.0
61,9,1,4,0,2,0,0,38,-1,true,66,72.03,93.39,77.21,0.0
62,41,1,4,0,2,0,39,34,-1,true,68,84.72,80.93,79.32,0.0
63,36,1,4,0,2,0,0,38,-1,true,67,68.29,88.17,73.02,0.0
64,25,1,4,0,2,0,0,38,-1,true,65,67.95,91.3,73.02,0.0
65,17,1,4,1,1,1,0,38,-1,true,66,81.67,0.0,0.0,0.0
66,34,1,4,1,1,1,0,49,-1,true,67,81.36,0.0,0.0,0.0
67,38,1,4,1,1,0,34,-1,-1,true,68,80.23,0.0,0.0,0.0
68,38,1,4,2,0,0,-1,-1,-1,false,0,79.77,0.0,0.0,0.0
69,22,1,5,0,2,0,0,14,-1,true,78,78.38,91.83,82.0,0.0
70,6,1,5,0,0,2,49,14,-1,false,0,92.65,78.28,80.67,0.0
71,42,1,5,0,2,0,49,0,-1,true,80,79.89,78.97,90.26,0.0
72,27,1,5,0,2,0,17,0,-1,true,78,85.29,83.89,93.39,0.0
73,25,1,5,0,2,0,15,14,-1,true,79,73.08,80.97,84.67,0.0
74,18,1,5,0,2,0,34,0,-1,true,79,75.0,80.23,99.13,0.0
75,43,1,5,0,2,0,34,49,-1,true,80,79.63,78.64,80.0,0.0
76,28,1,5,0,2,0,24,0,-1,true,81,84.31,82.64,94.96,0.0
77,23,1,5,0,2,0,34,17,-1,true,78,83.33,80.91,84.44,0.0
78,17,1,5,1,0,0,-1,-1,-1,true,79,87.78,0.0,0.0,0.0
79,34,1,5,1,0,0,-1,-1,-1,true,80,83.18,0.0,0.0,0.0
80,34,1,5,1,0,0,-1,-1,-1,true,81,86.82,0.0,0.0,0.0
81,34,1,5,2,0,0,-1,-1,-1,false,0,86.59,0.0,0.0,0.0
82,32,1,6,0,2,0,17,18,-1,true,93,82.43,78.89,75.0,0.0
83,6,1,6,0,0,2,18,26,-1,false,0,96.18,80.77,82.61,0.0
84,8,1,6,0,2,0,34,35,-1,true,95,84.33,81.82,82.62,0.0
85,15,1,6,0,2,0,35,1,-1,true,95,80.56,81.19,97.0,0.0
86,37,1,6,0,2,0,1,18,-1,true,94,76.09,97.25,80.38,0.0
87,4,1,6,0,2,0,18,17,-1,true,92,86.32,84.62,85.0,0.0
88,39,1,6,0,2,0,18,26,-1,true,92,81.44,84.62,80.43,0.0
89,36,1,6,0,2,0,26,34,-1,true,92,73.17,77.83,79.09,0.0
90,23,1,6,0,2,0,9,17,-1,true,93,80.0,75.76,82.78,0.0
91,27,1,6,0,2,1,35,1,26,true,93,86.47,85.0,60.23,82.61
92,34,1,6,1,0,0,-1,-1,-1,true,94,83.86,0.0,0.0,0.0
93,17,1,6,1,0,0,-1,-1,-1,true,94,88.33,0.0,0.0,0.0
94,17,1,6,1,0,0,-1,-1,-1,true,95,87.78,0.0,0.0,0.0
95,17,1,6,2,0,0,-1,-1,-1,false,0,88.33,0.0,0.0,0.0
96,0,1,7,0,0,2,9,14,-1,false,0,99.0,59.2,86.0,0.0
97,38,1,7,0,2,0,14,25,-1,true,107,82.56,81.33,81.54,0.0
98,18,1,7,0,2,0,15,14,-1,true,106,71.15,81.94,85.33,0.0
99,13,1,7,0,2,0,11,14,-1,true,106,88.31,84.61,86.67,0.0
100,17,1,7,0,2,0,14,8,-1,true,107,77.78,80.0,98.33,0.0
101,39,1,7,0,2,0,9,25,-1,true,108,79.38,95.39,83.85,0.0
102,7,1,7,0,2,1,6,8,14,true,109,86.46,82.21,58.82,87.33
103,23,1,7,0,2,0,14,25,-1,true,107,80.0,84.0,81.03,0.0
104,47,1,7,0,2,0,14,25,-1,true,106,83.54,87.33,83.59,0.0
105,24,1,7,0,2,1,9,14,25,true,109,85.16,58.14,85.33,83.33
106,14,1,7,1,1,0,14,-1,-1,true,108,88.67,0.0,0.0,0.0
107,15,1,7,1,0,0,-1,-1,-1,true,108,85.56,0.0,0.0,0.0
108,15,1,7,1,0,0,-1,-1,-1,true,109,87.64,0.0,0.0,0.0
109,15,1,7,2,0,0,-1,-1,-1,false,0,86.53,0.0,0.0,0.0
110,26,1,8,0,2,0,35,34,-1,true,121,84.78,85.0,82.73,0.0
111,5,1,8,0,0,2,8,9,-1,false,0,98.18,84.93,83.9,0.0
112,20,1,8,0,2,1,17,0,8,true,123,87.35,86.11,58.13,86.72
113,21,1,8,0,2,1,0,35,17,true,122,85.83,59.35,86.19,85.56
114,24,1,8,0,2,0,35,0,-1,true,123,86.26,87.14,98.61,0.0
115,39,1,8,0,2,1,0,8,34,true,122,84.02,59.96,87.46,84.77
116,41,1,8,0,2,0,1,0,-1,true,120,84.72,83.75,94.96,0.0
117,10,1,8,0,2,0,34,17,-1,true,120,80.77,82.95,84.44,0.0
118,47,1,8,0,2,0,34,1,-1,true,121,84.15,84.55,83.75,0.0
119,32,1,8,0,2,0,1,9,-1,true,120,85.14,83.54,81.86,0.0
120,0,1,8,1,0,0,-1,-1,-1,true,121,83.91,0.0,0.0,0.0
121,1,1,8,1,0,0,-1,-1,-1,true,122,88.75,0.0,0.0,0.0
122,35,1,8,1,1,0,47,-1,-1,true,123,90.24,0.0,0.0,0.0
123,35,1,8,2,0,0,-1,-1,-1,false,0,90.48,0.0,0.0,0.0
124,22,1,9,0,2,0,34,17,-1,true,134,82.43,86.36,88.89,0.0
125,14,1,9,0,2,0,17,0,-1,true,134,80.0,81.11,80.87,0.0
126,35,1,9,0,2,0,17,6,-1,true,136,82.14,81.67,97.24,0.0
127,25,1,9,0,2,0,23,0,-1,true,135,75.64,78.67,80.0,0.0
128,15,1,9,0,2,0,0,17,-1,true,137,84.03,82.17,87.78,0.0
129,9,1,9,0,1,2,13,0,34,false,0,95.59,86.1,83.91,83.18
130,21,1,9,0,2,0,34,23,-1,true,135,86.67,84.55,84.0,0.0
131,39,1,9,0,2,1,34,6,23,true,136,84.02,85.45,59.91,91.33
132,41,1,9,0,2,1,6,34,23,true,137,84.72,58.26,84.77,84.67
133,26,1,9,0,2,0,0,6,-1,true,134,86.96,83.04,98.12,0.0
134,17,1,9,1,1,0,34,-1,-1,true,135,89.44,0.0,0.0,0.0
135,0,1,9,1,1,0,8,-1,-1,true,136,87.39,0.0,0.0,0.0
136,0,1,9,1,1,0,17,-1,-1,true,137,87.39,0.0,0.0,0.0
137,17,1,9,2,0,0,-1,-1,-1,false,0,91.67,0.0,0.0,0.0
138,38,1,10,0,2,0,49,13,-1,true,148,82.56,83.97,85.45,0.0
139,8,1,10,0,0,2,17,49,-1,false,0,99.0,87.22,86.21,0.0
140,25,1,10,0,2,0,39,15,-1,true,150,78.21,84.23,84.58,0.0
141,16,1,10,0,2,1,5,34,13,true,149,95.65,63.0,89.09,88.83
142,24,1,10,0,2,0,17,49,-1,true,151,90.11,88.89,85.34,0.0
143,21,1,10,0,2,0,39,34,-1,true,151,84.17,85.77,84.55,0.0
144,36,1,10,0,2,0,49,34,-1,true,148,82.93,85.17,86.14,0.0
145,23,1,10,0,2,0,49,34,-1,true,150,83.33,81.55,81.14,0.0
146,26,1,10,0,2,0,15,17,-1,true,149,80.43,82.22,79.44,0.0
147,31,1,10,0,2,0,17,5,-1,true,148,86.9,85.0,99.55,0.0
148,49,1,10,1,0,0,-1,-1,-1,true,149,89.14,0.0,0.0,0.0
149,49,1,10,1,0,0,-1,-1,-1,true,150,88.79,0.0,0.0,0.0
150,15,1,10,1,0,0,-1,-1,-1,true,151,89.17,0.0,0.0,0.0
151,49,1,10,2,0,0,-1,-1,-1,false,0,87.93,0.0,0.0,0.0
152,49,1,11,0,2,1,9,21,0,true,164,80.17,58.85,85.17,80.87
153,27,1,11,0,2,0,14,15,-1,true,164,87.65,88.0,87.08,0.0
154,12,1,11,0,2,0,26,14,-1,true,162,82.95,84.78,87.33,0.0
155,25,1,11,0,2,0,21,0,-1,true,163,71.79,80.33,78.26,0.0
156,35,1,11,0,2,1,26,9,21,true,165,84.52,84.35,60.03,87.5
157,43,1,11,0,2,0,26,14,-1,true,162,85.19,84.35,84.67,0.0
158,30,1,11,0,2,0,14,8,-1,true,165,85.09,86.67,85.97,0.0
159,23,1,11,0,2,0,0,14,-1,true,162,83.33,82.17,86.0,0.0
160,10,1,11,0,2,0,14,26,-1,true,165,84.62,88.0,81.3,0.0
161,47,1,11,0,2,0,14,26,-1,true,163,85.98,88.0,83.04,0.0
162,26,1,11,1,0,0,-1,-1,-1,true,163,86.96,0.0,0.0,0.0
163,26,1,11,1,0,0,-1,-1,-1,true,164,86.52,0.0,0.0,0.0
164,9,1,11,1,0,0,-1,-1,-1,true,166,90.51,0.0,0.0,0.0
165,26,1,11,1,0,0,-1,-1,-1,true,166,84.78,0.0,0.0,0.0
166,9,1,11,2,0,0,-1,-1,-1,false,0,90.51,0.0,0.0,0.0
167,44,1,12,0,2,0,35,31,-1,true,176,91.21,91.67,87.14,0.0
168,38,1,12,0,1,2,6,14,9,false,0,87.21,60.12,90.0,61.46
169,34,1,12,0,2,0,14,31,-1,true,176,87.5,90.0,87.38,0.0
170,24,1,12,0,2,1,6,14,31,true,178,90.66,60.53,90.67,87.62
171,39,1,12,0,2,1,14,6,23,true,178,88.14,88.67,61.35,92.0
172,41,1,12,0,2,0,23,31,-1,true,177,86.11,92.0,89.29,0.0
173,10,1,12,0,2,1,6,35,14,true,177,88.46,60.22,90.95,88.67
174,47,1,12,0,2,1,14,8,23,true,179,89.63,88.67,61.54,91.33
175,46,1,12,0,2,0,23,14,-1,true,176,93.42,94.0,87.33,0.0
176,14,1,12,1,0,0,-1,-1,-1,true,177,90.0,0.0,0.0,0.0
177,35,1,12,1,1,0,35,-1,-1,true,178,93.81,0.0,0.0,0.0
178,6,1,12,1,0,0,-1,-1,-1,true,179,88.38,0.0,0.0,0.0
179,23,1,12,2,0,0,-1,-1,-1,false,0,94.0,0.0,0.0,0.0
180,27,1,13,0,2,0,14,49,-1,true,189,95.29,90.0,89.31,0.0
181,26,1,13,0,2,0,34,17,-1,true,189,93.48,90.68,91.67,0.0
182,6,1,13,0,2,1,0,32,14,true,189,82.35,62.09,88.92,88.0
183,35,1,13,0,2,1,14,0,34,true,192,89.29,90.0,62.09,90.91
184,13,1,13,0,2,1,14,0,34,true,190,93.51,86.67,61.78,90.45
185,21,1,13,0,2,0,15,14,-1,true,192,90.83,89.58,90.0,0.0
186,23,1,13,0,2,0,34,32,-1,true,190,86.67,90.45,90.54,0.0
187,47,1,13,0,2,0,14,49,-1,true,191,89.63,89.33,86.9,0.0
188,41,1,13,0,2,1,49,0,34,true,191,86.11,90.86,62.7,89.77
189,17,1,13,1,0,0,-1,-1,-1,true,190,91.11,0.0,0.0,0.0
190,17,1,13,1,0,0,-1,-1,-1,true,191,91.11,0.0,0.0,0.0
191,17,1,13,1,1,0,25,-1,-1,true,192,91.11,0.0,0.0,0.0
192,17,1,13,2,0,0,-1,-1,-1,false,0,91.11,0.0,0.0,0.0
193,31,1,14,0,2,0,0,17,-1,true,205,90.48,88.26,91.11,0.0
194,46,1,14,0,2,0,26,24,-1,true,207,97.37,87.83,92.42,0.0
195,29,1,14,0,2,1,9,44,0,true,204,82.61,62.88,91.1,89.13
196,12,1,14,0,2,0,34,0,-1,true,203,86.36,90.23,87.83,0.0
197,25,1,14,0,2,0,17,34,-1,true,203,89.74,91.67,90.91,0.0
198,8,1,14,0,2,1,26,9,44,true,206,93.28,89.13,63.12,92.31
199,21,1,14,0,2,0,26,34,-1,true,206,90.83,86.09,88.64,0.0
200,23,1,14,0,2,0,44,17,-1,true,204,86.67,91.54,91.11,0.0
201,47,1,14,0,2,0,26,44,-1,true,205,90.85,86.09,90.77,0.0
202,18,1,14,0,2,0,44,26,-1,true,203,92.31,91.32,86.52,0.0
203,34,1,14,1,0,0,-1,-1,-1,true,204,90.23,0.0,0.0,0.0
204,26,1,14,1,1,0,18,-1,-1,true,205,87.39,0.0,0.0,0.0
205,26,1,14,1,0,0,-1,-1,-1,true,206,90.0,0.0,0.0,0.0
206,44,1,14,1,1,0,44,-1,-1,true,207,91.87,0.0,0.0,0.0
207,44,1,14,2,0,0,-1,-1,-1,false,0,92.2,0.0,0.0,0.0
