modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,9,1,0,0,2,0,90,142,-1,true,34,72.94,67.3,67.5,0.0
3,11,1,0,0,2,0,95,71,-1,true,33,40.91,46.33,47.88,0.0
4,12,1,0,0,2,1,101,71,53,true,33,47.06,34.55,43.74,46.0
5,15,1,0,0,2,0,95,148,-1,true,37,65.06,65.33,62.27,0.0
6,18,1,0,0,2,0,112,29,-1,true,35,62.5,70.26,66.32,0.0
7,24,1,0,0,2,0,22,148,-1,true,36,70.83,70.0,69.09,0.0
8,35,1,0,0,2,0,97,148,-1,true,33,42.65,49.3,44.09,0.0
9,42,1,0,0,2,0,148,101,-1,true,32,67.17,63.64,62.73,0.0
10,49,1,0,0,2,0,142,148,-1,true,32,64.41,63.5,59.09,0.0
11,58,1,0,0,2,0,69,48,-1,true,37,65.24,62.57,63.33,0.0
12,67,1,0,0,0,2,48,37,-1,false,0,50.0,34.17,36.98,0.0
13,68,1,0,0,2,1,29,101,148,true,34,68.42,63.68,55.45,61.82
14,74,1,0,0,2,0,53,48,-1,true,34,58.02,60.0,62.5,0.0
15,75,1,0,0,2,0,22,71,-1,true,35,55.0,53.54,54.85,0.0
16,79,1,0,0,2,0,148,101,-1,true,32,61.63,57.27,53.64,0.0
17,86,1,0,0,2,0,0,97,-1,true,36,59.21,58.93,61.16,0.0
18,91,1,0,0,2,0,62,101,-1,true,35,65.26,63.95,60.0,0.0
19,102,1,0,0,2,0,59,142,-1,true,33,25.0,40.32,38.75,0.0
20,104,1,0,0,2,0,82,22,-1,true,32,23.53,36.33,33.23,0.0
21,108,1,0,0,2,0,69,59,-1,true,34,35.19,47.0,44.19,0.0
22,109,1,0,0,2,0,101,148,-1,true,35,56.25,60.0,62.73,0.0
23,110,1,0,0,2,0,107,59,-1,true,35,62.0,60.67,61.94,0.0
24,114,1,0,0,2,0,97,112,-1,true,36,66.46,63.84,62.99,0.0
25,116,1,0,0,2,0,37,112,-1,true,33,63.93,60.19,62.86,0.0
26,121,1,0,0,2,1,13,101,142,true,37,66.67,58.37,53.64,61.75
27,125,1,0,0,2,0,112,59,-1,true,32,20.0,39.87,38.71,0.0
28,126,1,0,0,2,0,29,82,-1,true,32,35.71,32.63,35.92,0.0
29,129,1,0,0,2,0,22,48,-1,true,36,74.74,69.69,72.22,0.0
30,138,1,0,0,2,0,19,82,-1,true,34,69.32,70.31,70.2,0.0
31,145,1,0,0,2,0,95,82,-1,true,35,67.2,66.0,69.59,0.0
32,29,1,0,1,1,0,107,-1,-1,true,33,43.16,0.0,0.0,0.0
33,29,1,0,1,1,1,0,82,-1,true,34,42.11,0.0,0.0,0.0
34,142,1,0,1,0,0,-1,-1,-1,true,36,53.0,0.0,0.0,0.0
35,22,1,0,1,1,0,112,-1,-1,true,36,56.31,0.0,0.0,0.0
36,95,1,0,1,0,0,-1,-1,-1,true,37,58.17,0.0,0.0,0.0
37,148,1,0,2,0,0,-1,-1,-1,false,0,56.36,0.0,0.0,0.0
38,16,1,1,0,2,0,95,70,-1,true,66,66.96,72.17,74.83,0.0
39,49,1,1,0,2,0,148,103,-1,true,63,72.88,69.09,72.31,0.0
40,136,1,1,0,2,0,123,48,-1,true,67,75.79,75.1,77.5,0.0
41,79,1,1,0,2,0,48,59,-1,true,64,65.12,67.5,67.42,0.0
42,74,1,1,0,2,0,84,82,-1,true,64,66.67,72.53,74.08,0.0
43,71,1,1,0,2,0,125,103,-1,true,63,75.25,80.0,75.38,0.0
44,63,1,1,0,0,2,70,19,-1,false,0,77.27,62.07,66.35,0.0
45,27,1,1,0,0,2,97,84,-1,false,0,92.96,74.53,72.64,0.0
46,138,1,1,0,2,0,82,125,-1,true,63,75.57,78.78,82.0,0.0
47,107,1,1,0,2,0,9,95,-1,true,66,71.67,74.0,73.5,0.0
48,15,1,1,0,2,0,103,97,-1,true,66,72.89,74.62,75.93,0.0
49,93,1,1,0,2,0,139,70,-1,true,63,71.18,75.37,74.48,0.0
50,53,1,1,0,2,0,22,112,-1,true,64,65.0,65.54,66.88,0.0
51,81,1,1,0,2,0,104,148,-1,true,63,68.75,68.82,65.45,0.0
52,141,1,1,0,2,0,19,59,-1,true,65,73.64,75.42,76.13,0.0
53,134,1,1,0,2,0,59,82,-1,true,63,74.42,76.13,74.08,0.0
54,121,1,1,0,2,0,90,112,-1,true,65,77.78,75.14,76.88,0.0
55,133,1,1,0,2,0,148,48,-1,true,65,69.44,60.45,65.28,0.0
56,83,1,1,0,2,0,148,8,-1,true,67,75.93,73.64,77.18,0.0
57,77,1,1,0,2,0,70,104,-1,true,64,72.34,70.34,72.94,0.0
58,130,1,1,0,2,0,72,70,-1,true,64,57.69,67.23,63.1,0.0
59,76,1,1,0,2,0,72,95,-1,true,66,66.67,66.81,67.0,0.0
60,144,1,1,0,2,0,22,125,-1,true,65,73.53,70.31,75.33,0.0
61,145,1,1,0,2,0,139,22,-1,true,65,77.42,76.46,74.46,0.0
62,67,1,1,0,2,0,8,48,-1,true,66,68.18,72.71,71.39,0.0
63,148,1,1,1,0,0,-1,-1,-1,true,64,69.55,0.0,0.0,0.0
64,70,1,1,1,0,0,-1,-1,-1,true,65,71.38,0.0,0.0,0.0
65,148,1,1,1,0,0,-1,-1,-1,true,66,70.0,0.0,0.0,0.0
66,95,1,1,1,0,0,-1,-1,-1,true,67,74.5,0.0,0.0,0.0
67,48,1,1,2,0,0,-1,-1,-1,false,0,76.39,0.0,0.0,0.0
68,66,1,2,0,2,0,4,29,-1,true,96,73.0,88.0,74.21,0.0
69,0,1,2,0,0,2,59,82,-1,false,0,88.0,74.52,74.49,0.0
70,11,1,2,0,2,0,112,101,-1,true,95,79.09,76.62,74.55,0.0
71,42,1,2,0,2,0,123,145,-1,true,99,78.28,77.86,78.71,0.0
72,34,1,2,0,2,0,129,95,-1,true,98,76.74,75.98,75.17,0.0
73,103,1,2,0,2,0,59,49,-1,true,95,73.08,73.23,71.19,0.0
74,63,1,2,0,2,1,57,101,134,true,96,77.27,69.47,63.64,70.23
75,114,1,2,0,2,0,139,49,-1,true,96,78.66,78.9,77.29,0.0
76,55,1,2,0,2,0,29,134,-1,true,95,72.37,74.21,75.12,0.0
77,122,1,2,0,2,0,6,112,-1,true,95,80.68,87.39,72.21,0.0
78,100,1,2,0,2,0,48,4,-1,true,98,77.59,76.94,92.12,0.0
79,15,1,2,0,2,0,59,82,-1,true,96,74.7,75.81,78.37,0.0
80,64,1,2,0,2,0,92,57,-1,true,96,68.18,70.43,68.42,0.0
81,9,1,2,0,0,2,59,82,-1,false,0,99.0,80.32,79.39,0.0
82,1,1,2,0,0,2,148,135,-1,false,0,98.49,78.64,80.26,0.0
83,140,1,2,0,2,0,135,129,-1,true,99,75.36,71.58,73.4,0.0
84,50,1,2,0,2,0,82,112,-1,true,95,72.5,79.59,79.22,0.0
85,67,1,2,0,2,0,145,49,-1,true,96,63.64,66.67,66.44,0.0
86,104,1,2,0,2,0,134,139,-1,true,97,64.71,69.3,70.37,0.0
87,44,1,2,0,2,0,82,49,-1,true,95,81.61,76.73,76.95,0.0
88,76,1,2,0,2,0,95,144,-1,true,98,75.0,78.5,76.86,0.0
89,128,1,2,0,2,0,29,92,-1,true,97,72.06,74.21,76.99,0.0
90,68,1,2,0,2,0,139,6,-1,true,97,78.95,78.78,92.85,0.0
91,8,1,2,0,2,0,145,6,-1,true,99,86.12,76.77,94.79,0.0
92,87,1,2,0,2,0,101,112,-1,true,98,74.73,69.09,74.94,0.0
93,20,1,2,0,2,0,139,48,-1,true,98,76.32,74.51,73.06,0.0
94,138,1,2,0,2,0,144,135,-1,true,97,77.27,79.02,79.47,0.0
95,112,1,2,1,0,0,-1,-1,-1,true,97,82.34,0.0,0.0,0.0
96,59,1,2,1,0,0,-1,-1,-1,true,97,77.74,0.0,0.0,0.0
97,59,1,2,1,1,0,112,-1,-1,true,98,79.03,0.0,0.0,0.0
98,59,1,2,1,0,0,-1,-1,-1,true,99,80.65,0.0,0.0,0.0
99,59,1,2,2,0,0,-1,-1,-1,false,0,80.0,0.0,0.0,0.0
100,59,1,3,0,2,0,142,82,-1,true,128,77.42,76.25,75.1,0.0
101,11,1,3,0,2,0,135,90,-1,true,129,87.27,78.42,78.11,0.0
102,111,1,3,0,2,0,82,15,-1,true,131,74.07,80.82,80.12,0.0
103,20,1,3,0,0,2,48,81,-1,false,0,93.16,74.17,70.0,0.0
104,79,1,3,0,2,0,82,45,-1,true,128,80.23,77.55,80.73,0.0
105,73,1,3,0,2,0,148,101,-1,true,128,77.78,73.64,69.09,0.0
106,37,1,3,0,2,0,35,135,-1,true,128,82.08,79.12,76.32,0.0
107,114,1,3,0,2,0,82,81,-1,true,130,78.05,76.94,71.25,0.0
108,63,1,3,0,2,1,148,101,94,true,129,77.27,69.09,65.45,76.0
109,84,1,3,0,2,0,121,135,-1,true,129,73.08,77.04,76.84,0.0
110,39,1,3,0,2,0,121,0,-1,true,132,72.68,75.56,89.76,0.0
111,122,1,3,0,2,0,53,101,-1,true,130,80.68,76.67,75.45,0.0
112,107,1,3,0,2,0,34,148,-1,true,128,79.44,81.63,77.27,0.0
113,108,1,3,0,2,0,94,142,-1,true,129,68.52,78.0,78.25,0.0
114,93,1,3,0,2,0,62,53,-1,true,131,77.06,76.05,84.0,0.0
115,58,1,3,0,2,0,142,48,-1,true,132,75.0,73.25,74.17,0.0
116,104,1,3,0,2,0,101,35,-1,true,128,73.53,70.0,80.0,0.0
117,109,1,3,0,2,0,45,35,-1,true,131,81.82,84.63,83.82,0.0
118,117,1,3,0,2,0,145,135,-1,true,132,76.32,79.46,80.0,0.0
119,44,1,3,0,2,0,148,35,-1,true,131,77.59,79.55,80.29,0.0
120,72,1,3,0,2,0,53,48,-1,true,130,77.66,83.67,78.89,0.0
121,86,1,3,0,2,0,92,82,-1,true,132,77.63,82.26,80.0,0.0
122,130,1,3,0,2,0,15,94,-1,true,131,73.08,78.31,80.0,0.0
123,57,1,3,0,0,2,34,135,-1,false,0,89.47,78.14,73.16,0.0
124,55,1,3,0,2,0,92,53,-1,true,130,72.37,77.74,80.0,0.0
125,103,1,3,0,2,0,129,35,-1,true,130,73.08,73.92,76.76,0.0
126,138,1,3,0,2,0,81,35,-1,true,129,78.41,80.0,84.41,0.0
127,102,1,3,0,2,0,145,129,-1,true,132,75.0,77.74,77.53,0.0
128,101,1,3,1,0,0,-1,-1,-1,true,129,70.0,0.0,0.0,0.0
129,135,1,3,1,0,0,-1,-1,-1,true,130,78.95,0.0,0.0,0.0
130,82,1,3,1,0,0,-1,-1,-1,true,131,83.27,0.0,0.0,0.0
131,35,1,3,1,0,0,-1,-1,-1,true,132,87.65,0.0,0.0,0.0
132,129,1,3,2,0,0,-1,-1,-1,false,0,82.06,0.0,0.0,0.0
133,139,1,4,0,2,0,20,112,-1,true,162,86.59,85.53,83.12,0.0
134,84,1,4,0,2,0,49,125,-1,true,163,74.73,81.53,88.0,0.0
135,36,1,4,0,2,0,49,104,-1,true,162,68.52,75.59,77.65,0.0
