modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,2,1,0,0,2,0,7,113,-1,true,32,34.62,45.16,42.17,0.0
3,10,1,0,0,2,0,97,15,-1,true,36,69.07,67.72,69.26,0.0
4,11,1,0,0,2,0,144,65,-1,true,34,30.43,46.21,42.89,0.0
5,14,1,0,0,2,0,144,7,-1,true,33,62.5,67.41,67.31,0.0
6,17,1,0,0,2,0,98,25,-1,true,34,65.0,56.88,58.28,0.0
7,22,1,0,0,2,0,60,144,-1,true,35,34.62,30.34,33.28,0.0
8,24,1,0,0,2,0,145,13,-1,true,34,71.21,72.5,73.0,0.0
9,26,1,0,0,2,0,144,97,-1,true,36,63.43,64.66,56.49,0.0
10,32,1,0,0,2,0,7,100,-1,true,33,58.51,61.29,65.0,0.0
11,37,1,0,0,2,0,48,117,-1,true,35,63.46,70.0,61.07,0.0
12,42,1,0,0,2,0,25,54,-1,true,32,66.88,67.93,66.79,0.0
13,46,1,0,0,2,0,0,54,-1,true,33,63.79,63.33,61.79,0.0
14,52,1,0,0,2,0,113,129,-1,true,32,30.56,40.65,44.67,0.0
15,61,1,0,0,2,0,117,144,-1,true,33,62.16,59.07,61.9,0.0
16,74,1,0,0,2,0,65,117,-1,true,33,70.15,68.07,67.6,0.0
17,83,1,0,0,2,0,13,7,-1,true,36,59.87,69.5,69.78,0.0
18,93,1,0,0,2,0,39,54,-1,true,37,64.52,66.96,64.4,0.0
19,96,1,0,0,2,0,70,0,-1,true,35,53.57,55.88,55.0,0.0
20,99,1,0,0,2,0,117,13,-1,true,32,56.12,58.0,55.75,0.0
21,102,1,0,0,2,0,65,100,-1,true,34,61.82,61.08,58.33,0.0
22,103,1,0,0,0,2,100,15,-1,false,0,53.12,38.33,42.22,0.0
23,105,1,0,0,2,1,39,100,54,true,35,56.1,47.83,42.5,46.79
24,123,1,0,0,2,0,48,15,-1,true,34,65.38,78.89,67.78,0.0
25,126,1,0,0,0,2,100,25,-1,false,0,62.16,51.67,50.69,0.0
26,132,1,0,0,2,0,109,145,-1,true,35,56.25,62.62,63.03,0.0
27,137,1,0,0,2,0,13,100,-1,true,32,26.67,35.0,35.0,0.0
28,138,1,0,0,2,0,97,113,-1,true,32,50.0,54.21,56.74,0.0
29,139,1,0,0,2,0,7,60,-1,true,37,68.92,67.31,64.25,0.0
30,141,1,0,0,2,0,70,100,-1,true,36,55.0,51.62,45.83,0.0
31,146,1,0,0,2,0,54,109,-1,true,36,53.49,56.31,54.88,0.0
32,113,1,0,1,0,0,-1,-1,-1,true,33,45.22,0.0,0.0,0.0
33,113,1,0,1,1,1,25,144,-1,true,34,55.87,0.0,0.0,0.0
34,100,1,0,1,0,0,-1,-1,-1,true,35,52.5,0.0,0.0,0.0
35,113,1,0,1,0,0,-1,-1,-1,true,36,49.24,0.0,0.0,0.0
36,100,1,0,1,0,0,-1,-1,-1,true,37,56.67,0.0,0.0,0.0
37,100,1,0,2,0,0,-1,-1,-1,false,0,59.17,0.0,0.0,0.0
38,82,1,1,0,2,0,51,99,-1,true,66,76.29,74.31,72.04,0.0
39,103,1,1,0,2,0,25,13,-1,true,68,71.88,70.0,87.6,0.0
