modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,4,1,0,0,2,0,27,10,-1,true,14,65.24,57.57,57.78,0.0
3,7,1,0,0,2,0,46,48,-1,true,13,70.88,73.62,71.6,0.0
4,9,1,0,0,2,0,19,36,-1,true,13,70.24,67.11,63.29,0.0
5,13,1,0,0,2,0,48,27,-1,true,12,42.0,47.8,44.86,0.0
6,15,1,0,0,2,0,46,19,-1,true,15,57.78,64.75,62.67,0.0
7,23,1,0,0,2,0,27,36,-1,true,12,64.63,55.41,54.71,0.0
8,32,1,0,0,2,0,0,36,-1,true,12,64.15,64.75,62.86,0.0
9,35,1,0,0,2,0,27,36,-1,true,14,52.54,50.81,54.71,0.0
10,38,1,0,0,2,0,10,48,-1,true,15,42.86,37.07,33.6,0.0
11,41,1,0,0,2,0,27,10,-1,true,13,75.76,70.27,70.1,0.0
12,0,1,0,1,1,0,27,-1,-1,true,14,53.0,0.0,0.0,0.0
13,46,1,0,1,0,0,-1,-1,-1,true,15,61.75,0.0,0.0,0.0
14,10,1,0,1,0,0,-1,-1,-1,true,16,55.05,0.0,0.0,0.0
15,48,1,0,1,0,0,-1,-1,-1,true,16,52.4,0.0,0.0,0.0
16,48,1,0,2,0,0,-1,-1,-1,false,0,55.4,0.0,0.0,0.0
17,28,1,1,0,2,0,30,32,-1,true,26,76.79,71.25,72.83,0.0
18,27,1,1,0,2,0,1,19,-1,true,27,66.22,88.42,76.11,0.0
19,5,1,1,0,0,2,32,30,-1,false,0,82.5,70.0,70.83,0.0
20,9,1,1,0,2,0,15,16,-1,true,27,70.24,70.44,70.48,0.0
21,4,1,1,0,1,2,1,19,15,false,0,95.12,90.32,77.44,73.78
22,29,1,1,0,2,0,32,1,-1,true,28,68.97,72.64,84.0,0.0
23,33,1,1,0,2,0,16,30,-1,true,26,57.14,66.27,66.67,0.0
24,48,1,1,0,2,0,44,16,-1,true,28,72.0,70.15,71.69,0.0
25,24,1,1,0,2,0,19,30,-1,true,26,76.42,69.0,74.58,0.0
26,15,1,1,1,0,0,-1,-1,-1,true,27,68.67,0.0,0.0,0.0
27,32,1,1,1,1,0,1,-1,-1,true,28,73.96,0.0,0.0,0.0
28,1,1,1,1,0,0,-1,-1,-1,true,29,71.05,0.0,0.0,0.0
29,1,1,1,2,0,0,-1,-1,-1,false,0,71.05,0.0,0.0,0.0
30,49,1,2,0,2,1,36,0,34,true,42,87.1,82.43,58.8,85.41
31,24,1,2,0,2,0,19,36,-1,true,40,82.08,80.44,78.71,0.0
32,43,1,2,0,2,0,10,1,-1,true,42,88.69,83.74,84.74,0.0
33,28,1,2,0,2,0,36,19,-1,true,44,84.82,80.0,81.22,0.0
34,12,1,2,0,2,0,0,34,-1,true,40,88.78,96.9,80.81,0.0
35,23,1,2,0,2,0,34,1,-1,true,40,71.95,74.86,74.74,0.0
36,7,1,2,0,2,0,44,19,-1,true,42,84.62,82.35,84.22,0.0
37,16,1,2,0,2,0,10,44,-1,true,43,80.72,80.71,83.68,0.0
38,48,1,2,0,2,0,1,36,-1,true,41,80.0,79.47,78.57,0.0
39,29,1,2,0,2,0,0,34,-1,true,41,76.72,98.1,81.89,0.0
40,10,1,2,1,1,0,36,-1,-1,true,41,78.48,0.0,0.0,0.0
41,0,1,2,1,0,0,-1,-1,-1,true,43,82.5,0.0,0.0,0.0
42,34,1,2,1,0,0,-1,-1,-1,true,43,85.95,0.0,0.0,0.0
43,34,1,2,1,0,0,-1,-1,-1,true,44,82.43,0.0,0.0,0.0
44,34,1,2,2,0,0,-1,-1,-1,false,0,83.51,0.0,0.0,0.0
45,28,1,3,0,2,0,34,19,-1,true,54,90.18,85.14,84.78,0.0
46,32,1,3,0,2,0,19,4,-1,true,56,87.74,85.0,99.51,0.0
47,42,1,3,0,2,0,4,34,-1,true,55,81.25,98.2,81.89,0.0
48,10,1,3,0,2,0,35,9,-1,true,54,81.31,82.03,97.14,0.0
49,16,1,3,0,2,0,48,1,-1,true,57,79.52,82.8,82.11,0.0
50,18,1,3,0,2,0,1,35,-1,true,55,86.3,82.11,82.2,0.0
51,0,1,3,0,0,2,48,34,-1,false,0,99.0,81.8,84.32,0.0
52,14,1,3,0,2,0,9,48,-1,true,54,86.9,98.14,82.0,0.0
53,15,1,3,0,2,0,1,35,-1,true,56,88.89,83.16,83.05,0.0
54,19,1,3,1,0,0,-1,-1,-1,true,55,85.22,0.0,0.0,0.0
55,19,1,3,1,0,0,-1,-1,-1,true,56,84.89,0.0,0.0,0.0
56,19,1,3,1,0,0,-1,-1,-1,true,57,85.22,0.0,0.0,0.0
57,19,1,3,2,0,0,-1,-1,-1,false,0,84.0,0.0,0.0,0.0
58,32,1,4,0,2,0,48,30,-1,true,67,90.57,83.2,83.75,0.0
59,7,1,4,0,0,2,34,0,-1,false,0,99.0,84.32,83.5,0.0
60,37,1,4,0,2,0,4,48,-1,true,67,60.71,92.78,76.0,0.0
61,36,1,4,0,2,0,0,10,-1,true,67,85.0,86.0,83.64,0.0
62,16,1,4,0,2,0,34,0,-1,true,68,83.73,84.32,84.5,0.0
63,35,1,4,0,2,0,44,30,-1,true,69,75.42,82.94,83.75,0.0
64,19,1,4,0,2,0,30,10,-1,true,69,83.33,80.42,80.2,0.0
65,31,1,4,0,2,0,0,44,-1,true,68,86.47,84.25,84.12,0.0
66,15,1,4,0,2,1,34,4,30,true,68,90.0,84.05,58.99,83.33
67,48,1,4,1,0,0,-1,-1,-1,true,69,83.2,0.0,0.0,0.0
68,0,1,4,1,0,0,-1,-1,-1,true,70,84.0,0.0,0.0,0.0
69,4,1,4,1,1,0,4,-1,-1,true,70,81.59,0.0,0.0,0.0
70,4,1,4,2,0,0,-1,-1,-1,false,0,82.32,0.0,0.0,0.0
71,39,1,5,0,2,0,15,35,-1,true,82,87.08,82.44,85.25,0.0
72,13,1,5,0,2,0,34,1,-1,true,81,84.0,82.16,84.21,0.0
73,38,1,5,0,2,0,32,34,-1,true,82,85.71,85.28,82.7,0.0
74,42,1,5,0,2,0,1,15,-1,true,81,83.75,84.21,82.67,0.0
75,16,1,5,0,2,1,4,32,15,true,85,83.73,58.39,84.53,82.67
76,14,1,5,0,2,1,9,34,32,true,81,89.29,58.25,84.32,83.77
77,19,1,5,0,2,0,32,4,-1,true,83,84.44,85.47,98.78,0.0
78,20,1,5,0,2,1,4,34,15,true,84,86.92,58.22,84.05,82.22
79,44,1,5,0,2,1,9,34,35,true,84,88.97,58.92,85.68,84.24
80,10,1,5,0,2,0,35,32,-1,true,82,82.32,83.39,85.66,0.0
81,32,1,5,1,1,0,20,-1,-1,true,83,85.09,0.0,0.0,0.0
82,35,1,5,1,0,0,-1,-1,-1,true,83,83.73,0.0,0.0,0.0
83,34,1,5,1,0,0,-1,-1,-1,true,84,83.51,0.0,0.0,0.0
84,34,1,5,1,0,0,-1,-1,-1,true,85,84.86,0.0,0.0,0.0
85,34,1,5,2,0,0,-1,-1,-1,false,0,83.78,0.0,0.0,0.0
86,34,1,6,0,2,0,32,30,-1,true,96,79.73,83.4,80.83,0.0
87,42,1,6,0,2,1,15,1,30,true,99,83.75,82.89,58.95,83.75
88,7,1,6,0,0,2,13,30,-1,false,0,99.0,84.4,85.83,0.0
89,36,1,6,0,2,0,30,13,-1,true,97,85.0,83.33,84.8,0.0
90,10,1,6,0,2,0,35,30,-1,true,97,82.83,83.56,82.5,0.0
91,18,1,6,0,2,1,1,20,30,true,99,84.93,58.21,81.23,80.83
92,4,1,6,0,2,0,30,13,-1,true,98,84.15,81.67,84.4,0.0
93,29,1,6,0,2,0,13,32,-1,true,96,79.31,82.0,84.53,0.0
94,48,1,6,0,2,0,13,20,-1,true,96,86.0,84.0,84.15,0.0
95,44,1,6,0,2,0,13,35,-1,true,97,88.97,83.6,84.07,0.0
96,20,1,6,1,1,0,23,-1,-1,true,98,82.77,0.0,0.0,0.0
97,13,1,6,1,0,0,-1,-1,-1,true,98,84.8,0.0,0.0,0.0
98,13,1,6,1,1,0,42,-1,-1,true,99,84.8,0.0,0.0,0.0
99,20,1,6,2,0,0,-1,-1,-1,false,0,83.23,0.0,0.0,0.0
100,32,1,7,0,2,0,30,34,-1,true,109,90.57,85.83,84.59,0.0
101,7,1,7,0,0,2,13,47,-1,false,0,99.0,84.0,83.57,0.0
102,46,1,7,0,2,0,10,30,-1,true,109,80.0,81.41,82.92,0.0
103,35,1,7,0,2,0,30,13,-1,true,109,77.97,83.75,82.8,0.0
104,20,1,7,0,2,0,13,0,-1,true,110,86.92,84.0,86.0,0.0
105,26,1,7,0,2,0,13,30,-1,true,112,83.77,84.4,83.33,0.0
106,31,1,7,0,2,0,30,47,-1,true,111,87.06,85.0,83.57,0.0
107,15,1,7,0,2,0,47,10,-1,true,111,90.0,81.79,81.11,0.0
108,24,1,7,0,2,0,47,16,-1,true,110,84.91,82.5,84.82,0.0
109,47,1,7,1,0,0,-1,-1,-1,true,110,83.21,0.0,0.0,0.0
110,47,1,7,1,0,0,-1,-1,-1,true,111,83.57,0.0,0.0,0.0
111,47,1,7,1,1,0,47,-1,-1,true,112,82.86,0.0,0.0,0.0
112,47,1,7,2,0,0,-1,-1,-1,false,0,82.86,0.0,0.0,0.0
113,34,1,8,0,2,0,15,36,-1,true,123,81.08,81.78,81.29,0.0
114,12,1,8,0,2,0,19,36,-1,true,124,89.8,85.56,83.0,0.0
115,42,1,8,0,2,0,7,28,-1,true,124,82.5,85.49,84.46,0.0
116,18,1,8,0,2,0,32,19,-1,true,123,84.93,84.15,84.22,0.0
117,3,1,8,0,2,0,15,32,-1,true,126,85.8,82.0,85.47,0.0
118,4,1,8,0,2,0,32,28,-1,true,127,84.76,85.47,85.0,0.0
119,9,1,8,0,2,0,36,7,-1,true,124,85.71,81.57,84.07,0.0
120,35,1,8,0,2,0,7,19,-1,true,126,78.81,84.62,84.33,0.0
121,47,1,8,0,2,0,28,32,-1,true,125,82.14,85.0,85.66,0.0
122,38,1,8,0,2,0,36,44,-1,true,123,85.71,82.29,83.97,0.0
123,36,1,8,1,0,0,-1,-1,-1,true,125,82.29,0.0,0.0,0.0
124,28,1,8,1,0,0,-1,-1,-1,true,125,84.46,0.0,0.0,0.0
125,36,1,8,1,0,0,-1,-1,-1,true,126,83.29,0.0,0.0,0.0
126,36,1,8,1,0,0,-1,-1,-1,true,127,83.29,0.0,0.0,0.0
127,36,1,8,2,0,0,-1,-1,-1,false,0,83.14,0.0,0.0,0.0
128,37,1,9,0,2,0,34,19,-1,true,137,85.71,84.05,85.0,0.0
129,38,1,9,0,2,0,4,0,-1,true,136,85.71,99.37,84.75,0.0
130,45,1,9,0,2,0,0,34,-1,true,137,79.17,84.25,84.59,0.0
