modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,8,1,0,0,2,0,3,5,-1,true,14,53.06,65.48,68.1,0.0
3,10,1,0,0,2,1,7,2,3,true,16,69.57,60.48,58.62,62.14
4,12,1,0,0,2,0,4,7,-1,true,14,65.12,61.82,61.93,0.0
5,13,1,0,0,2,0,2,0,-1,true,13,45.65,44.48,44.79,0.0
6,14,1,0,0,2,0,1,6,-1,true,12,70.25,63.89,64.74,0.0
7,15,1,0,0,2,0,5,1,-1,true,12,56.36,62.38,55.56,0.0
8,16,1,0,0,2,0,6,5,-1,true,13,67.68,64.74,72.38,0.0
9,17,1,0,0,2,0,1,2,-1,true,15,61.11,60.56,60.52,0.0
10,18,1,0,0,2,0,4,1,-1,true,15,60.83,62.73,59.72,0.0
11,20,1,0,0,2,0,0,6,-1,true,12,57.32,53.75,57.89,0.0
12,1,1,0,1,0,0,-1,-1,-1,true,13,56.39,0.0,0.0,0.0
13,1,1,0,1,1,2,3,0,-1,true,14,53.89,0.0,0.0,0.0
14,5,1,0,1,1,2,3,0,-1,true,15,63.81,0.0,0.0,0.0
15,1,1,0,1,1,2,1,9,-1,true,16,56.67,0.0,0.0,0.0
16,1,1,0,2,0,0,-1,-1,-1,false,0,57.78,0.0,0.0,0.0
17,10,1,1,0,2,0,1,5,-1,true,29,69.57,62.5,86.86,0.0
18,13,1,1,0,2,0,1,9,-1,true,27,67.39,60.83,64.72,0.0
19,12,1,1,0,2,0,5,9,-1,true,27,68.6,82.29,65.28,0.0
20,14,1,1,0,2,0,2,6,-1,true,27,83.54,93.1,90.32,0.0
21,11,1,1,0,2,0,3,9,-1,true,28,65.54,85.43,68.89,0.0
22,15,1,1,0,2,0,6,5,-1,true,28,64.55,80.84,90.29,0.0
23,16,1,1,0,2,0,6,1,-1,true,29,69.51,84.0,67.22,0.0
