modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,22,1,0,0,2,0,9,10,-1,true,15,56.9,56.45,54.55,0.0
3,24,1,0,0,2,0,15,16,-1,true,14,67.5,71.88,61.11,0.0
4,25,1,0,0,2,0,10,11,-1,true,12,45.24,50.0,45.45,0.0
5,27,1,0,0,2,0,11,16,-1,true,12,67.61,63.64,61.11,0.0
6,29,1,0,0,2,0,15,10,-1,true,15,71.76,70.62,69.7,0.0
7,30,1,0,0,2,0,20,11,-1,true,14,69.0,71.88,72.73,0.0
8,31,1,0,0,2,0,16,18,-1,true,15,61.0,57.41,58.62,0.0
9,32,1,0,0,2,0,16,0,-1,true,13,64.29,61.11,68.75,0.0
10,34,1,0,0,2,0,9,10,-1,true,12,34.48,51.61,46.97,0.0
11,38,1,0,0,2,0,10,18,-1,true,13,63.39,57.58,60.34,0.0
12,10,1,0,1,1,1,7,19,-1,true,13,43.94,0.0,0.0,0.0
13,10,1,0,1,0,0,-1,-1,-1,true,14,53.03,0.0,0.0,0.0
14,9,1,0,1,1,0,9,-1,-1,true,16,55.65,0.0,0.0,0.0
15,10,1,0,1,0,0,-1,-1,-1,true,16,59.09,0.0,0.0,0.0
16,9,1,0,2,0,0,-1,-1,-1,false,0,54.03,0.0,0.0,0.0
17,34,1,1,0,2,0,9,10,-1,true,27,58.62,80.32,68.18,0.0
18,28,1,1,0,2,0,11,10,-1,true,30,62.96,56.06,62.12,0.0
19,27,1,1,0,2,0,10,16,-1,true,27,76.06,75.76,74.07,0.0
20,29,1,1,0,2,0,20,11,-1,true,28,78.82,81.25,75.76,0.0
21,43,1,1,0,2,0,11,7,-1,true,28,76.04,68.18,87.69,0.0
22,30,1,1,0,2,0,9,10,-1,true,31,76.5,88.06,78.79,0.0
23,25,1,1,0,2,0,7,9,-1,true,29,54.76,75.38,77.42,0.0
24,31,1,1,0,2,0,16,10,-1,true,29,73.0,70.37,63.64,0.0
25,44,1,1,0,2,0,10,16,-1,true,27,69.35,62.12,64.81,0.0
26,38,1,1,0,2,1,11,16,19,true,30,80.36,72.73,68.52,77.88
27,10,1,1,1,0,0,-1,-1,-1,true,28,72.73,0.0,0.0,0.0
28,7,1,1,1,0,0,-1,-1,-1,true,29,79.49,0.0,0.0,0.0
29,7,1,1,1,0,0,-1,-1,-1,true,30,74.36,0.0,0.0,0.0
30,7,1,1,1,1,1,7,9,-1,true,31,71.79,0.0,0.0,0.0
31,7,1,1,2,0,0,-1,-1,-1,false,0,71.79,0.0,0.0,0.0
32,28,1,2,0,2,0,14,7,-1,true,43,79.63,70.54,78.21,0.0
33,19,1,2,0,2,0,1,3,-1,true,44,75.96,97.24,82.89,0.0
34,27,1,2,0,2,0,7,10,-1,true,42,85.21,78.21,75.76,0.0
35,29,1,2,0,2,0,10,1,-1,true,42,86.47,83.33,98.28,0.0
36,18,1,2,0,2,1,3,11,7,true,45,86.21,82.89,71.21,78.21
37,20,1,2,0,2,0,3,15,-1,true,42,90.62,88.16,83.12,0.0
38,24,1,2,0,2,1,3,14,7,true,44,81.25,84.21,70.54,79.49
39,25,1,2,0,2,1,11,10,3,true,45,83.33,72.73,81.82,81.58
40,22,1,2,0,2,1,14,10,3,true,43,86.21,75.0,84.85,88.16
41,31,1,2,0,1,2,15,10,11,false,0,85.0,79.38,74.24,72.73
42,1,1,2,1,0,0,-1,-1,-1,true,43,78.45,0.0,0.0,0.0
43,1,1,2,1,0,0,-1,-1,-1,true,44,80.17,0.0,0.0,0.0
44,1,1,2,1,0,0,-1,-1,-1,true,45,81.03,0.0,0.0,0.0
45,1,1,2,2,0,0,-1,-1,-1,false,0,81.03,0.0,0.0,0.0
46,28,1,3,0,2,0,15,16,-1,true,56,79.63,82.5,83.33,0.0
47,19,1,3,0,2,0,6,14,-1,true,56,78.85,81.41,74.11,0.0
48,29,1,3,0,2,0,11,7,-1,true,57,85.29,77.27,79.49,0.0
49,18,1,3,0,2,1,16,14,6,true,59,86.21,83.33,74.11,83.97
50,20,1,3,0,2,0,9,15,-1,true,57,90.62,96.77,83.12,0.0
51,30,1,3,0,2,0,7,11,-1,true,58,81.5,76.92,77.27,0.0
52,25,1,3,0,2,1,14,11,7,true,57,83.33,75.0,72.73,79.49
53,22,1,3,0,1,2,14,7,11,false,0,87.93,74.11,78.21,74.24
54,31,1,3,0,2,1,9,11,15,true,58,90.0,97.74,72.73,84.38
55,24,1,3,0,2,0,16,11,-1,true,56,81.25,81.48,78.79,0.0
56,14,1,3,1,0,0,-1,-1,-1,true,58,73.21,0.0,0.0,0.0
57,6,1,3,1,0,0,-1,-1,-1,true,59,83.33,0.0,0.0,0.0
58,9,1,3,1,0,0,-1,-1,-1,true,59,83.06,0.0,0.0,0.0
59,6,1,3,2,0,0,-1,-1,-1,false,0,83.33,0.0,0.0,0.0
60,34,1,4,0,2,0,1,20,-1,true,70,75.86,80.17,87.5,0.0
61,28,1,4,0,2,0,10,19,-1,true,73,79.63,75.76,85.58,0.0
62,37,1,4,0,2,1,22,15,10,true,73,84.21,74.14,82.5,78.79
63,38,1,4,0,2,0,10,15,-1,true,70,83.93,80.3,83.12,0.0
64,36,1,4,0,2,0,19,10,-1,true,73,82.95,85.58,75.76,0.0
65,35,1,4,0,2,0,10,1,-1,true,71,80.99,78.79,81.03,0.0
66,24,1,4,0,2,0,16,10,-1,true,71,81.25,83.33,75.76,0.0
67,30,1,4,0,2,0,1,20,-1,true,72,85.0,80.17,87.5,0.0
68,25,1,4,0,2,0,16,19,-1,true,70,85.71,85.19,86.54,0.0
69,31,1,4,0,2,1,15,10,16,true,72,88.0,84.38,75.76,85.19
70,16,1,4,1,0,0,-1,-1,-1,true,71,83.33,0.0,0.0,0.0
71,1,1,4,1,0,0,-1,-1,-1,true,72,80.17,0.0,0.0,0.0
72,1,1,4,1,0,0,-1,-1,-1,true,74,79.31,0.0,0.0,0.0
73,10,1,4,1,1,0,9,-1,-1,true,74,75.76,0.0,0.0,0.0
74,1,1,4,2,0,0,-1,-1,-1,false,0,80.17,0.0,0.0,0.0
75,34,1,5,0,2,0,9,19,-1,true,85,75.86,83.06,85.58,0.0
76,28,1,5,0,2,0,24,9,-1,true,87,79.63,83.75,83.87,0.0
77,37,1,5,0,2,0,19,16,-1,true,88,84.21,84.62,81.48,0.0
78,27,1,5,0,2,0,19,24,-1,true,88,85.92,83.65,84.38,0.0
79,32,1,5,0,2,0,16,11,-1,true,85,83.33,85.19,75.76,0.0
80,38,1,5,0,2,1,11,25,16,true,86,83.93,75.76,71.43,83.33
81,26,1,5,0,2,0,20,19,-1,true,88,86.62,85.94,84.62,0.0
82,29,1,5,0,2,0,20,9,-1,true,86,85.29,89.06,83.06,0.0
83,30,1,5,0,2,0,16,20,-1,true,85,85.0,85.19,87.5,0.0
84,31,1,5,0,2,1,11,19,16,true,87,89.0,74.24,85.58,85.19
85,11,1,5,1,0,0,-1,-1,-1,true,86,77.27,0.0,0.0,0.0
86,11,1,5,1,1,0,11,-1,-1,true,87,77.27,0.0,0.0,0.0
87,9,1,5,1,0,0,-1,-1,-1,true,89,83.06,0.0,0.0,0.0
88,11,1,5,1,0,0,-1,-1,-1,true,89,75.76,0.0,0.0,0.0
89,9,1,5,2,0,0,-1,-1,-1,false,0,83.06,0.0,0.0,0.0
90,34,1,6,0,2,0,11,22,-1,true,100,75.86,77.27,75.86,0.0
91,32,1,6,0,2,1,16,14,19,true,102,83.33,85.19,73.21,84.62
92,27,1,6,0,2,0,18,19,-1,true,101,85.92,77.59,82.69,0.0
93,38,1,6,0,2,0,14,11,-1,true,100,83.93,75.0,75.76,0.0
94,26,1,6,0,2,0,16,11,-1,true,103,86.62,85.19,77.27,0.0
95,29,1,6,0,2,0,19,18,-1,true,103,85.29,84.62,79.31,0.0
96,30,1,6,0,2,0,16,11,-1,true,100,84.5,85.19,77.27,0.0
97,25,1,6,0,2,0,14,9,-1,true,101,83.33,75.0,83.06,0.0
98,31,1,6,0,1,2,16,14,11,false,0,87.0,81.48,73.21,74.24
99,24,1,6,0,2,0,14,11,-1,true,101,81.25,72.32,75.76,0.0
100,16,1,6,1,0,0,-1,-1,-1,true,102,85.19,0.0,0.0,0.0
101,9,1,6,1,0,0,-1,-1,-1,true,102,82.26,0.0,0.0,0.0
102,9,1,6,1,0,0,-1,-1,-1,true,103,83.06,0.0,0.0,0.0
103,9,1,6,2,0,0,-1,-1,-1,false,0,83.06,0.0,0.0,0.0
104,34,1,7,0,2,1,3,15,16,true,114,75.86,60.79,83.12,85.19
105,28,1,7,0,2,1,16,3,10,true,116,83.33,85.19,59.87,77.27
106,37,1,7,0,2,1,3,9,10,true,116,84.21,58.95,83.06,78.79
107,38,1,7,0,2,0,9,10,-1,true,114,83.93,83.87,78.79,0.0
108,27,1,7,0,2,1,3,9,15,true,117,86.62,59.87,81.45,82.5
109,20,1,7,0,2,0,10,19,-1,true,114,84.38,75.76,84.62,0.0
110,30,1,7,0,1,2,10,16,3,false,0,85.5,74.24,85.19,59.87
111,25,1,7,0,2,0,18,15,-1,true,115,85.71,77.59,82.5,0.0
112,22,1,7,0,2,1,15,3,18,true,117,86.21,82.5,59.87,77.59
113,31,1,7,0,2,1,3,16,19,true,115,88.0,60.79,81.48,83.65
114,10,1,7,1,1,0,14,-1,-1,true,115,77.27,0.0,0.0,0.0
115,15,1,7,1,1,0,16,-1,-1,true,116,83.12,0.0,0.0,0.0
116,10,1,7,1,0,0,-1,-1,-1,true,117,77.27,0.0,0.0,0.0
117,3,1,7,2,0,0,-1,-1,-1,false,0,85.53,0.0,0.0,0.0
118,34,1,8,0,2,0,3,10,-1,true,128,77.59,85.53,77.27,0.0
119,28,1,8,0,2,0,16,10,-1,true,129,83.33,83.33,77.27,0.0
120,38,1,8,0,2,1,9,10,16,true,130,83.93,58.15,77.27,83.33
121,26,1,8,0,2,1,3,9,18,true,130,86.62,84.21,58.15,77.59
122,39,1,8,0,2,0,20,3,-1,true,128,88.1,89.06,85.53,0.0
123,43,1,8,0,2,0,22,16,-1,true,129,81.77,79.31,85.19,0.0
124,30,1,8,0,2,1,10,16,20,true,131,84.5,74.24,83.33,87.5
125,25,1,8,0,2,0,18,3,-1,true,128,83.33,77.59,85.53,0.0
126,31,1,8,0,1,2,20,10,22,false,0,89.0,89.06,75.76,77.59
127,29,1,8,0,2,1,3,9,10,true,131,85.29,85.53,58.15,77.27
128,3,1,8,1,1,0,3,-1,-1,true,129,85.53,0.0,0.0,0.0
129,3,1,8,1,1,0,16,-1,-1,true,130,85.53,0.0,0.0,0.0
130,3,1,8,1,0,0,-1,-1,-1,true,131,85.53,0.0,0.0,0.0
131,3,1,8,1,0,0,-1,-1,-1,true,132,85.53,0.0,0.0,0.0
132,3,1,8,2,0,0,-1,-1,-1,false,0,85.53,0.0,0.0,0.0
133,34,1,9,0,2,0,1,19,-1,true,143,77.59,80.17,84.62,0.0
134,29,1,9,0,2,0,15,10,-1,true,143,85.29,82.5,77.27,0.0
135,26,1,9,0,2,0,10,15,-1,true,146,86.62,77.27,82.5,0.0
136,20,1,9,0,2,0,10,1,-1,true,143,84.38,77.27,79.31,0.0
137,30,1,9,0,2,1,10,9,15,true,147,84.5,75.76,58.15,81.88
138,25,1,9,0,2,0,18,16,-1,true,144,83.33,77.59,83.33,0.0
139,22,1,9,0,2,1,16,9,19,true,145,87.93,83.33,58.15,84.62
140,31,1,9,0,2,0,1,15,-1,true,145,89.0,80.17,82.5,0.0
141,32,1,9,0,2,1,9,19,18,true,146,83.93,58.15,84.62,77.59
142,24,1,9,0,2,0,15,10,-1,true,144,80.62,81.88,77.27,0.0
143,10,1,9,1,0,0,-1,-1,-1,true,144,77.27,0.0,0.0,0.0
144,1,1,9,1,0,0,-1,-1,-1,true,145,80.17,0.0,0.0,0.0
145,1,1,9,1,0,0,-1,-1,-1,true,146,80.17,0.0,0.0,0.0
146,1,1,9,1,1,1,1,10,-1,true,147,80.17,0.0,0.0,0.0
147,1,1,9,2,0,0,-1,-1,-1,false,0,79.31,0.0,0.0,0.0
148,34,1,10,0,2,0,1,16,-1,true,158,77.59,95.17,83.33,0.0
149,28,1,10,0,2,0,18,14,-1,true,159,83.33,79.31,74.11,0.0
150,38,1,10,0,2,1,9,19,1,true,158,83.93,58.15,84.62,97.24
151,39,1,10,0,2,0,19,20,-1,true,161,88.1,84.62,89.06,0.0
152,43,1,10,0,2,1,14,9,18,true,161,81.77,74.11,58.71,81.03
153,29,1,10,0,2,0,16,1,-1,true,160,85.29,81.48,96.21,0.0
154,47,1,10,0,2,0,16,20,-1,true,159,84.85,85.19,87.5,0.0
155,45,1,10,0,2,0,1,16,-1,true,159,78.33,96.21,85.19,0.0
156,25,1,10,0,2,1,20,14,19,true,158,85.71,87.5,74.11,84.62
157,22,1,10,0,1,2,14,16,9,false,0,86.21,74.11,83.33,58.15
158,16,1,10,1,0,0,-1,-1,-1,true,160,83.33,0.0,0.0,0.0
159,9,1,10,1,0,0,-1,-1,-1,true,160,83.06,0.0,0.0,0.0
160,1,1,10,1,0,0,-1,-1,-1,true,161,79.31,0.0,0.0,0.0
161,1,1,10,1,0,0,-1,-1,-1,true,162,80.17,0.0,0.0,0.0
162,1,1,10,2,0,0,-1,-1,-1,false,0,80.17,0.0,0.0,0.0
163,34,1,11,0,2,1,9,15,10,true,173,75.86,58.15,82.5,77.27
164,27,1,11,0,2,1,10,16,15,true,175,88.03,77.27,83.33,82.5
165,44,1,11,0,0,2,10,18,-1,false,0,93.55,77.27,77.59,0.0
166,38,1,11,0,2,0,15,10,-1,true,173,83.93,82.5,77.27,0.0
167,39,1,11,0,1,2,19,10,18,false,0,88.69,84.62,77.27,77.59
168,24,1,11,0,2,0,16,18,-1,true,174,81.88,83.33,79.31,0.0
