modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,10,1,0,0,2,0,9,25,-1,true,15,63.97,65.42,66.33,0.0
3,15,1,0,0,2,0,9,0,-1,true,12,70.78,66.67,62.22,0.0
4,18,1,0,0,2,0,9,13,-1,true,15,62.68,60.42,60.98,0.0
5,21,1,0,0,2,0,8,9,-1,true,13,37.5,40.73,38.33,0.0
6,27,1,0,0,2,0,9,26,-1,true,12,43.18,46.25,45.29,0.0
7,33,1,0,0,2,0,13,9,-1,true,14,64.94,63.11,63.75,0.0
8,34,1,0,0,2,0,17,20,-1,true,15,71.55,64.62,65.9,0.0
9,38,1,0,0,2,0,20,26,-1,true,12,45.0,52.05,48.24,0.0
10,44,1,0,0,2,0,25,20,-1,true,14,42.0,52.33,48.46,0.0
11,49,1,0,0,2,0,13,17,-1,true,13,73.91,70.49,72.31,0.0
12,26,1,0,1,0,0,-1,-1,-1,true,13,53.68,0.0,0.0,0.0
13,26,1,0,1,0,0,-1,-1,-1,true,14,50.44,0.0,0.0,0.0
14,9,1,0,1,0,0,-1,-1,-1,true,16,49.17,0.0,0.0,0.0
15,8,1,0,1,1,0,27,-1,-1,true,16,57.56,0.0,0.0,0.0
16,9,1,0,2,0,0,-1,-1,-1,false,0,51.25,0.0,0.0,0.0
17,1,1,1,0,2,0,38,21,-1,true,31,50.0,63.33,63.75,0.0
18,31,1,1,0,2,0,14,27,-1,true,29,72.44,72.05,75.0,0.0
19,15,1,1,0,2,0,21,27,-1,true,27,69.48,67.5,65.45,0.0
20,35,1,1,0,2,0,0,17,-1,true,28,70.78,67.22,71.28,0.0
21,39,1,1,0,2,0,41,17,-1,true,30,64.13,70.83,68.85,0.0
22,22,1,1,0,2,0,27,21,-1,true,29,76.63,74.55,74.38,0.0
23,16,1,1,0,2,0,41,38,-1,true,27,78.87,79.58,78.33,0.0
24,44,1,1,0,2,0,14,27,-1,true,27,56.0,67.73,70.45,0.0
25,18,1,1,0,2,0,0,27,-1,true,28,71.13,64.44,68.64,0.0
26,26,1,1,0,2,0,17,21,-1,true,28,70.59,73.21,72.5,0.0
27,38,1,1,1,0,0,-1,-1,-1,true,29,72.67,0.0,0.0,0.0
28,0,1,1,1,0,0,-1,-1,-1,true,30,65.56,0.0,0.0,0.0
29,38,1,1,1,0,0,-1,-1,-1,true,30,75.33,0.0,0.0,0.0
30,38,1,1,1,0,0,-1,-1,-1,true,31,75.0,0.0,0.0,0.0
31,38,1,1,2,0,0,-1,-1,-1,false,0,68.0,0.0,0.0,0.0
32,15,1,2,0,2,0,5,12,-1,true,41,75.97,73.81,74.71,0.0
33,19,1,2,0,2,0,12,0,-1,true,44,73.44,71.47,65.56,0.0
34,35,1,2,0,2,0,8,34,-1,true,42,76.62,90.15,79.31,0.0
35,41,1,2,0,2,0,39,6,-1,true,43,68.75,67.61,73.98,0.0
36,38,1,2,0,2,0,34,0,-1,true,41,68.33,72.59,66.67,0.0
37,14,1,2,0,2,0,6,8,-1,true,42,71.59,71.94,86.63,0.0
38,11,1,2,0,2,0,12,39,-1,true,41,62.5,59.12,59.35,0.0
39,21,1,2,0,2,0,0,34,-1,true,43,62.5,62.78,66.72,0.0
40,18,1,2,0,2,0,5,39,-1,true,42,71.13,70.0,70.22,0.0
41,5,1,2,1,0,2,8,0,-1,true,43,69.52,0.0,0.0,0.0
42,39,1,2,1,0,0,-1,-1,-1,true,44,72.83,0.0,0.0,0.0
43,5,1,2,1,0,0,-1,-1,-1,true,44,68.1,0.0,0.0,0.0
