modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,3,1,0,0,2,0,185,265,-1,true,87,64.14,61.82,60.56,0.0
3,5,1,0,0,2,0,43,34,-1,true,83,72.54,68.67,69.62,0.0
4,7,1,0,0,2,0,185,264,-1,true,83,49.0,55.45,59.58,0.0
5,8,1,0,0,2,0,256,220,-1,true,82,56.94,61.82,62.08,0.0
6,13,1,0,0,2,0,223,63,-1,true,82,23.53,34.67,27.27,0.0
7,16,1,0,0,2,0,67,107,-1,true,83,56.9,52.67,51.83,0.0
8,20,1,0,0,2,0,43,67,-1,true,87,67.24,67.33,69.33,0.0
9,21,1,0,0,2,0,156,223,-1,true,84,67.97,64.06,62.0,0.0
10,22,1,0,0,2,0,34,285,-1,true,83,67.22,64.23,65.0,0.0
11,25,1,0,0,0,2,172,218,-1,false,0,57.5,47.69,49.71,0.0
12,31,1,0,0,1,2,67,70,285,false,0,68.42,58.0,62.73,58.33
13,37,1,0,0,2,0,265,65,-1,true,87,75.54,69.44,73.67,0.0
14,40,1,0,0,2,0,119,124,-1,true,88,65.74,60.19,68.33,0.0
15,41,1,0,0,2,0,1,51,-1,true,83,59.52,58.57,56.39,0.0
16,45,1,0,0,2,0,284,10,-1,true,84,48.86,61.48,55.31,0.0
17,48,1,0,0,2,0,29,256,-1,true,82,36.67,41.82,37.27,0.0
18,61,1,0,0,2,0,204,60,-1,true,83,61.96,64.58,62.73,0.0
19,66,1,0,0,2,0,63,29,-1,true,82,54.55,56.36,60.0,0.0
20,74,1,0,0,2,0,131,192,-1,true,84,63.82,66.13,62.96,0.0
21,75,1,0,0,2,0,29,256,-1,true,86,67.5,70.0,67.27,0.0
22,82,1,0,0,2,0,94,228,-1,true,85,60.66,65.67,62.11,0.0
23,83,1,0,0,0,2,197,185,-1,false,0,50.0,37.17,35.45,0.0
24,85,1,0,0,2,0,233,265,-1,true,85,39.29,45.91,45.56,0.0
25,87,1,0,0,2,0,264,124,-1,true,83,68.68,71.67,73.33,0.0
26,88,1,0,0,2,0,228,223,-1,true,87,68.92,71.05,66.67,0.0
27,89,1,0,0,2,0,227,220,-1,true,84,75.93,72.19,72.92,0.0
28,90,1,0,0,2,0,192,29,-1,true,87,65.76,72.96,73.64,0.0
29,93,1,0,0,2,0,285,293,-1,true,83,70.14,65.67,64.12,0.0
30,95,1,0,0,2,1,63,192,29,true,88,60.0,52.73,61.85,58.18
31,99,1,0,0,2,0,182,67,-1,true,84,62.5,64.86,66.67,0.0
32,101,1,0,0,2,0,70,225,-1,true,87,55.45,60.91,60.0,0.0
33,103,1,0,0,2,0,70,10,-1,true,82,37.5,49.09,41.88,0.0
34,110,1,0,0,1,2,246,70,223,false,0,56.58,48.71,60.0,49.33
35,113,1,0,0,2,0,114,197,-1,true,83,57.58,55.48,55.43,0.0
36,117,1,0,0,2,1,223,63,120,true,88,61.7,56.0,51.82,57.78
37,121,1,0,0,2,0,220,120,-1,true,82,64.61,72.08,69.72,0.0
38,122,1,0,0,2,0,10,34,-1,true,87,61.29,67.19,67.69,0.0
39,123,1,0,0,2,0,256,220,-1,true,86,48.68,51.82,48.75,0.0
40,136,1,0,0,2,0,192,43,-1,true,84,64.29,59.63,66.0,0.0
