modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,17,1,0,0,2,0,63,30,-1,true,32,62.76,68.18,68.75,0.0
3,84,1,0,0,2,0,34,40,-1,true,36,66.43,72.46,73.0,0.0
4,85,1,0,0,2,0,44,39,-1,true,35,66.39,80.0,62.68,0.0
5,88,1,0,0,2,0,50,34,-1,true,34,76.04,73.81,81.88,0.0
6,90,1,0,0,2,0,30,39,-1,true,34,61.11,62.5,65.49,0.0
7,91,1,0,0,2,0,44,39,-1,true,33,57.14,60.0,61.27,0.0
8,92,1,0,0,2,0,47,36,-1,true,34,58.82,56.67,50.57,0.0
9,94,1,0,0,2,0,44,55,-1,true,31,61.11,60.0,62.9,0.0
10,102,1,0,0,2,0,11,50,-1,true,33,61.43,62.73,52.38,0.0
11,103,1,0,0,2,0,39,2,-1,true,33,58.82,59.15,56.9,0.0
12,106,1,0,0,2,0,30,44,-1,true,31,35.71,38.75,50.0,0.0
13,107,1,0,0,2,1,30,55,0,true,33,51.56,52.5,53.23,50.0
14,110,1,0,0,2,0,80,44,-1,true,32,58.33,54.92,65.0,0.0
15,112,1,0,0,2,0,79,2,-1,true,36,56.06,54.61,46.55,0.0
16,115,1,0,0,2,0,2,47,-1,true,34,40.0,36.21,36.67,0.0
17,116,1,0,0,2,0,64,34,-1,true,32,71.5,74.11,75.36,0.0
18,119,1,0,0,2,0,1,44,-1,true,31,52.86,50.0,55.0,0.0
19,121,1,0,0,2,0,50,21,-1,true,31,71.33,69.05,75.0,0.0
20,123,1,0,0,2,0,50,44,-1,true,31,71.13,69.05,75.0,0.0
21,124,1,0,0,2,0,26,72,-1,true,32,55.41,54.0,56.67,0.0
22,125,1,0,0,2,1,50,38,34,true,35,76.88,71.43,65.38,72.46
23,129,1,0,0,2,0,55,44,-1,true,34,68.46,70.97,65.0,0.0
24,131,1,0,0,2,1,36,26,1,true,36,47.5,35.23,46.0,49.39
25,138,1,0,0,2,0,40,21,-1,true,35,72.78,71.0,73.21,0.0
26,140,1,0,0,2,0,38,47,-1,true,32,69.02,65.38,60.0,0.0
27,142,1,0,0,2,0,44,11,-1,true,35,76.32,80.0,78.18,0.0
28,143,1,0,0,2,0,47,34,-1,true,33,59.33,73.33,64.49,0.0
29,144,1,0,0,2,1,0,1,36,true,36,70.1,58.82,71.34,65.91
30,149,1,0,0,2,0,21,72,-1,true,31,54.55,64.29,57.78,0.0
31,21,1,0,1,0,0,-1,-1,-1,true,32,60.71,0.0,0.0,0.0
32,30,1,0,1,1,0,26,-1,-1,true,34,60.0,0.0,0.0,0.0
33,2,1,0,1,0,0,-1,-1,-1,true,35,41.38,0.0,0.0,0.0
34,30,1,0,1,0,0,-1,-1,-1,true,35,48.75,0.0,0.0,0.0
35,11,1,0,1,0,0,-1,-1,-1,true,36,64.55,0.0,0.0,0.0
36,1,1,0,2,0,0,-1,-1,-1,false,0,59.76,0.0,0.0,0.0
37,79,1,1,0,2,0,39,36,-1,true,71,81.58,92.11,71.59,0.0
38,140,1,1,0,2,0,39,55,-1,true,70,72.28,89.58,98.71,0.0
39,103,1,1,0,2,0,36,26,-1,true,69,67.65,60.23,86.4,0.0
40,83,1,1,0,2,0,28,70,-1,true,67,75.86,69.44,100.0,0.0
41,115,1,1,0,2,0,21,60,-1,true,68,57.5,90.0,72.62,0.0
42,147,1,1,0,2,0,34,21,-1,true,66,72.32,64.49,79.29,0.0
43,119,1,1,0,2,0,11,55,-1,true,67,71.43,69.09,89.03,0.0
44,85,1,1,0,2,0,42,50,-1,true,66,81.15,71.74,76.19,0.0
45,94,1,1,0,2,0,55,28,-1,true,68,66.67,94.84,70.14,0.0
46,143,1,1,0,2,0,50,57,-1,true,66,62.0,73.81,75.0,0.0
47,106,1,1,0,2,0,32,34,-1,true,66,60.71,74.77,60.87,0.0
48,84,1,1,0,2,0,38,28,-1,true,67,67.86,69.23,70.83,0.0
49,117,1,1,0,2,0,42,34,-1,true,70,70.53,71.74,72.46,0.0
50,75,1,1,0,2,0,26,34,-1,true,68,66.67,79.2,71.01,0.0
51,104,1,1,0,2,0,57,21,-1,true,70,68.25,72.5,79.29,0.0
52,128,1,1,0,2,0,62,64,-1,true,69,67.24,68.75,66.96,0.0
53,95,1,1,0,2,0,42,50,-1,true,66,76.19,73.91,78.57,0.0
54,137,1,1,0,2,0,74,42,-1,true,68,70.63,75.0,69.57,0.0
55,113,1,1,0,2,0,42,50,-1,true,66,59.38,63.04,64.29,0.0
56,123,1,1,0,2,0,67,50,-1,true,67,79.9,75.0,73.81,0.0
57,144,1,1,0,1,2,64,11,28,false,0,80.93,73.21,70.0,63.89
58,92,1,1,0,2,0,55,36,-1,true,69,60.29,92.9,59.66,0.0
59,80,1,1,0,2,0,32,50,-1,true,68,70.49,85.85,73.81,0.0
60,112,1,1,0,2,0,39,57,-1,true,69,67.42,78.59,67.5,0.0
61,126,1,1,0,2,0,32,28,-1,true,70,68.09,81.23,63.89,0.0
62,88,1,1,0,2,0,60,11,-1,true,71,86.98,81.55,80.0,0.0
63,142,1,1,0,2,0,42,50,-1,true,68,81.58,76.09,80.95,0.0
64,97,1,1,0,2,0,57,42,-1,true,67,75.0,67.5,69.57,0.0
65,129,1,1,0,2,0,42,32,-1,true,70,68.46,76.09,78.46,0.0
66,21,1,1,1,1,0,21,-1,-1,true,67,76.79,0.0,0.0,0.0
67,50,1,1,1,0,0,-1,-1,-1,true,69,76.19,0.0,0.0,0.0
68,34,1,1,1,0,0,-1,-1,-1,true,69,74.64,0.0,0.0,0.0
69,26,1,1,1,0,0,-1,-1,-1,true,71,68.0,0.0,0.0,0.0
70,21,1,1,1,0,0,-1,-1,-1,true,71,87.5,0.0,0.0,0.0
71,11,1,1,2,0,0,-1,-1,-1,false,0,78.18,0.0,0.0,0.0
72,102,1,2,0,2,0,11,21,-1,true,99,85.71,84.55,82.14,0.0
73,71,1,2,0,2,0,28,88,-1,true,100,82.93,76.39,81.25,0.0
74,115,1,2,0,1,2,8,39,55,false,0,72.5,96.63,58.17,59.84
75,66,1,2,0,2,0,30,64,-1,true,98,82.35,96.0,82.14,0.0
76,37,1,2,0,1,2,32,53,63,false,0,99.0,96.92,63.0,75.0
77,147,1,2,0,2,0,21,84,-1,true,98,89.29,82.14,82.14,0.0
78,103,1,2,0,2,1,26,39,21,true,101,83.82,98.4,58.17,85.71
79,99,1,2,0,2,0,53,60,-1,true,98,78.65,80.0,83.33,0.0
80,121,1,2,0,2,1,55,28,11,true,100,88.67,59.84,80.56,86.36
81,117,1,2,0,2,0,32,55,-1,true,98,80.0,95.08,96.77,0.0
82,128,1,2,0,2,0,63,30,-1,true,100,72.41,79.55,94.5,0.0
83,104,1,2,0,0,2,55,26,-1,false,0,88.1,62.1,60.2,0.0
84,65,1,2,0,2,0,38,28,-1,true,99,73.91,83.08,72.22,0.0
85,31,1,2,0,2,0,91,32,-1,true,99,80.77,81.43,96.0,0.0
86,113,1,2,0,2,1,53,21,32,true,99,83.33,58.33,83.93,97.85
87,125,1,2,0,2,0,30,63,-1,true,99,84.41,97.5,84.09,0.0
88,123,1,2,0,0,2,30,1,-1,false,0,83.51,62.12,58.9,0.0
89,109,1,2,0,2,1,85,26,11,true,101,82.19,82.79,58.8,84.55
90,26,1,2,0,1,2,26,53,21,false,0,99.0,98.4,84.0,82.14
91,142,1,2,0,2,2,84,38,60,true,100,87.5,80.71,94.62,83.93
92,70,1,2,0,2,0,53,26,-1,true,101,75.0,84.0,91.2,0.0
93,129,1,2,0,2,0,8,1,-1,true,101,79.23,90.32,93.66,0.0
94,97,1,2,0,2,1,39,30,28,true,100,81.25,96.34,63.0,79.17
95,119,1,2,0,2,1,1,83,53,true,98,84.29,60.18,81.03,84.0
96,94,1,2,0,2,0,39,53,-1,true,98,80.0,97.18,96.0,0.0
97,67,1,2,0,2,0,83,1,-1,true,101,82.14,72.41,95.12,0.0
98,53,1,2,1,0,0,-1,-1,-1,true,99,83.33,0.0,0.0,0.0
99,32,1,2,1,0,0,-1,-1,-1,true,100,84.62,0.0,0.0,0.0
100,26,1,2,1,0,0,-1,-1,-1,true,101,84.0,0.0,0.0,0.0
101,1,1,2,2,0,0,-1,-1,-1,false,0,87.8,0.0,0.0,0.0
102,140,1,3,0,0,2,43,55,-1,false,0,88.04,58.33,62.1,0.0
103,138,1,3,0,2,1,55,28,26,true,131,86.11,62.1,82.64,80.0
104,76,1,3,0,2,1,8,55,50,true,132,84.78,78.95,59.84,94.29
105,74,1,3,0,0,2,1,43,-1,false,0,81.25,58.48,60.67,0.0
106,147,1,3,0,2,1,32,34,65,true,133,93.75,59.77,86.96,89.13
107,79,1,3,0,0,2,39,1,-1,false,0,92.11,60.14,60.61,0.0
108,106,1,3,0,2,0,28,72,-1,true,131,78.57,79.86,83.33,0.0
109,119,1,3,0,0,2,11,50,-1,false,0,87.14,60.45,58.33,0.0
110,85,1,3,0,2,1,55,32,67,true,134,90.98,62.1,98.77,89.29
111,94,1,3,0,2,0,45,57,-1,true,132,80.0,98.62,77.5,0.0
112,83,1,3,0,2,0,26,72,-1,true,132,91.38,92.0,87.78,0.0
113,121,1,3,0,2,0,57,50,-1,true,133,87.33,90.0,97.14,0.0
114,84,1,3,0,2,1,40,65,34,true,134,82.14,60.2,82.61,86.23
115,124,1,3,0,2,0,34,67,-1,true,133,89.19,89.13,89.29,0.0
116,90,1,3,0,1,2,30,45,32,false,0,84.92,90.0,59.94,58.15
117,104,1,3,0,1,2,57,11,15,false,0,88.1,90.0,60.45,58.18
118,75,1,3,0,2,0,30,65,-1,true,133,77.27,87.5,82.61,0.0
119,95,1,3,0,2,0,50,32,-1,true,133,85.71,94.29,96.0,0.0
120,113,1,3,0,2,1,30,1,63,true,131,82.29,85.0,61.46,86.36
121,125,1,3,0,2,1,50,28,30,true,131,86.02,58.33,82.64,88.75
122,123,1,3,0,2,0,50,57,-1,true,131,86.6,97.14,90.0,0.0
123,112,1,3,0,2,1,72,55,63,true,132,87.12,88.89,63.23,81.82
124,126,1,3,0,1,2,63,50,15,false,0,91.49,86.36,58.33,59.09
125,67,1,3,0,2,0,67,34,-1,true,132,92.86,85.71,85.51,0.0
126,110,1,3,0,2,1,50,15,32,true,131,83.33,97.14,58.64,97.85
127,129,1,3,0,0,2,40,11,-1,false,0,85.38,59.5,60.45,0.0
128,115,1,3,0,2,1,15,39,30,true,132,75.0,97.4,58.66,80.0
129,54,1,3,0,0,2,63,28,-1,false,0,99.0,86.36,81.25,0.0
130,88,1,3,0,2,0,43,26,-1,true,134,86.98,98.0,92.0,0.0
131,30,1,3,1,0,0,-1,-1,-1,true,134,88.75,0.0,0.0,0.0
132,39,1,3,1,0,0,-1,-1,-1,true,134,85.92,0.0,0.0,0.0
133,8,1,3,1,0,2,53,43,-1,true,134,84.21,0.0,0.0,0.0
134,1,1,3,1,1,0,1,-1,-1,true,135,88.41,0.0,0.0,0.0
135,1,1,3,2,0,0,-1,-1,-1,false,0,88.41,0.0,0.0,0.0
136,115,1,4,0,1,2,26,32,11,false,0,80.0,61.6,85.38,62.36
137,74,1,4,0,2,1,11,50,39,true,166,81.25,63.0,85.71,85.21
138,39,1,4,0,1,2,39,26,43,false,0,88.73,85.21,64.4,59.5
139,140,1,4,0,2,0,42,50,-1,true,164,88.04,93.91,85.71,0.0
140,147,1,4,0,2,0,40,50,-1,true,166,93.75,90.0,85.71,0.0
141,85,1,4,0,2,0,73,42,-1,true,167,92.62,90.7,96.52,0.0
142,83,1,4,0,2,0,32,34,-1,true,164,93.1,84.62,83.33,0.0
143,90,1,4,0,2,1,26,32,30,true,168,84.13,60.2,83.85,90.0
144,94,1,4,0,0,2,51,53,-1,false,0,83.33,60.85,58.33,0.0
145,103,1,4,0,2,1,43,50,34,true,168,92.65,59.5,85.71,87.68
146,121,1,4,0,2,0,42,32,-1,true,164,90.67,96.52,84.62,0.0
147,143,1,4,0,2,1,53,63,30,true,165,78.67,60.67,88.64,88.75
148,124,1,4,0,2,0,34,64,-1,true,165,91.89,86.23,83.04,0.0
149,84,1,4,0,2,0,50,30,-1,true,164,81.43,83.33,86.25,0.0
150,87,1,4,0,2,0,39,67,-1,true,166,89.29,85.21,92.86,0.0
151,104,1,4,0,2,0,42,39,-1,true,166,88.89,93.91,85.21,0.0
152,95,1,4,0,2,0,55,39,-1,true,165,87.3,88.71,86.62,0.0
153,128,1,4,0,2,0,53,55,-1,true,164,86.21,96.0,90.32,0.0
154,91,1,4,0,2,0,50,63,-1,true,165,83.57,83.33,86.36,0.0
155,125,1,4,0,2,0,34,40,-1,true,168,87.63,85.51,89.0,0.0
156,123,1,4,0,2,0,42,50,-1,true,164,89.69,96.52,85.71,0.0
157,112,1,4,0,2,0,65,42,-1,true,165,90.91,91.3,93.91,0.0
158,126,1,4,0,2,1,11,39,30,true,168,91.49,60.45,85.21,87.5
159,81,1,4,0,2,1,51,34,53,true,167,82.24,60.85,85.51,96.0
160,88,1,4,0,2,0,42,30,-1,true,167,89.58,93.91,88.75,0.0
161,118,1,4,0,2,0,70,42,-1,true,167,83.61,100.0,93.91,0.0
162,142,1,4,0,2,1,53,42,32,true,167,91.45,58.33,96.52,85.38
163,119,1,4,0,2,0,30,62,-1,true,165,87.14,87.5,85.71,0.0
164,32,1,4,1,0,0,-1,-1,-1,true,166,85.38,0.0,0.0,0.0
165,30,1,4,1,0,0,-1,-1,-1,true,166,88.75,0.0,0.0,0.0
166,39,1,4,1,0,0,-1,-1,-1,true,167,85.21,0.0,0.0,0.0
167,30,1,4,1,0,0,-1,-1,-1,true,168,88.75,0.0,0.0,0.0
168,11,1,4,2,0,0,-1,-1,-1,false,0,88.18,0.0,0.0,0.0
169,98,1,5,0,2,0,30,11,-1,true,197,88.69,90.0,89.09,0.0
170,140,1,5,0,2,0,40,84,-1,true,195,88.04,89.0,85.0,0.0
171,122,1,5,0,2,1,34,63,83,true,194,85.09,60.87,86.36,86.21
172,119,1,5,0,2,1,11,50,80,true,197,90.0,88.18,60.0,85.25
173,147,1,5,0,1,2,26,34,50,false,0,93.75,90.0,59.35,60.0
174,77,1,5,0,1,2,50,26,34,false,0,92.5,60.0,90.0,59.86
175,103,1,5,0,2,2,36,26,34,true,196,91.18,88.07,88.0,60.87
176,143,1,5,0,1,2,64,34,50,false,0,79.33,83.93,60.87,60.0
177,111,1,5,0,2,1,62,50,30,true,197,94.79,85.71,60.0,90.0
178,99,1,5,0,2,0,73,85,-1,true,197,82.58,90.7,86.07,0.0
179,93,1,5,0,2,0,30,73,-1,true,198,88.41,90.0,88.95,0.0
180,16,1,5,0,2,1,50,74,95,true,194,91.94,60.0,87.5,82.54
181,146,1,5,0,2,0,63,83,-1,true,194,86.08,86.36,86.21,0.0
182,124,1,5,0,2,0,30,80,-1,true,194,90.54,90.0,85.25,0.0
183,40,1,5,0,2,1,40,34,30,true,198,80.0,90.0,60.36,90.0
184,128,1,5,0,2,0,30,63,-1,true,194,85.34,88.75,88.64,0.0
185,104,1,5,0,2,1,50,74,63,true,194,88.1,60.0,87.5,88.64
186,137,1,5,0,2,1,92,64,74,true,195,87.3,89.71,83.04,87.5
187,125,1,5,0,2,1,36,11,83,true,198,88.17,86.93,88.18,86.21
188,123,1,5,0,2,0,84,36,-1,true,196,88.66,85.0,88.64,0.0
189,112,1,5,0,2,1,50,74,1,true,196,90.91,60.0,87.5,89.02
190,110,1,5,0,2,0,85,40,-1,true,198,85.0,85.25,90.0,0.0
191,142,1,5,0,2,0,62,63,-1,true,195,91.45,85.71,86.36,0.0
192,108,1,5,0,2,0,63,83,-1,true,195,87.63,84.09,87.93,0.0
193,115,1,5,0,2,0,1,64,-1,true,196,80.0,88.41,83.93,0.0
194,34,1,5,1,1,0,50,-1,-1,true,196,86.23,0.0,0.0,0.0
195,50,1,5,1,0,0,-1,-1,-1,true,197,85.71,0.0,0.0,0.0
196,1,1,5,1,0,0,-1,-1,-1,true,197,88.41,0.0,0.0,0.0
197,1,1,5,1,0,2,42,55,-1,true,198,88.41,0.0,0.0,0.0
198,1,1,5,2,0,0,-1,-1,-1,false,0,88.41,0.0,0.0,0.0
