modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,13,1,0,0,2,0,50,142,-1,true,35,53.33,55.0,53.48,0.0
3,15,1,0,0,2,0,74,66,-1,true,32,58.62,60.77,59.17,0.0
4,16,1,0,0,2,0,66,142,-1,true,36,44.74,43.33,45.65,0.0
5,20,1,0,0,2,0,66,148,-1,true,32,53.49,56.67,58.62,0.0
6,22,1,0,0,2,0,54,92,-1,true,33,31.82,41.88,40.45,0.0
7,25,1,0,0,2,0,107,54,-1,true,37,62.78,58.18,66.25,0.0
8,30,1,0,0,2,0,50,81,-1,true,34,56.0,57.27,63.81,0.0
9,38,1,0,0,2,0,122,99,-1,true,33,66.67,62.46,65.19,0.0
10,39,1,0,0,2,0,81,54,-1,true,33,53.12,56.67,57.5,0.0
11,40,1,0,0,2,0,146,68,-1,true,35,64.41,63.72,61.92,0.0
12,55,1,0,0,0,2,99,50,-1,false,0,52.38,43.7,40.0,0.0
13,57,1,0,0,2,0,54,140,-1,true,35,67.02,68.12,62.35,0.0
14,59,1,0,0,2,0,68,0,-1,true,34,61.76,62.69,63.0,0.0
15,62,1,0,0,2,0,56,42,-1,true,34,30.77,28.0,39.02,0.0
16,64,1,0,0,2,0,99,1,-1,true,35,55.13,61.85,56.86,0.0
17,69,1,0,0,2,0,148,99,-1,true,32,50.0,47.24,54.07,0.0
18,70,1,0,0,2,1,126,66,99,true,35,45.45,42.86,38.33,42.96
19,71,1,0,0,2,0,74,140,-1,true,36,57.29,54.23,57.06,0.0
20,84,1,0,0,2,0,142,107,-1,true,33,47.5,51.74,47.27,0.0
21,93,1,0,0,2,0,10,74,-1,true,32,45.59,43.68,45.0,0.0
22,95,1,0,0,2,0,140,1,-1,true,33,61.9,62.35,61.14,0.0
23,96,1,0,0,2,0,10,148,-1,true,37,66.35,64.74,60.34,0.0
24,98,1,0,0,2,0,50,54,-1,true,36,50.98,58.18,61.25,0.0
25,102,1,0,0,2,0,107,10,-1,true,32,40.91,42.73,44.74,0.0
26,108,1,0,0,2,0,1,142,-1,true,32,53.85,58.29,63.04,0.0
27,110,1,0,0,0,2,92,140,-1,false,0,67.57,56.36,58.82,0.0
