modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,2,1,0,0,2,0,123,52,-1,true,32,51.25,58.33,50.0,0.0
3,3,1,0,0,2,0,65,30,-1,true,33,66.23,71.0,68.5,0.0
4,15,1,0,0,2,0,120,113,-1,true,32,32.5,36.67,40.0,0.0
5,20,1,0,0,0,2,123,1,-1,false,0,58.33,47.5,49.0,0.0
6,22,1,0,0,2,0,113,31,-1,true,32,26.92,52.0,47.5,0.0
7,26,1,0,0,2,0,30,131,-1,true,33,65.0,66.5,63.72,0.0
8,28,1,0,0,2,1,1,120,30,true,36,61.67,53.0,60.83,59.5
9,35,1,0,0,2,1,113,5,125,true,35,50.0,51.0,42.73,45.79
10,47,1,0,0,2,0,120,113,-1,true,35,51.82,67.5,60.0,0.0
11,48,1,0,0,2,1,52,110,113,true,37,64.66,52.5,62.61,66.0
12,50,1,0,0,2,0,120,113,-1,true,33,60.45,71.67,69.0,0.0
13,51,1,0,0,1,2,19,120,55,false,0,35.0,28.22,26.67,24.69
14,58,1,0,0,2,0,125,63,-1,true,34,68.0,65.79,74.0,0.0
15,64,1,0,0,2,0,30,123,-1,true,36,57.14,57.5,52.5,0.0
16,66,1,0,0,2,0,113,55,-1,true,36,67.19,67.0,64.06,0.0
17,71,1,0,0,2,0,5,95,-1,true,34,57.29,57.88,55.8,0.0
18,77,1,0,0,2,0,84,123,-1,true,35,65.91,67.86,69.17,0.0
19,97,1,0,0,2,0,124,113,-1,true,34,57.14,60.18,65.0,0.0
20,98,1,0,0,2,0,55,110,-1,true,36,46.97,50.94,52.17,0.0
21,100,1,0,0,2,0,95,125,-1,true,34,64.38,63.2,64.21,0.0
22,101,1,0,0,2,0,1,129,-1,true,33,51.09,58.0,59.38,0.0
23,103,1,0,0,2,1,52,125,63,true,36,50.0,36.88,45.26,50.0
24,107,1,0,0,2,0,63,65,-1,true,34,39.58,60.0,53.75,0.0
25,108,1,0,0,2,0,1,120,-1,true,32,68.66,64.0,67.5,0.0
26,118,1,0,0,2,0,110,55,-1,true,32,65.22,68.26,65.31,0.0
27,127,1,0,0,2,0,129,110,-1,true,33,36.84,46.88,50.87,0.0
28,132,1,0,0,2,1,82,30,113,true,35,70.59,60.53,68.5,67.0
29,134,1,0,0,0,2,0,120,-1,false,0,63.51,56.0,55.83,0.0
30,136,1,0,0,2,1,123,52,1,true,35,70.97,66.67,59.38,69.0
31,144,1,0,0,2,0,131,1,-1,true,32,62.5,57.44,58.0,0.0
32,1,1,0,1,1,0,107,-1,-1,true,33,53.0,0.0,0.0,0.0
33,120,1,0,1,0,0,-1,-1,-1,true,34,64.17,0.0,0.0,0.0
34,113,1,0,1,0,0,-1,-1,-1,true,35,58.0,0.0,0.0,0.0
35,113,1,0,1,0,0,-1,-1,-1,true,36,59.0,0.0,0.0,0.0
36,1,1,0,1,0,0,-1,-1,-1,true,37,55.0,0.0,0.0,0.0
37,113,1,0,2,0,0,-1,-1,-1,false,0,59.0,0.0,0.0,0.0
38,138,1,1,0,2,0,124,110,-1,true,62,57.35,68.55,68.7,0.0
39,137,1,1,0,2,0,63,65,-1,true,61,70.83,85.0,76.0,0.0
40,100,1,1,0,2,0,65,30,-1,true,61,69.38,72.5,70.0,0.0
41,136,1,1,0,2,0,107,120,-1,true,62,72.04,73.33,74.17,0.0
42,127,1,1,0,2,0,131,129,-1,true,60,57.89,61.86,63.75,0.0
43,146,1,1,0,2,1,84,31,120,true,63,74.36,66.43,67.78,75.0
44,64,1,1,0,0,2,108,55,-1,false,0,77.14,65.67,67.19,0.0
45,49,1,1,0,0,2,95,125,-1,false,0,87.1,75.0,73.16,0.0
46,62,1,1,0,2,0,103,113,-1,true,61,68.29,75.0,68.0,0.0
47,60,1,1,0,2,0,113,125,-1,true,63,65.85,67.0,66.32,0.0
48,144,1,1,0,2,0,125,63,-1,true,61,65.0,59.47,71.0,0.0
49,118,1,1,0,2,0,55,120,-1,true,63,68.84,72.19,72.5,0.0
50,88,1,1,0,2,0,113,31,-1,true,60,62.0,63.0,62.22,0.0
51,132,1,1,0,2,0,113,110,-1,true,60,77.45,72.0,71.74,0.0
52,71,1,1,0,2,0,110,55,-1,true,60,64.58,66.52,66.88,0.0
53,66,1,1,0,2,0,24,120,-1,true,60,71.09,90.67,74.17,0.0
54,101,1,1,0,2,0,120,30,-1,true,63,66.3,72.5,71.0,0.0
55,145,1,1,0,2,0,30,131,-1,true,61,61.36,61.5,61.4,0.0
56,77,1,1,0,2,0,39,24,-1,true,61,71.97,88.0,89.33,0.0
57,133,1,1,0,2,0,120,95,-1,true,62,62.86,69.17,62.4,0.0
58,35,1,1,0,2,0,143,39,-1,true,62,81.82,77.37,84.86,0.0
59,98,1,1,0,2,0,129,113,-1,true,60,53.03,62.19,64.0,0.0
60,129,1,1,1,0,0,-1,-1,-1,true,62,68.44,0.0,0.0,0.0
61,113,1,1,1,1,0,129,-1,-1,true,62,72.0,0.0,0.0,0.0
62,113,1,1,1,1,0,63,-1,-1,true,63,78.0,0.0,0.0,0.0
63,113,1,1,2,0,0,-1,-1,-1,false,0,76.0,0.0,0.0,0.0
64,33,1,2,0,2,0,143,131,-1,true,87,68.12,79.47,73.95,0.0
65,137,1,2,0,2,0,131,65,-1,true,87,78.12,79.07,80.5,0.0
66,121,1,2,0,2,0,1,120,-1,true,86,75.78,74.0,77.5,0.0
67,138,1,2,0,2,0,127,107,-1,true,89,73.53,81.05,78.33,0.0
68,122,1,2,0,2,0,88,120,-1,true,86,80.0,73.2,75.0,0.0
69,62,1,2,0,2,0,108,95,-1,true,88,79.27,77.46,79.0,0.0
70,60,1,2,0,2,0,124,113,-1,true,87,74.39,67.82,71.0,0.0
71,61,1,2,0,2,1,113,63,120,true,89,75.0,68.0,73.0,72.5
72,118,1,2,0,2,0,125,110,-1,true,89,71.01,74.74,76.09,0.0
73,78,1,2,0,0,2,110,125,-1,false,0,84.21,72.61,73.68,0.0
74,77,1,2,0,2,0,100,108,-1,true,88,75.0,71.12,71.79,0.0
75,132,1,2,0,2,0,129,113,-1,true,86,77.45,71.88,74.0,0.0
76,66,1,2,0,2,0,95,129,-1,true,87,73.44,70.6,74.69,0.0
77,145,1,2,0,2,0,113,101,-1,true,86,65.91,70.0,64.13,0.0
78,97,1,2,0,2,0,144,110,-1,true,88,78.57,80.0,77.39,0.0
79,133,1,2,0,2,0,107,124,-1,true,89,64.29,66.25,66.36,0.0
80,35,1,2,0,2,1,120,110,143,true,88,81.82,72.5,75.22,80.0
81,26,1,2,0,2,0,120,65,-1,true,86,71.67,79.17,77.5,0.0
82,89,1,2,0,2,0,63,1,-1,true,86,72.0,83.0,71.0,0.0
83,69,1,2,0,2,0,113,125,-1,true,87,70.71,76.0,75.26,0.0
84,94,1,2,0,2,0,98,1,-1,true,87,73.33,78.48,77.0,0.0
85,139,1,2,0,2,0,120,113,-1,true,89,72.97,72.5,79.0,0.0
86,120,1,2,1,0,0,-1,-1,-1,true,88,77.5,0.0,0.0,0.0
87,113,1,2,1,1,0,65,-1,-1,true,88,81.0,0.0,0.0,0.0
88,120,1,2,1,0,0,-1,-1,-1,true,89,78.33,0.0,0.0,0.0
89,120,1,2,2,0,0,-1,-1,-1,false,0,76.67,0.0,0.0,0.0
