modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,0,1,0,0,2,0,91,104,-1,true,32,50.0,47.38,45.54,0.0
3,9,1,0,0,2,0,43,103,-1,true,36,74.24,72.76,73.94,0.0
4,14,1,0,0,2,0,3,48,-1,true,32,53.26,57.0,60.0,0.0
5,24,1,0,0,2,0,111,48,-1,true,33,63.01,56.39,60.5,0.0
6,33,1,0,0,2,0,18,147,-1,true,34,27.27,34.0,32.86,0.0
7,34,1,0,0,2,0,124,100,-1,true,36,56.86,62.44,60.91,0.0
8,36,1,0,0,2,0,100,48,-1,true,32,67.71,66.36,65.5,0.0
9,39,1,0,0,2,0,124,121,-1,true,34,51.16,55.98,49.52,0.0
10,51,1,0,0,2,0,124,109,-1,true,35,56.56,59.39,59.38,0.0
11,54,1,0,0,2,0,100,138,-1,true,32,72.67,74.55,65.0,0.0
12,59,1,0,0,2,0,2,48,-1,true,32,65.66,64.52,67.0,0.0
13,60,1,0,0,2,0,138,18,-1,true,33,54.84,56.54,53.33,0.0
14,64,1,0,0,2,0,30,50,-1,true,33,45.83,48.0,45.92,0.0
15,72,1,0,0,0,2,121,100,-1,false,0,45.83,24.29,33.64,0.0
16,75,1,0,0,2,0,121,104,-1,true,36,59.0,61.9,61.23,0.0
17,77,1,0,0,2,0,49,91,-1,true,34,64.58,58.86,61.48,0.0
18,82,1,0,0,0,2,109,48,-1,false,0,56.52,43.12,45.0,0.0
19,85,1,0,0,1,2,104,91,27,false,0,74.32,64.92,63.93,63.79
20,88,1,0,0,2,0,50,109,-1,true,34,65.67,58.78,61.56,0.0
21,90,1,0,0,2,0,111,27,-1,true,34,66.27,68.33,69.48,0.0
22,99,1,0,0,2,0,91,30,-1,true,35,51.39,58.2,58.0,0.0
23,105,1,0,0,2,0,104,50,-1,true,36,69.88,71.85,68.37,0.0
24,106,1,0,0,2,0,103,100,-1,true,33,50.0,51.91,45.45,0.0
25,116,1,0,0,2,0,100,27,-1,true,35,70.37,69.09,66.03,0.0
26,118,1,0,0,2,0,18,124,-1,true,37,65.96,63.47,64.27,0.0
27,122,1,0,0,2,0,147,48,-1,true,32,41.67,38.0,42.5,0.0
28,135,1,0,0,2,0,83,2,-1,true,34,42.0,40.41,40.0,0.0
29,144,1,0,0,2,0,0,3,-1,true,35,47.14,59.52,50.83,0.0
30,146,1,0,0,2,0,109,83,-1,true,33,70.0,67.81,68.27,0.0
31,149,1,0,0,2,0,27,83,-1,true,36,66.46,69.14,67.04,0.0
32,138,1,0,1,0,0,-1,-1,-1,true,33,52.31,0.0,0.0,0.0
33,100,1,0,1,0,0,-1,-1,-1,true,35,54.55,0.0,0.0,0.0
34,147,1,0,1,0,0,-1,-1,-1,true,35,50.57,0.0,0.0,0.0
35,147,1,0,1,1,0,147,-1,-1,true,36,53.71,0.0,0.0,0.0
36,18,1,0,1,0,0,-1,-1,-1,true,37,59.73,0.0,0.0,0.0
37,18,1,0,2,0,0,-1,-1,-1,false,0,61.07,0.0,0.0,0.0
38,39,1,1,0,1,2,54,135,138,false,0,82.33,79.84,67.6,63.85
39,90,1,1,0,2,0,91,48,-1,true,57,65.66,70.82,86.4,0.0
40,4,1,1,0,2,0,48,138,-1,true,57,74.53,89.4,71.92,0.0
41,136,1,1,0,2,0,138,75,-1,true,59,70.0,62.69,80.88,0.0
42,40,1,1,0,2,0,48,88,-1,true,57,77.36,93.6,90.27,0.0
43,122,1,1,0,2,1,91,141,54,true,60,70.83,61.8,58.23,72.8
44,131,1,1,0,2,0,101,48,-1,true,58,60.42,84.77,81.6,0.0
45,12,1,1,0,2,0,3,91,-1,true,59,78.8,75.83,76.07,0.0
46,127,1,1,0,2,0,107,91,-1,true,57,58.62,67.44,67.7,0.0
47,113,1,1,0,2,0,82,54,-1,true,57,67.39,60.87,70.72,0.0
48,84,1,1,0,2,0,97,135,-1,true,58,71.25,79.5,70.0,0.0
49,105,1,1,0,2,1,48,138,82,true,59,74.1,58.45,79.23,76.96
50,112,1,1,0,2,0,48,91,-1,true,58,76.47,92.4,72.46,0.0
51,47,1,1,0,2,0,101,91,-1,true,60,84.6,94.21,76.39,0.0
52,123,1,1,0,2,0,82,88,-1,true,58,66.22,67.83,78.99,0.0
53,42,1,1,0,2,0,107,91,-1,true,59,66.67,70.22,72.3,0.0
54,117,1,1,0,2,0,82,107,-1,true,59,77.89,70.43,72.78,0.0
55,95,1,1,0,2,0,135,48,-1,true,57,71.74,71.2,84.6,0.0
56,133,1,1,0,2,0,97,135,-1,true,58,75.61,81.75,67.2,0.0
57,54,1,1,1,0,0,-1,-1,-1,true,58,72.0,0.0,0.0,0.0
58,138,1,1,1,1,0,113,-1,-1,true,59,71.15,0.0,0.0,0.0
59,138,1,1,1,0,0,-1,-1,-1,true,60,74.62,0.0,0.0,0.0
60,138,1,1,2,0,0,-1,-1,-1,false,0,69.62,0.0,0.0,0.0
61,39,1,2,0,2,0,34,50,-1,true,79,69.77,91.06,87.92,0.0
62,126,1,2,0,2,0,50,113,-1,true,79,76.92,90.61,74.35,0.0
63,124,1,2,0,2,0,48,111,-1,true,79,64.63,88.2,71.94,0.0
64,135,1,2,0,2,0,14,101,-1,true,80,80.0,79.04,72.77,0.0
65,25,1,2,0,2,0,123,95,-1,true,79,84.29,75.14,86.09,0.0
66,24,1,2,0,2,0,17,95,-1,true,80,76.71,85.08,91.3,0.0
67,109,1,2,0,2,0,103,48,-1,true,79,79.69,75.74,91.8,0.0
68,3,1,2,0,2,0,48,34,-1,true,80,93.0,94.2,89.18,0.0
69,40,1,2,0,2,0,17,48,-1,true,79,76.42,88.0,95.4,0.0
70,43,1,2,0,2,1,107,17,14,true,81,95.51,74.67,88.0,90.26
71,121,1,2,0,2,0,58,14,-1,true,80,83.33,76.15,88.17,0.0
72,82,1,2,0,0,2,111,30,-1,false,0,99.13,74.72,75.67,0.0
73,55,1,2,0,0,2,60,103,-1,false,0,97.89,79.35,78.94,0.0
74,105,1,2,0,2,0,60,34,-1,true,81,75.3,78.06,96.0,0.0
75,18,1,2,0,2,0,14,123,-1,true,80,77.6,84.0,75.14,0.0
76,147,1,2,0,2,0,95,54,-1,true,80,67.14,92.35,91.68,0.0
77,129,1,2,0,2,0,58,123,-1,true,81,73.33,70.38,76.22,0.0
78,133,1,2,0,2,0,111,14,-1,true,81,76.83,70.83,85.83,0.0
79,50,1,2,1,0,0,-1,-1,-1,true,81,76.12,0.0,0.0,0.0
80,111,1,2,1,0,2,50,34,-1,true,81,78.33,0.0,0.0,0.0
81,34,1,2,2,0,0,-1,-1,-1,false,0,80.98,0.0,0.0,0.0
82,63,1,3,0,0,2,0,101,-1,false,0,99.0,87.14,59.13,0.0
83,68,1,3,0,0,2,129,113,-1,false,0,99.0,84.44,85.22,0.0
84,12,1,3,0,0,2,50,123,-1,false,0,99.0,61.29,88.38,0.0
85,127,1,3,0,2,1,75,15,62,true,102,86.21,60.06,85.67,89.05
86,100,1,3,0,2,1,123,48,95,true,101,92.73,81.08,85.5,94.96
87,34,1,3,0,2,0,60,48,-1,true,101,90.2,84.84,92.0,0.0
88,10,1,3,0,1,2,95,9,0,false,0,95.81,99.39,81.92,85.71
89,6,1,3,0,1,2,62,0,123,false,0,99.0,88.1,89.52,88.92
90,104,1,3,0,2,1,15,50,60,true,102,81.54,87.0,59.0,85.48
91,108,1,3,0,2,1,105,75,0,true,103,76.39,81.33,58.66,88.1
92,73,1,3,0,0,2,121,62,-1,false,0,99.0,81.9,85.95,0.0
93,112,1,3,0,2,0,0,115,-1,true,102,90.2,89.05,85.8,0.0
94,147,1,3,0,2,0,62,15,-1,true,101,82.86,89.76,86.0,0.0
95,99,1,3,0,0,2,48,111,-1,false,0,96.67,86.5,82.22,0.0
96,114,1,3,0,2,0,103,9,-1,true,102,85.62,85.11,83.13,0.0
97,133,1,3,0,2,0,15,62,-1,true,101,80.49,85.0,87.38,0.0
98,124,1,3,0,2,0,48,15,-1,true,101,82.32,92.0,86.67,0.0
99,106,1,3,0,2,0,115,129,-1,true,102,80.56,85.65,84.56,0.0
100,72,1,3,0,2,0,9,121,-1,true,101,83.33,79.29,80.48,0.0
101,62,1,3,1,0,0,-1,-1,-1,true,102,90.24,0.0,0.0,0.0
102,129,1,3,1,0,0,-1,-1,-1,true,103,87.22,0.0,0.0,0.0
103,129,1,3,2,0,0,-1,-1,-1,false,0,85.89,0.0,0.0,0.0
104,126,1,4,0,2,0,15,3,-1,true,117,81.54,97.6,98.0,0.0
105,2,1,4,0,2,1,9,62,3,true,117,88.1,84.04,60.5,99.4
106,5,1,4,0,0,2,121,77,-1,false,0,99.0,85.24,60.23,0.0
107,26,1,4,0,0,2,109,15,-1,false,0,99.0,84.38,60.9,0.0
