modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,0,1,0,0,2,0,21,0,-1,true,21,64.86,55.0,58.65,0.0
3,2,1,0,0,2,0,16,28,-1,true,22,56.06,54.0,55.83,0.0
4,3,1,0,0,2,0,38,40,-1,true,22,25.0,30.0,31.15,0.0
5,4,1,0,0,2,0,20,21,-1,true,21,33.33,41.67,35.71,0.0
6,8,1,0,0,1,2,35,16,20,false,0,64.81,52.73,58.0,51.67
7,11,1,0,0,2,0,6,21,-1,true,23,43.94,62.67,46.43,0.0
8,22,1,0,0,2,0,16,38,-1,true,23,58.7,64.0,54.0,0.0
9,23,1,0,0,2,0,20,35,-1,true,24,62.77,58.33,60.0,0.0
10,24,1,0,0,2,0,16,35,-1,true,23,62.5,54.0,60.0,0.0
11,26,1,0,0,2,0,35,6,-1,true,21,39.47,43.64,58.67,0.0
12,27,1,0,0,2,0,6,21,-1,true,21,58.16,78.0,51.43,0.0
13,29,1,0,0,2,0,16,6,-1,true,23,56.12,64.0,70.0,0.0
14,30,1,0,0,2,0,40,9,-1,true,24,50.0,46.92,41.54,0.0
15,33,1,0,0,0,2,9,20,-1,false,0,45.83,33.85,35.0,0.0
16,34,1,0,0,0,2,21,40,-1,false,0,53.85,42.14,40.77,0.0
17,42,1,0,0,2,0,15,35,-1,true,22,50.0,48.57,45.45,0.0
18,44,1,0,0,2,0,35,38,-1,true,22,50.0,54.55,54.0,0.0
19,45,1,0,0,2,0,28,6,-1,true,21,35.29,33.33,42.67,0.0
20,47,1,0,0,2,0,28,21,-1,true,24,63.1,65.83,63.57,0.0
21,6,1,0,1,1,2,16,21,-1,true,22,50.56,0.0,0.0,0.0
22,21,1,0,1,1,0,38,-1,-1,true,23,44.29,0.0,0.0,0.0
23,6,1,0,1,0,2,40,4,-1,true,24,50.56,0.0,0.0,0.0
24,6,1,0,2,0,0,-1,-1,-1,false,0,52.78,0.0,0.0,0.0
25,16,1,1,0,2,0,21,28,-1,true,45,60.0,55.71,56.67,0.0
26,0,1,1,0,1,2,20,38,21,false,0,81.08,73.33,64.0,68.57
27,24,1,1,0,2,0,28,20,-1,true,48,69.44,72.5,70.0,0.0
28,29,1,1,0,2,0,35,22,-1,true,46,69.39,73.64,71.52,0.0
29,46,1,1,0,2,1,38,28,21,true,47,75.0,58.0,68.33,67.14
30,2,1,1,0,2,0,40,21,-1,true,48,65.15,68.85,67.86,0.0
31,11,1,1,0,2,0,35,15,-1,true,47,60.61,70.91,70.71,0.0
32,42,1,1,0,2,0,26,9,-1,true,45,66.13,67.37,66.15,0.0
33,23,1,1,0,2,0,38,35,-1,true,47,70.21,70.0,66.36,0.0
34,30,1,1,0,1,2,21,20,26,false,0,76.36,63.57,70.0,62.11
35,4,1,1,0,2,0,15,35,-1,true,45,66.67,69.29,63.64,0.0
36,39,1,1,0,2,0,9,28,-1,true,45,58.33,70.0,67.5,0.0
37,3,1,1,0,2,0,40,9,-1,true,47,33.33,64.62,68.46,0.0
38,47,1,1,0,2,0,21,26,-1,true,46,69.05,67.14,70.0,0.0
39,45,1,1,0,2,0,22,40,-1,true,45,64.71,68.04,68.08,0.0
40,19,1,1,0,1,2,20,38,21,false,0,67.65,65.0,56.0,56.43
41,43,1,1,0,1,2,22,28,35,false,0,85.0,74.35,76.67,74.55
42,37,1,1,0,2,0,15,35,-1,true,46,62.5,65.71,60.91,0.0
43,27,1,1,0,2,0,35,21,-1,true,46,77.55,70.91,70.0,0.0
44,44,1,1,0,2,1,20,38,21,true,48,76.04,80.0,66.0,74.29
45,21,1,1,1,0,0,-1,-1,-1,true,46,67.86,0.0,0.0,0.0
46,21,1,1,1,1,0,22,-1,-1,true,47,69.29,0.0,0.0,0.0
47,35,1,1,1,0,0,-1,-1,-1,true,48,67.27,0.0,0.0,0.0
48,21,1,1,2,0,0,-1,-1,-1,false,0,71.43,0.0,0.0,0.0
49,29,1,2,0,2,0,21,15,-1,true,71,72.45,72.14,72.86,0.0
50,24,1,2,0,2,0,42,40,-1,true,70,70.83,73.55,74.62,0.0
51,20,1,2,0,2,0,15,9,-1,true,68,33.33,59.29,58.46,0.0
52,2,1,2,0,2,0,21,40,-1,true,71,74.24,73.57,73.46,0.0
53,32,1,2,0,2,0,22,21,-1,true,70,86.05,82.39,85.0,0.0
54,46,1,2,0,2,0,21,42,-1,true,68,75.0,70.71,76.45,0.0
55,25,1,2,0,2,0,40,9,-1,true,71,69.57,71.15,74.62,0.0
56,38,1,2,0,2,0,9,40,-1,true,68,60.0,66.92,68.08,0.0
57,23,1,2,0,2,0,16,26,-1,true,69,69.15,70.0,72.11,0.0
58,11,1,2,0,2,0,40,22,-1,true,72,63.64,74.62,76.96,0.0
59,44,1,2,0,2,0,4,15,-1,true,70,77.08,75.33,75.0,0.0
60,39,1,2,0,2,0,28,21,-1,true,68,64.58,75.0,69.29,0.0
61,3,1,2,0,2,0,22,28,-1,true,68,50.0,65.0,66.67,0.0
62,45,1,2,0,2,0,26,22,-1,true,69,64.71,74.74,74.13,0.0
63,47,1,2,0,2,0,15,9,-1,true,69,72.62,72.86,76.15,0.0
64,37,1,2,0,2,0,16,21,-1,true,69,66.67,64.0,74.29,0.0
65,12,1,2,0,2,0,21,9,-1,true,72,84.38,75.71,76.15,0.0
66,1,1,2,0,2,0,16,21,-1,true,70,76.32,74.0,75.0,0.0
67,18,1,2,0,2,0,26,15,-1,true,71,77.0,70.53,72.86,0.0
68,28,1,2,1,0,0,-1,-1,-1,true,69,77.5,0.0,0.0,0.0
69,9,1,2,1,0,0,-1,-1,-1,true,70,75.38,0.0,0.0,0.0
70,21,1,2,1,1,0,40,-1,-1,true,71,78.57,0.0,0.0,0.0
71,21,1,2,1,0,0,-1,-1,-1,true,72,77.86,0.0,0.0,0.0
72,21,1,2,2,0,0,-1,-1,-1,false,0,80.71,0.0,0.0,0.0
73,27,1,3,0,2,0,22,21,-1,true,93,74.49,75.87,76.43,0.0
74,24,1,3,0,2,0,21,9,-1,true,97,73.61,77.14,76.92,0.0
75,32,1,3,0,2,0,26,15,-1,true,96,82.56,80.0,80.0,0.0
76,20,1,3,0,2,0,40,9,-1,true,96,50.0,62.31,64.62,0.0
77,29,1,3,0,2,0,21,28,-1,true,94,70.41,64.29,74.17,0.0
78,2,1,3,0,2,0,21,22,-1,true,97,71.21,73.57,74.13,0.0
79,46,1,3,0,2,0,15,9,-1,true,93,83.33,75.71,76.92,0.0
80,38,1,3,0,2,0,9,40,-1,true,93,80.0,72.31,73.08,0.0
81,25,1,3,0,2,0,21,16,-1,true,93,65.22,71.43,70.0,0.0
82,44,1,3,0,2,0,4,9,-1,true,95,73.96,74.0,77.69,0.0
83,23,1,3,0,2,0,40,15,-1,true,97,71.28,74.23,76.43,0.0
84,39,1,3,0,2,0,42,40,-1,true,96,64.58,73.87,71.54,0.0
85,3,1,3,0,2,0,26,22,-1,true,94,58.33,71.05,69.57,0.0
86,45,1,3,0,2,0,28,16,-1,true,93,70.59,84.17,72.0,0.0
87,47,1,3,0,2,0,15,16,-1,true,94,70.24,75.0,66.0,0.0
88,48,1,3,0,2,0,15,9,-1,true,95,84.0,79.29,79.23,0.0
89,37,1,3,0,2,0,26,21,-1,true,94,54.17,68.95,77.14,0.0
90,12,1,3,0,2,0,42,40,-1,true,95,87.5,81.29,78.85,0.0
91,1,1,3,0,2,0,4,22,-1,true,96,81.58,72.0,76.96,0.0
92,18,1,3,0,2,0,22,21,-1,true,95,79.0,75.65,74.29,0.0
93,21,1,3,1,0,0,-1,-1,-1,true,94,80.0,0.0,0.0,0.0
94,21,1,3,1,0,0,-1,-1,-1,true,95,77.14,0.0,0.0,0.0
95,21,1,3,1,0,0,-1,-1,-1,true,96,79.29,0.0,0.0,0.0
96,40,1,3,1,0,0,-1,-1,-1,true,97,77.31,0.0,0.0,0.0
97,21,1,3,2,0,0,-1,-1,-1,false,0,77.86,0.0,0.0,0.0
98,27,1,4,0,2,0,15,22,-1,true,118,80.61,79.29,79.78,0.0
99,29,1,4,0,2,0,16,26,-1,true,119,78.57,74.0,77.37,0.0
100,32,1,4,0,2,0,26,40,-1,true,120,82.56,76.32,78.85,0.0
101,20,1,4,0,2,0,40,45,-1,true,118,50.0,63.85,57.06,0.0
102,2,1,4,0,2,0,15,16,-1,true,119,72.73,72.14,76.0,0.0
103,11,1,4,0,2,0,35,16,-1,true,118,75.76,72.73,76.0,0.0
104,25,1,4,0,2,0,9,40,-1,true,118,67.39,73.08,71.92,0.0
105,38,1,4,0,2,0,22,9,-1,true,118,70.0,68.7,68.46,0.0
106,44,1,4,0,2,0,42,40,-1,true,121,77.08,83.55,81.15,0.0
107,23,1,4,0,2,0,3,9,-1,true,119,73.4,76.67,74.62,0.0
108,39,1,4,0,2,0,26,22,-1,true,121,75.0,73.16,76.3,0.0
109,47,1,4,0,2,0,40,26,-1,true,122,76.19,78.85,78.95,0.0
110,49,1,4,0,2,0,15,9,-1,true,121,77.38,75.71,80.77,0.0
111,41,1,4,0,2,0,16,35,-1,true,120,81.25,82.0,76.36,0.0
112,37,1,4,0,2,0,35,42,-1,true,119,62.5,70.91,78.39,0.0
113,12,1,4,0,2,0,15,9,-1,true,122,87.5,79.29,80.0,0.0
114,1,1,4,0,2,0,15,9,-1,true,120,76.32,75.0,77.69,0.0
115,18,1,4,0,2,0,22,26,-1,true,121,82.0,78.04,74.21,0.0
116,24,1,4,0,2,0,9,22,-1,true,122,75.0,76.92,79.57,0.0
117,48,1,4,0,2,0,35,40,-1,true,120,87.0,78.18,79.23,0.0
118,22,1,4,1,1,0,22,-1,-1,true,119,81.74,0.0,0.0,0.0
119,42,1,4,1,0,0,-1,-1,-1,true,120,83.87,0.0,0.0,0.0
120,15,1,4,1,0,0,-1,-1,-1,true,121,82.86,0.0,0.0,0.0
121,40,1,4,1,0,0,-1,-1,-1,true,122,80.77,0.0,0.0,0.0
122,15,1,4,2,0,0,-1,-1,-1,false,0,83.57,0.0,0.0,0.0
123,27,1,5,0,2,0,40,15,-1,true,147,79.59,78.85,79.29,0.0
124,20,1,5,0,2,0,22,26,-1,true,144,50.0,68.26,63.16,0.0
125,24,1,5,0,2,0,16,26,-1,true,144,76.39,72.0,76.84,0.0
126,29,1,5,0,2,0,4,15,-1,true,144,72.45,68.67,72.86,0.0
127,32,1,5,0,2,0,16,9,-1,true,145,86.05,82.0,77.69,0.0
128,46,1,5,0,2,0,9,21,-1,true,143,83.33,80.77,75.71,0.0
129,2,1,5,0,2,0,15,9,-1,true,144,69.7,75.71,74.62,0.0
130,38,1,5,0,2,0,15,16,-1,true,143,80.0,72.14,72.0,0.0
131,25,1,5,0,2,0,26,40,-1,true,147,69.57,79.47,77.31,0.0
132,11,1,5,0,2,0,28,21,-1,true,143,72.73,82.5,75.0,0.0
133,39,1,5,0,2,0,16,9,-1,true,143,64.58,68.0,73.85,0.0
134,45,1,5,0,2,0,21,40,-1,true,143,70.59,74.29,74.23,0.0
135,49,1,5,0,2,0,15,9,-1,true,146,73.81,71.43,76.15,0.0
136,48,1,5,0,2,0,42,4,-1,true,146,88.0,86.13,78.67,0.0
137,41,1,5,0,2,0,40,22,-1,true,145,82.81,79.62,80.87,0.0
138,12,1,5,0,2,0,40,28,-1,true,145,87.5,79.62,83.33,0.0
139,14,1,5,0,2,0,21,42,-1,true,146,80.0,73.57,81.61,0.0
140,18,1,5,0,2,0,22,21,-1,true,145,78.0,77.39,73.57,0.0
141,13,1,5,0,2,0,16,40,-1,true,146,85.71,78.0,81.15,0.0
142,3,1,5,0,2,0,42,22,-1,true,147,66.67,69.03,66.96,0.0
143,21,1,5,1,0,0,-1,-1,-1,true,144,80.71,0.0,0.0,0.0
144,26,1,5,1,0,0,-1,-1,-1,true,145,80.0,0.0,0.0,0.0
145,26,1,5,1,0,0,-1,-1,-1,true,146,83.68,0.0,0.0,0.0
146,9,1,5,1,0,0,-1,-1,-1,true,147,83.85,0.0,0.0,0.0
147,9,1,5,2,0,0,-1,-1,-1,false,0,80.77,0.0,0.0,0.0
148,27,1,6,0,2,0,22,40,-1,true,168,82.65,78.91,78.85,0.0
149,24,1,6,0,2,0,16,40,-1,true,170,72.22,78.0,77.69,0.0
150,20,1,6,0,2,0,21,28,-1,true,168,66.67,64.29,71.67,0.0
