modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,0,1,0,0,2,0,6,21,-1,true,17,44.59,64.44,59.29,0.0
3,2,1,0,0,2,1,20,21,6,true,20,51.52,40.0,47.86,58.33
4,8,1,0,0,2,0,35,28,-1,true,18,40.74,48.18,43.33,0.0
5,11,1,0,0,2,0,6,21,-1,true,19,59.09,62.78,53.57,0.0
6,17,1,0,0,2,0,9,21,-1,true,17,35.71,52.31,45.71,0.0
7,22,1,0,0,2,0,38,35,-1,true,19,59.78,50.0,55.45,0.0
8,23,1,0,0,2,0,20,21,-1,true,18,59.57,53.33,60.0,0.0
9,25,1,0,0,2,0,35,6,-1,true,17,45.65,44.55,48.89,0.0
10,26,1,0,0,2,0,21,0,-1,true,17,50.0,40.71,43.78,0.0
11,27,1,0,0,2,1,20,38,9,true,19,56.12,50.0,44.0,60.77
12,30,1,0,0,2,0,28,6,-1,true,17,27.27,38.33,42.78,0.0
13,34,1,0,0,2,0,21,28,-1,true,20,51.92,45.71,43.33,0.0
14,39,1,0,0,2,0,15,35,-1,true,18,45.83,42.86,51.82,0.0
15,42,1,0,0,2,0,46,40,-1,true,18,50.0,47.5,52.69,0.0
16,45,1,0,0,2,0,40,38,-1,true,19,29.41,36.15,20.0,0.0
17,6,1,0,1,1,2,22,2,-1,true,18,46.67,0.0,0.0,0.0
18,6,1,0,1,1,2,35,26,-1,true,19,57.22,0.0,0.0,0.0
19,6,1,0,1,1,2,22,2,-1,true,20,46.11,0.0,0.0,0.0
20,6,1,0,2,0,0,-1,-1,-1,false,0,48.89,0.0,0.0,0.0
21,0,1,1,0,2,1,21,35,16,true,41,83.11,67.86,80.73,84.0
22,22,1,1,0,2,0,35,6,-1,true,41,80.87,75.27,84.67,0.0
23,27,1,1,0,0,2,28,40,-1,false,0,87.24,54.17,65.08,0.0
24,8,1,1,0,1,2,28,40,21,false,0,75.0,60.83,73.85,59.29
