modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,0,1,0,0,2,1,35,16,40,true,21,54.05,39.09,52.0,51.15
3,2,1,0,0,2,0,20,6,-1,true,22,46.97,50.0,50.56,0.0
4,3,1,0,0,1,2,21,46,16,false,0,50.0,40.0,46.67,26.0
5,4,1,0,0,2,0,9,28,-1,true,22,30.0,43.08,48.0,0.0
6,8,1,0,0,2,0,16,21,-1,true,23,42.59,42.0,46.43,0.0
7,11,1,0,0,2,1,38,35,6,true,24,57.58,58.0,42.73,51.11
8,15,1,0,0,2,0,21,6,-1,true,23,39.29,47.14,39.44,0.0
9,17,1,0,0,2,0,0,35,-1,true,22,35.71,42.43,39.09,0.0
10,22,1,0,0,0,2,16,6,-1,false,0,59.78,40.0,49.44,0.0
11,23,1,0,0,2,1,35,16,38,true,24,68.09,53.64,66.0,60.0
12,25,1,0,0,2,1,20,38,9,true,22,50.0,40.0,46.0,46.92
13,26,1,0,0,2,0,38,28,-1,true,23,47.37,40.0,48.0,0.0
14,27,1,0,0,2,0,6,21,-1,true,21,59.18,63.89,65.0,0.0
15,34,1,0,0,2,0,20,6,-1,true,24,48.08,60.0,51.67,0.0
16,39,1,0,0,2,0,40,9,-1,true,23,35.42,40.38,43.85,0.0
17,42,1,0,0,2,0,46,6,-1,true,21,46.77,58.33,46.11,0.0
18,44,1,0,0,2,0,35,16,-1,true,21,63.54,54.55,60.0,0.0
19,45,1,0,0,2,0,28,21,-1,true,21,32.35,48.0,47.14,0.0
20,47,1,0,0,2,0,40,20,-1,true,24,47.62,47.31,53.33,0.0
21,21,1,0,1,1,0,6,-1,-1,true,22,51.43,0.0,0.0,0.0
22,6,1,0,1,1,0,9,-1,-1,true,23,40.0,0.0,0.0,0.0
23,21,1,0,1,1,0,25,-1,-1,true,24,44.29,0.0,0.0,0.0
24,6,1,0,2,0,0,-1,-1,-1,false,0,48.89,0.0,0.0,0.0
25,0,1,1,0,2,0,16,25,-1,true,45,71.62,62.0,69.57,0.0
26,27,1,1,0,2,0,38,40,-1,true,45,61.22,56.0,57.69,0.0
27,24,1,1,0,2,0,15,40,-1,true,47,70.83,70.71,66.92,0.0
28,20,1,1,0,2,0,40,9,-1,true,47,50.0,49.62,53.08,0.0
29,2,1,1,0,2,0,40,38,-1,true,48,50.0,58.08,60.0,0.0
30,42,1,1,0,2,0,21,38,-1,true,45,66.13,69.29,66.0,0.0
31,44,1,1,0,0,2,17,40,-1,false,0,77.5,61.43,64.23,0.0
32,34,1,1,0,1,2,26,6,16,false,0,83.65,74.53,56.67,50.0
33,11,1,1,0,2,1,38,16,15,true,48,62.12,62.0,42.0,55.0
34,23,1,1,0,1,2,16,21,6,false,0,80.43,64.0,72.14,65.0
35,30,1,1,0,2,0,15,16,-1,true,45,56.82,63.57,52.0,0.0
36,4,1,1,0,2,0,6,21,-1,true,45,50.0,59.44,65.0,0.0
37,39,1,1,0,2,0,9,6,-1,true,47,47.92,60.77,51.67,0.0
38,45,1,1,0,2,0,16,9,-1,true,46,55.88,46.0,56.15,0.0
39,47,1,1,0,2,0,6,40,-1,true,46,58.33,60.56,63.46,0.0
40,19,1,1,0,2,0,26,16,-1,true,46,47.06,75.79,54.0,0.0
41,43,1,1,0,2,0,21,9,-1,true,46,66.67,66.43,67.69,0.0
42,48,1,1,0,2,0,21,38,-1,true,48,76.0,67.86,68.0,0.0
43,12,1,1,0,2,0,25,38,-1,true,47,62.5,62.61,58.0,0.0
44,1,1,1,0,0,2,17,6,-1,false,0,55.26,45.24,44.44,0.0
45,16,1,1,1,0,0,-1,-1,-1,true,46,62.0,0.0,0.0,0.0
46,16,1,1,1,1,0,27,-1,-1,true,47,54.0,0.0,0.0,0.0
47,9,1,1,1,0,0,-1,-1,-1,true,48,65.38,0.0,0.0,0.0
48,16,1,1,2,0,0,-1,-1,-1,false,0,60.0,0.0,0.0,0.0
49,21,1,2,0,2,0,40,17,-1,true,67,60.71,68.46,68.57,0.0
50,24,1,2,0,2,0,16,25,-1,true,69,76.39,72.0,76.52,0.0
51,8,1,2,0,2,0,16,6,-1,true,67,66.67,72.0,68.33,0.0
52,20,1,2,0,0,2,6,40,-1,false,0,75.0,61.11,62.69,0.0
53,29,1,2,0,2,0,6,38,-1,true,67,66.33,68.89,70.0,0.0
54,32,1,2,0,2,0,15,6,-1,true,69,70.93,70.0,61.67,0.0
55,2,1,2,0,2,0,27,40,-1,true,68,59.09,66.33,64.62,0.0
56,42,1,2,0,2,0,9,40,-1,true,67,66.13,67.69,60.0,0.0
57,30,1,2,0,2,0,25,9,-1,true,67,56.82,64.35,56.92,0.0
58,39,1,2,0,2,0,15,25,-1,true,68,58.33,70.0,66.96,0.0
59,45,1,2,0,2,0,38,6,-1,true,70,64.71,58.0,62.22,0.0
60,47,1,2,0,2,0,0,6,-1,true,68,66.67,75.41,76.67,0.0
61,19,1,2,0,2,0,6,38,-1,true,70,44.12,57.78,66.0,0.0
62,43,1,2,0,2,0,40,6,-1,true,70,70.83,68.85,66.67,0.0
63,31,1,2,0,2,0,6,9,-1,true,69,59.38,64.44,69.23,0.0
64,41,1,2,0,2,0,40,15,-1,true,70,53.12,61.92,67.14,0.0
