modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,7,1,0,0,1,2,30,28,48,false,0,64.1,52.31,57.27,50.91
3,10,1,0,0,2,0,48,12,-1,true,13,47.78,44.55,58.12,0.0
4,17,1,0,0,2,1,12,30,36,true,12,62.9,58.12,55.38,59.23
5,18,1,0,0,1,2,19,30,48,false,0,54.29,53.1,43.85,40.91
6,21,1,0,0,2,0,28,12,-1,true,14,54.17,53.64,51.88,0.0
7,23,1,0,0,2,0,0,19,-1,true,13,47.3,50.48,50.0,0.0
8,24,1,0,0,2,0,27,28,-1,true,12,53.12,63.16,54.55,0.0
9,33,1,0,0,0,2,12,27,-1,false,0,59.38,49.38,45.79,0.0
10,35,1,0,0,2,0,0,12,-1,true,14,41.67,42.7,43.12,0.0
11,41,1,0,0,2,0,36,12,-1,true,12,52.44,53.85,61.25,0.0
12,30,1,0,1,0,0,-1,-1,-1,true,13,51.54,0.0,0.0,0.0
13,30,1,0,1,1,0,30,-1,-1,true,14,43.08,0.0,0.0,0.0
14,30,1,0,1,1,0,13,-1,-1,true,15,38.46,0.0,0.0,0.0
15,30,1,0,2,0,0,-1,-1,-1,false,0,38.46,0.0,0.0,0.0
16,47,1,1,0,2,0,12,28,-1,true,26,65.48,63.12,62.73,0.0
17,41,1,1,0,2,0,3,12,-1,true,28,52.44,64.8,60.62,0.0
18,39,1,1,0,2,0,30,13,-1,true,29,59.78,66.15,67.5,0.0
19,36,1,1,0,2,0,13,3,-1,true,26,65.38,60.0,64.32,0.0
20,10,1,1,0,2,0,12,28,-1,true,29,52.22,60.62,58.18,0.0
21,24,1,1,0,2,1,48,27,30,true,28,62.5,55.45,70.53,63.85
22,19,1,1,0,2,0,12,30,-1,true,26,62.07,63.12,66.92,0.0
23,23,1,1,0,2,0,27,13,-1,true,27,59.46,60.53,60.0,0.0
24,38,1,1,0,2,0,12,28,-1,true,27,63.16,66.25,60.91,0.0
25,35,1,1,0,2,1,12,48,30,true,30,64.58,60.0,53.64,57.69
26,30,1,1,1,1,0,12,-1,-1,true,27,67.69,0.0,0.0,0.0
27,30,1,1,1,0,0,-1,-1,-1,true,28,59.23,0.0,0.0,0.0
28,12,1,1,1,0,0,-1,-1,-1,true,29,68.12,0.0,0.0,0.0
29,12,1,1,1,0,0,-1,-1,-1,true,30,67.5,0.0,0.0,0.0
30,12,1,1,2,0,0,-1,-1,-1,false,0,63.12,0.0,0.0,0.0
31,26,1,2,0,0,2,28,27,-1,false,0,72.37,61.82,63.68,0.0
32,41,1,2,0,2,0,3,28,-1,true,44,60.98,80.64,68.18,0.0
33,47,1,2,0,2,0,12,3,-1,true,41,67.86,63.12,74.4,0.0
34,39,1,2,0,2,0,13,28,-1,true,41,68.48,74.17,74.55,0.0
35,10,1,2,0,2,0,12,13,-1,true,44,60.0,65.62,66.67,0.0
36,21,1,2,0,2,0,20,3,-1,true,41,70.83,73.18,77.28,0.0
37,19,1,2,0,2,1,48,3,12,true,43,65.52,52.73,72.48,65.62
38,23,1,2,0,2,0,27,20,-1,true,42,64.86,66.84,73.64,0.0
39,38,1,2,0,2,0,12,27,-1,true,42,71.05,72.5,67.37,0.0
40,35,1,2,0,2,0,12,13,-1,true,43,64.58,60.62,64.17,0.0
41,28,1,2,1,0,0,-1,-1,-1,true,42,71.82,0.0,0.0,0.0
42,28,1,2,1,0,0,-1,-1,-1,true,43,70.91,0.0,0.0,0.0
43,12,1,2,1,0,0,-1,-1,-1,true,44,67.5,0.0,0.0,0.0
44,12,1,2,1,0,0,-1,-1,-1,true,45,70.0,0.0,0.0,0.0
45,12,1,2,2,0,0,-1,-1,-1,false,0,70.0,0.0,0.0,0.0
46,3,1,3,0,0,2,12,27,-1,false,0,84.0,76.25,71.58,0.0
47,47,1,3,0,2,0,30,13,-1,true,57,71.43,73.08,76.67,0.0
48,20,1,3,0,2,0,28,27,-1,true,58,54.55,69.09,68.95,0.0
49,39,1,3,0,2,0,13,28,-1,true,56,68.48,71.67,76.36,0.0
50,10,1,3,0,2,0,12,30,-1,true,56,63.33,68.12,66.15,0.0
51,24,1,3,0,2,0,36,28,-1,true,59,65.62,75.38,73.64,0.0
52,19,1,3,0,2,0,12,30,-1,true,58,62.07,69.38,66.15,0.0
53,23,1,3,0,2,0,14,12,-1,true,57,67.57,71.0,74.38,0.0
54,38,1,3,0,2,0,12,14,-1,true,59,81.58,75.62,76.0,0.0
55,48,1,3,0,2,0,12,27,-1,true,56,63.64,70.0,64.21,0.0
56,30,1,3,1,0,0,-1,-1,-1,true,57,71.54,0.0,0.0,0.0
57,12,1,3,1,0,0,-1,-1,-1,true,58,73.75,0.0,0.0,0.0
58,12,1,3,1,0,0,-1,-1,-1,true,59,71.88,0.0,0.0,0.0
59,12,1,3,2,0,0,-1,-1,-1,false,0,75.62,0.0,0.0,0.0
60,3,1,4,0,2,0,12,28,-1,true,71,68.0,75.0,77.27,0.0
