modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,0,1,0,0,2,0,6,35,-1,true,6,58.11,58.89,54.55,0.0
3,2,1,0,0,2,0,16,6,-1,true,6,51.52,55.2,56.11,0.0
4,22,1,0,0,2,0,21,6,-1,true,6,70.65,63.57,65.0,0.0
5,25,1,0,0,2,0,16,21,-1,true,6,36.96,50.4,47.14,0.0
6,6,1,0,2,0,0,-1,-1,-1,false,0,48.89,0.0,0.0,0.0
7,8,1,1,0,2,0,21,35,-1,true,15,57.41,59.29,50.91,0.0
8,2,1,1,0,2,0,6,21,-1,true,15,63.64,66.67,65.0,0.0
9,43,1,1,0,0,2,6,21,-1,false,0,80.0,64.44,67.86,0.0
10,31,1,1,0,2,1,35,6,25,true,15,65.62,55.45,65.0,61.3
11,14,1,1,0,2,0,22,21,-1,true,15,71.67,67.83,70.71,0.0
12,1,1,1,0,0,2,35,25,-1,false,0,71.05,60.91,60.0,0.0
13,18,1,1,0,2,0,6,21,-1,true,15,69.0,62.22,66.43,0.0
14,36,1,1,0,2,1,35,6,21,true,16,67.71,56.36,67.78,70.71
15,6,1,1,1,1,0,6,-1,-1,true,16,67.22,0.0,0.0,0.0
16,21,1,1,2,0,0,-1,-1,-1,false,0,70.0,0.0,0.0,0.0
17,35,1,2,0,2,0,21,6,-1,true,22,72.73,65.71,65.56,0.0
18,31,1,2,0,2,0,6,21,-1,true,22,71.88,68.89,70.71,0.0
19,37,1,2,0,2,0,21,6,-1,true,22,66.67,67.86,61.67,0.0
20,18,1,2,0,2,0,21,25,-1,true,22,83.0,75.71,74.78,0.0
21,36,1,2,0,2,0,6,21,-1,true,22,72.92,70.0,71.43,0.0
22,21,1,2,1,0,0,-1,-1,-1,true,23,74.29,0.0,0.0,0.0
23,21,1,2,2,0,0,-1,-1,-1,false,0,74.29,0.0,0.0,0.0
24,35,1,3,0,2,1,6,22,25,true,31,81.82,72.22,70.43,76.09
25,27,1,3,0,2,0,25,6,-1,true,31,61.22,68.26,69.44,0.0
26,31,1,3,0,2,0,22,28,-1,true,31,68.75,71.09,70.83,0.0
27,37,1,3,0,0,2,22,6,-1,false,0,75.0,60.22,64.44,0.0
28,14,1,3,0,2,0,0,22,-1,true,31,73.33,68.65,72.83,0.0
29,18,1,3,0,2,0,25,6,-1,true,31,86.0,79.13,77.78,0.0
30,36,1,3,0,2,0,25,6,-1,true,32,70.83,73.48,71.11,0.0
31,25,1,3,1,0,0,-1,-1,-1,true,32,79.57,0.0,0.0,0.0
32,6,1,3,2,0,0,-1,-1,-1,false,0,74.44,0.0,0.0,0.0
33,31,1,4,0,2,0,6,21,-1,true,36,78.12,76.11,77.86,0.0
34,14,1,4,0,2,0,25,6,-1,true,36,76.67,76.52,72.78,0.0
35,18,1,4,0,2,0,6,21,-1,true,36,82.0,73.89,76.43,0.0
36,6,1,4,2,0,0,-1,-1,-1,false,0,78.89,0.0,0.0,0.0
37,8,1,5,0,2,0,25,0,-1,true,42,83.33,76.52,75.68,0.0
38,31,1,5,0,2,0,28,35,-1,true,42,68.75,70.83,66.36,0.0
39,14,1,5,0,2,0,0,28,-1,true,42,75.0,71.62,71.67,0.0
40,18,1,5,0,2,0,25,22,-1,true,42,89.0,82.17,79.35,0.0
41,36,1,5,0,2,0,25,0,-1,true,42,83.33,83.04,79.19,0.0
42,25,1,5,1,1,0,6,-1,-1,true,43,83.04,0.0,0.0,0.0
43,25,1,5,2,0,0,-1,-1,-1,false,0,83.04,0.0,0.0,0.0
44,2,1,6,0,2,0,25,6,-1,true,50,77.27,81.3,80.0,0.0
45,46,1,6,0,1,2,25,6,21,false,0,87.5,79.13,75.56,77.14
46,31,1,6,0,2,0,6,21,-1,true,50,67.19,74.44,76.43,0.0
47,14,1,6,0,2,0,21,0,-1,true,50,73.33,85.0,73.78,0.0
48,18,1,6,0,2,0,25,6,-1,true,50,88.0,81.3,80.0,0.0
49,36,1,6,0,2,0,25,6,-1,true,50,83.33,85.65,78.33,0.0
50,25,1,6,1,1,0,25,-1,-1,true,51,85.22,0.0,0.0,0.0
51,25,1,6,2,0,0,-1,-1,-1,false,0,85.22,0.0,0.0,0.0
52,46,1,7,0,0,2,6,21,-1,false,0,91.67,78.33,75.0,0.0
53,31,1,7,0,2,0,6,21,-1,true,58,76.56,77.22,82.14,0.0
54,14,1,7,0,2,0,28,25,-1,true,58,80.0,79.17,80.87,0.0
55,1,1,7,0,2,0,6,25,-1,true,58,81.58,74.44,80.87,0.0
56,18,1,7,0,2,1,21,22,28,true,58,89.0,81.43,77.39,79.17
57,36,1,7,0,2,0,6,21,-1,true,58,85.42,80.56,85.71,0.0
58,6,1,7,1,1,0,6,-1,-1,true,59,81.67,0.0,0.0,0.0
59,6,1,7,2,0,0,-1,-1,-1,false,0,81.67,0.0,0.0,0.0
60,22,1,8,0,2,0,6,21,-1,true,67,88.04,78.89,82.86,0.0
61,31,1,8,0,2,0,6,21,-1,true,67,75.0,75.56,79.29,0.0
62,37,1,8,0,2,0,6,25,-1,true,67,79.17,74.44,77.39,0.0
63,14,1,8,0,2,0,35,6,-1,true,68,83.33,77.27,82.22,0.0
64,1,1,8,0,2,0,6,28,-1,true,67,81.58,81.67,81.67,0.0
65,18,1,8,0,2,0,21,25,-1,true,67,89.0,85.0,80.87,0.0
66,36,1,8,0,2,1,35,6,21,true,68,84.38,72.73,77.78,79.29
67,21,1,8,1,1,0,25,-1,-1,true,68,85.71,0.0,0.0,0.0
68,6,1,8,2,0,0,-1,-1,-1,false,0,80.56,0.0,0.0,0.0
69,35,1,9,0,2,0,6,25,-1,true,76,77.27,75.56,83.04,0.0
70,22,1,9,0,1,2,21,6,2,false,0,85.87,76.43,75.56,72.42
71,43,1,9,0,0,2,25,6,-1,false,0,95.0,80.0,78.33,0.0
72,37,1,9,0,2,0,6,8,-1,true,76,79.17,78.33,75.56,0.0
73,14,1,9,0,2,0,25,21,-1,true,76,83.33,83.91,85.0,0.0
74,1,1,9,0,2,0,6,21,-1,true,76,84.21,80.0,83.57,0.0
75,36,1,9,0,2,0,6,25,-1,true,76,87.5,82.78,87.39,0.0
76,6,1,9,1,1,0,6,-1,-1,true,77,82.22,0.0,0.0,0.0
77,6,1,9,2,0,0,-1,-1,-1,false,0,82.22,0.0,0.0,0.0
78,22,1,10,0,2,1,21,28,25,true,83,85.87,83.57,75.83,84.35
