modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,0,1,0,0,2,0,11,96,-1,true,35,61.04,63.33,66.0,0.0
3,3,1,0,0,2,0,72,113,-1,true,32,62.31,60.0,60.0,0.0
4,16,1,0,0,0,2,33,72,-1,false,0,67.39,59.52,57.0,0.0
5,18,1,0,0,2,0,131,33,-1,true,32,61.11,66.0,59.52,0.0
6,19,1,0,0,2,0,111,131,-1,true,32,62.66,65.71,59.0,0.0
7,21,1,0,0,2,0,128,111,-1,true,36,56.52,62.38,67.14,0.0
8,25,1,0,0,2,0,135,32,-1,true,34,67.06,66.23,63.78,0.0
9,26,1,0,0,2,0,31,10,-1,true,34,58.47,61.35,59.02,0.0
10,38,1,0,0,2,0,10,100,-1,true,33,63.77,66.67,66.67,0.0
11,41,1,0,0,2,0,111,120,-1,true,34,61.19,66.67,61.11,0.0
12,44,1,0,0,2,0,0,28,-1,true,34,70.12,66.1,63.64,0.0
13,48,1,0,0,2,0,96,92,-1,true,34,55.56,67.0,66.76,0.0
14,50,1,0,0,2,0,72,128,-1,true,36,48.44,51.33,55.71,0.0
15,60,1,0,0,2,0,141,128,-1,true,33,58.73,65.15,63.33,0.0
16,66,1,0,0,0,2,78,28,-1,false,0,58.82,49.09,50.0,0.0
17,73,1,0,0,2,0,113,100,-1,true,36,54.17,63.33,62.5,0.0
18,80,1,0,0,2,0,32,120,-1,true,33,69.08,66.22,66.67,0.0
19,81,1,0,0,2,0,128,33,-1,true,35,55.36,53.81,54.76,0.0
20,88,1,0,0,2,0,94,28,-1,true,32,61.33,68.54,62.73,0.0
21,102,1,0,0,0,2,100,120,-1,false,0,62.9,49.17,49.44,0.0
22,104,1,0,0,2,0,92,94,-1,true,34,34.21,38.82,34.88,0.0
23,106,1,0,0,2,0,54,113,-1,true,33,58.22,65.62,65.0,0.0
24,107,1,0,0,2,0,113,131,-1,true,35,46.15,44.67,52.0,0.0
25,112,1,0,0,2,0,100,78,-1,true,32,62.93,60.0,62.73,0.0
26,127,1,0,0,2,0,28,141,-1,true,33,61.48,55.45,60.91,0.0
27,132,1,0,0,2,0,120,78,-1,true,36,61.11,57.22,59.09,0.0
28,139,1,0,0,2,0,111,113,-1,true,36,58.16,64.76,63.33,0.0
29,143,1,0,0,2,0,78,28,-1,true,35,50.0,45.45,45.45,0.0
30,145,1,0,0,0,2,100,120,-1,false,0,52.38,43.33,37.78,0.0
31,146,1,0,0,2,0,120,78,-1,true,32,67.19,63.89,61.82,0.0
32,78,1,0,1,0,0,-1,-1,-1,true,33,55.45,0.0,0.0,0.0
33,78,1,0,1,1,0,134,-1,-1,true,35,59.09,0.0,0.0,0.0
34,28,1,0,1,1,0,127,-1,-1,true,35,56.36,0.0,0.0,0.0
35,28,1,0,1,1,0,111,-1,-1,true,36,56.36,0.0,0.0,0.0
36,28,1,0,2,0,0,-1,-1,-1,false,0,56.36,0.0,0.0,0.0
37,0,1,1,0,0,2,128,120,-1,false,0,91.17,78.1,70.56,0.0
