modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,1,1,0,0,2,0,23,17,-1,true,18,57.0,61.2,76.91,0.0
3,3,1,0,0,2,0,48,23,-1,true,16,36.11,40.94,35.6,0.0
4,5,1,0,0,2,0,0,9,-1,true,16,57.69,53.2,56.5,0.0
5,8,1,0,0,2,0,45,19,-1,true,17,52.63,55.83,53.0,0.0
6,13,1,0,0,2,0,38,45,-1,true,17,63.79,55.26,64.17,0.0
7,16,1,0,0,0,2,0,4,-1,false,0,50.0,33.2,37.78,0.0
8,20,1,0,0,2,0,4,19,-1,true,16,38.24,36.94,40.0,0.0
9,21,1,0,0,2,0,19,0,-1,true,18,48.15,58.0,49.6,0.0
10,27,1,0,0,2,0,19,9,-1,true,16,33.33,35.0,36.5,0.0
11,29,1,0,0,2,0,40,23,-1,true,17,57.95,66.67,58.0,0.0
12,34,1,0,0,2,0,17,4,-1,true,17,60.29,64.09,52.22,0.0
13,41,1,0,0,2,0,19,48,-1,true,18,56.38,63.0,56.47,0.0
14,43,1,0,0,2,0,17,23,-1,true,17,56.25,63.82,50.4,0.0
15,46,1,0,0,2,0,45,48,-1,true,16,55.41,70.43,62.12,0.0
16,48,1,0,1,1,2,4,34,-1,true,18,40.0,0.0,0.0,0.0
17,19,1,0,1,1,1,19,9,-1,true,18,52.0,0.0,0.0,0.0
18,48,1,0,2,0,0,-1,-1,-1,false,0,41.76,0.0,0.0,0.0
19,15,1,1,0,2,0,6,19,-1,true,34,67.07,92.0,72.0,0.0
20,30,1,1,0,2,0,34,3,-1,true,34,64.06,67.65,69.44,0.0
21,40,1,1,0,2,0,32,6,-1,true,34,50.0,78.86,88.0,0.0
22,13,1,1,0,2,0,19,49,-1,true,36,81.03,72.0,73.72,0.0
23,20,1,1,0,2,0,45,23,-1,true,34,61.76,73.04,60.0,0.0
24,9,1,1,0,2,0,49,45,-1,true,35,57.5,68.6,78.26,0.0
25,33,1,1,0,2,0,23,6,-1,true,36,40.0,62.4,84.0,0.0
26,28,1,1,0,2,1,45,3,6,true,37,81.11,84.52,70.0,96.0
27,4,1,1,0,2,0,34,32,-1,true,35,75.0,67.35,88.0,0.0
28,35,1,1,0,2,0,7,34,-1,true,36,64.77,84.0,69.71,0.0
29,38,1,1,0,2,0,6,3,-1,true,34,71.05,86.67,65.56,0.0
30,2,1,1,0,2,0,48,3,-1,true,35,63.64,64.24,64.44,0.0
31,43,1,1,0,2,0,34,6,-1,true,35,70.31,65.29,85.33,0.0
32,21,1,1,0,2,0,3,32,-1,true,37,66.67,66.67,85.71,0.0
33,42,1,1,0,2,0,34,6,-1,true,36,67.95,73.53,98.67,0.0
34,6,1,1,1,1,2,3,0,-1,true,35,74.44,0.0,0.0,0.0
35,6,1,1,1,1,1,6,6,-1,true,36,75.56,0.0,0.0,0.0
36,45,1,1,1,0,2,30,9,-1,true,37,65.22,0.0,0.0,0.0
37,45,1,1,2,0,0,-1,-1,-1,false,0,67.83,0.0,0.0,0.0
38,3,1,2,0,2,0,48,9,-1,true,54,66.67,77.65,70.5,0.0
39,18,1,2,0,2,0,9,31,-1,true,52,69.57,73.0,91.25,0.0
40,23,1,2,0,2,0,40,48,-1,true,53,68.0,76.67,76.94,0.0
41,10,1,2,0,2,0,34,19,-1,true,52,72.37,70.59,73.0,0.0
42,30,1,2,0,2,0,19,12,-1,true,52,70.31,79.0,85.04,0.0
43,49,1,2,0,2,0,38,12,-1,true,53,69.77,65.26,77.22,0.0
44,33,1,2,0,2,0,31,40,-1,true,52,50.0,89.25,77.78,0.0
45,28,1,2,0,2,0,48,19,-1,true,54,80.0,82.59,73.0,0.0
46,4,1,2,0,2,0,34,19,-1,true,52,80.56,75.0,76.0,0.0
47,11,1,2,0,2,1,7,34,31,true,54,88.89,82.5,67.65,85.5
48,35,1,2,0,2,0,34,48,-1,true,55,68.18,70.88,75.53,0.0
49,43,1,2,0,2,0,34,9,-1,true,53,75.0,71.76,76.0,0.0
50,8,1,2,0,2,0,9,40,-1,true,53,76.32,76.0,76.67,0.0
51,24,1,2,0,2,0,38,40,-1,true,54,74.19,68.42,75.56,0.0
52,19,1,2,1,1,2,49,37,-1,true,53,78.0,0.0,0.0,0.0
53,19,1,2,1,0,0,-1,-1,-1,true,54,74.0,0.0,0.0,0.0
54,19,1,2,1,0,0,-1,-1,-1,true,55,75.0,0.0,0.0,0.0
55,48,1,2,2,0,0,-1,-1,-1,false,0,65.88,0.0,0.0,0.0
56,10,1,3,0,2,0,30,3,-1,true,70,73.68,72.81,73.33,0.0
57,19,1,3,0,2,0,7,9,-1,true,72,55.0,88.5,76.5,0.0
58,40,1,3,0,2,0,9,3,-1,true,70,44.44,74.0,73.89,0.0
59,13,1,3,0,2,1,31,38,30,true,71,81.03,92.0,66.32,74.06
60,0,1,3,0,2,0,23,49,-1,true,72,74.0,71.2,74.65,0.0
61,11,1,3,0,0,2,49,23,-1,false,0,88.89,70.93,71.2,0.0
62,35,1,3,0,2,0,33,30,-1,true,70,68.18,82.0,70.62,0.0
63,29,1,3,0,2,0,30,3,-1,true,70,76.14,74.38,74.44,0.0
64,43,1,3,0,2,0,49,23,-1,true,70,73.44,71.63,70.0,0.0
65,47,1,3,0,2,0,9,7,-1,true,72,67.44,72.5,87.0,0.0
66,8,1,3,0,2,0,4,30,-1,true,71,76.32,74.17,74.06,0.0
67,26,1,3,0,2,0,31,3,-1,true,71,58.33,91.75,73.33,0.0
68,21,1,3,0,2,0,49,38,-1,true,72,70.37,73.26,70.53,0.0
69,42,1,3,0,2,0,9,31,-1,true,71,67.95,78.5,93.5,0.0
70,9,1,3,1,0,0,-1,-1,-1,true,71,74.5,0.0,0.0,0.0
71,30,1,3,1,1,0,40,-1,-1,true,72,72.81,0.0,0.0,0.0
72,7,1,3,2,0,0,-1,-1,-1,false,0,74.17,0.0,0.0,0.0
73,1,1,4,0,2,0,35,9,-1,true,88,64.0,73.18,75.0,0.0
74,18,1,4,0,2,0,6,12,-1,true,87,67.39,97.33,80.87,0.0
75,15,1,4,0,2,0,38,6,-1,true,87,70.73,67.89,97.33,0.0
76,30,1,4,0,2,0,23,29,-1,true,88,71.88,71.6,72.95,0.0
77,13,1,4,0,2,0,9,48,-1,true,88,79.31,75.0,82.59,0.0
78,49,1,4,0,2,0,19,23,-1,true,87,73.26,77.0,71.6,0.0
79,41,1,4,0,2,0,6,0,-1,true,87,67.02,96.0,74.8,0.0
80,33,1,4,0,2,0,48,12,-1,true,88,50.0,84.0,82.43,0.0
81,47,1,4,0,2,0,6,19,-1,true,88,70.93,97.33,76.0,0.0
82,8,1,4,0,2,0,23,9,-1,true,89,76.32,71.6,75.5,0.0
83,16,1,4,0,1,2,38,48,23,false,0,82.14,67.89,84.0,70.8
