modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,4,1,0,0,2,0,14,9,-1,true,17,40.0,34.0,41.67,0.0
3,16,1,0,0,2,0,36,0,-1,true,16,21.88,39.52,46.88,0.0
4,19,1,0,0,2,0,17,7,-1,true,17,34.78,51.86,49.09,0.0
5,20,1,0,0,2,0,36,3,-1,true,16,25.0,27.62,33.89,0.0
6,22,1,0,0,2,0,9,36,-1,true,16,53.06,54.58,55.71,0.0
7,24,1,0,0,0,2,26,3,-1,false,0,60.0,42.97,37.22,0.0
8,25,1,0,0,2,0,10,43,-1,true,16,29.17,33.33,37.69,0.0
9,29,1,0,0,2,0,10,21,-1,true,16,42.5,48.57,55.06,0.0
10,30,1,0,0,1,2,7,21,36,false,0,50.0,40.0,44.12,39.05
11,39,1,0,0,2,0,21,43,-1,true,16,20.0,26.47,33.85,0.0
12,40,1,0,0,0,2,36,43,-1,false,0,45.0,31.9,33.08,0.0
13,44,1,0,0,2,0,43,21,-1,true,17,46.15,45.38,51.88,0.0
14,46,1,0,0,1,2,3,26,10,false,0,50.0,37.22,44.9,31.67
15,48,1,0,0,1,2,43,21,14,false,0,67.71,56.15,70.94,55.0
16,36,1,0,1,0,0,-1,-1,-1,true,17,39.52,0.0,0.0,0.0
17,21,1,0,2,0,0,-1,-1,-1,false,0,35.59,0.0,0.0,0.0
18,42,1,1,0,2,0,36,20,-1,true,24,62.12,62.38,61.25,0.0
19,41,1,1,0,2,0,20,29,-1,true,24,70.73,65.0,68.5,0.0
20,48,1,1,0,2,0,21,29,-1,true,24,77.08,69.71,68.0,0.0
21,4,1,1,0,2,0,21,25,-1,true,24,57.5,63.53,79.0,0.0
22,3,1,1,0,0,2,29,40,-1,false,0,87.5,57.5,68.0,0.0
23,1,1,1,0,1,2,7,21,20,false,0,75.0,74.73,57.65,58.75
24,20,1,1,2,0,0,-1,-1,-1,false,0,72.5,0.0,0.0,0.0
25,42,1,2,0,2,0,10,45,-1,true,33,69.7,89.14,90.0,0.0
26,41,1,2,0,2,0,10,36,-1,true,33,70.73,83.43,83.43,0.0
27,5,1,2,0,2,0,45,4,-1,true,33,84.71,88.71,79.2,0.0
28,46,1,2,0,2,0,21,40,-1,true,34,66.67,81.53,78.0,0.0
29,2,1,2,0,2,0,19,10,-1,true,33,71.43,88.17,88.86,0.0
30,47,1,2,0,2,0,16,21,-1,true,33,83.33,84.0,86.82,0.0
31,3,1,2,0,2,0,7,10,-1,true,34,66.67,70.45,82.29,0.0
32,49,1,2,0,2,0,16,19,-1,true,33,70.41,85.5,88.17,0.0
33,21,1,2,1,1,1,4,26,-1,true,34,77.06,0.0,0.0,0.0
34,10,1,2,2,0,0,-1,-1,-1,false,0,77.38,0.0,0.0,0.0
35,35,1,3,0,2,0,43,20,-1,true,54,73.85,70.77,79.5,0.0
36,48,1,3,0,2,0,19,41,-1,true,53,78.12,78.26,76.59,0.0
37,30,1,3,0,2,0,3,20,-1,true,53,77.78,91.33,84.0,0.0
38,29,1,3,0,2,0,40,43,-1,true,53,77.5,85.0,70.77,0.0
39,33,1,3,0,1,2,17,41,46,false,0,99.57,94.33,77.56,70.0
40,38,1,3,0,2,0,19,3,-1,true,53,77.59,79.57,99.33,0.0
41,39,1,3,0,2,0,25,46,-1,true,54,75.0,72.5,76.67,0.0
42,16,1,3,0,2,0,20,3,-1,true,54,62.5,73.5,79.33,0.0
