modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,1,1,0,0,2,0,23,33,-1,true,19,61.0,58.4,54.0,0.0
3,5,1,0,0,1,2,33,31,23,false,0,62.82,38.0,62.75,52.4
4,11,1,0,0,2,0,48,9,-1,true,18,22.22,37.41,34.0,0.0
5,13,1,0,0,2,0,31,23,-1,true,18,56.9,60.25,49.2,0.0
6,18,1,0,0,2,0,4,29,-1,true,21,36.96,46.11,41.59,0.0
7,20,1,0,0,2,0,0,23,-1,true,18,35.29,38.8,39.6,0.0
8,21,1,0,0,2,0,23,48,-1,true,20,44.44,46.8,55.06,0.0
9,24,1,0,0,2,0,33,19,-1,true,19,50.0,44.0,51.0,0.0
10,28,1,0,0,2,0,0,23,-1,true,20,54.44,52.8,54.4,0.0
11,30,1,0,0,2,1,31,9,4,true,18,64.06,59.5,51.5,54.72
12,39,1,0,0,2,0,32,31,-1,true,18,50.0,64.0,69.0,0.0
13,40,1,0,0,2,0,29,48,-1,true,19,33.33,24.77,31.76,0.0
14,41,1,0,0,2,1,19,33,32,true,19,59.57,55.0,44.0,65.71
15,42,1,0,0,2,1,19,31,0,true,20,65.38,50.0,67.25,59.6
16,43,1,0,0,2,0,19,29,-1,true,19,43.75,51.0,54.09,0.0
17,47,1,0,0,2,0,0,31,-1,true,21,60.47,62.4,70.0,0.0
18,4,1,0,1,1,0,0,-1,-1,true,20,49.44,0.0,0.0,0.0
19,33,1,0,1,0,0,-1,-1,-1,true,20,38.0,0.0,0.0,0.0
20,0,1,0,1,0,0,-1,-1,-1,true,21,47.2,0.0,0.0,0.0
21,31,1,0,2,0,0,-1,-1,-1,false,0,47.5,0.0,0.0,0.0
22,44,1,1,0,2,0,40,0,-1,true,36,68.06,70.0,75.6,0.0
23,1,1,1,0,2,0,23,29,-1,true,38,70.0,68.0,68.64,0.0
24,46,1,1,0,2,1,0,23,40,true,39,81.08,74.0,70.4,73.33
25,27,1,1,0,2,0,29,30,-1,true,36,75.0,69.55,69.38,0.0
26,39,1,1,0,2,0,31,23,-1,true,36,65.62,82.0,70.0,0.0
27,34,1,1,0,2,0,31,47,-1,true,37,69.12,79.5,67.44,0.0
28,5,1,1,0,2,0,24,31,-1,true,37,70.51,70.65,83.25,0.0
29,9,1,1,0,2,0,32,40,-1,true,36,77.5,75.43,67.78,0.0
30,13,1,1,0,2,0,30,4,-1,true,37,70.69,70.94,70.0,0.0
31,20,1,1,0,2,0,4,32,-1,true,36,50.0,67.22,69.71,0.0
32,28,1,1,0,2,0,0,32,-1,true,38,62.22,70.4,78.29,0.0
33,16,1,1,0,2,0,29,23,-1,true,37,67.86,62.5,62.8,0.0
34,21,1,1,0,2,0,40,0,-1,true,38,62.96,64.44,73.6,0.0
35,42,1,1,0,2,0,31,4,-1,true,38,75.64,79.25,69.44,0.0
36,23,1,1,1,0,0,-1,-1,-1,true,37,67.2,0.0,0.0,0.0
37,31,1,1,1,0,0,-1,-1,-1,true,38,66.67,0.0,0.0,0.0
38,4,1,1,1,0,0,-1,-1,-1,true,39,71.94,0.0,0.0,0.0
39,4,1,1,2,0,0,-1,-1,-1,false,0,73.06,0.0,0.0,0.0
40,44,1,2,0,2,0,31,19,-1,true,55,68.06,84.75,65.0,0.0
41,46,1,2,0,2,0,40,31,-1,true,55,79.73,73.33,89.0,0.0
42,15,1,2,0,2,0,11,31,-1,true,54,75.61,73.33,87.75,0.0
43,1,1,2,0,2,1,19,40,0,true,56,78.0,68.0,75.56,75.2
44,23,1,2,0,0,2,29,40,-1,false,0,88.0,72.5,76.67,0.0
45,30,1,2,0,2,0,24,0,-1,true,54,76.56,75.48,80.4,0.0
46,5,1,2,0,2,0,32,0,-1,true,54,71.79,86.29,79.2,0.0
47,20,1,2,0,2,0,42,24,-1,true,56,55.88,73.85,66.77,0.0
48,33,1,2,0,0,2,48,11,-1,false,0,100.0,74.82,63.33,0.0
49,28,1,2,0,2,0,11,48,-1,true,55,65.56,76.67,88.94,0.0
50,4,1,2,0,2,0,42,24,-1,true,56,63.89,76.92,68.39,0.0
51,38,1,2,0,2,1,19,48,40,true,54,71.05,60.0,85.41,70.0
52,43,1,2,0,2,0,32,29,-1,true,55,68.75,82.86,71.36,0.0
53,47,1,2,0,2,0,11,31,-1,true,54,69.77,74.44,83.25,0.0
54,40,1,2,1,0,0,-1,-1,-1,true,55,78.89,0.0,0.0,0.0
55,40,1,2,1,0,0,-1,-1,-1,true,56,77.78,0.0,0.0,0.0
56,24,1,2,2,0,0,-1,-1,-1,false,0,74.84,0.0,0.0,0.0
57,46,1,3,0,2,0,22,30,-1,true,72,75.68,87.71,74.69,0.0
58,1,1,3,0,2,0,4,30,-1,true,72,79.0,76.11,75.31,0.0
59,44,1,3,0,2,0,23,42,-1,true,75,81.94,72.4,78.97,0.0
60,18,1,3,0,2,0,32,23,-1,true,74,73.91,78.86,73.2,0.0
61,3,1,3,0,2,0,0,30,-1,true,73,75.0,79.2,79.38,0.0
62,15,1,3,0,2,0,31,0,-1,true,72,80.49,91.25,77.2,0.0
63,19,1,3,0,2,0,29,4,-1,true,72,45.0,65.68,66.94,0.0
64,49,1,3,0,2,0,30,31,-1,true,72,68.6,72.5,86.25,0.0
65,5,1,3,0,2,0,24,0,-1,true,73,69.23,73.87,78.0,0.0
66,41,1,3,0,2,0,4,22,-1,true,74,74.47,73.33,84.86,0.0
