modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,3,1,0,0,2,0,42,11,-1,true,18,41.67,42.05,48.89,0.0
3,4,1,0,0,2,0,48,30,-1,true,17,61.11,64.24,55.0,0.0
4,5,1,0,0,2,0,9,19,-1,true,17,50.0,60.0,49.0,0.0
5,18,1,0,0,2,0,31,0,-1,true,17,41.3,58.25,46.8,0.0
6,20,1,0,0,0,2,0,30,-1,false,0,44.12,32.0,31.56,0.0
7,21,1,0,0,1,2,30,31,40,false,0,64.81,49.38,62.5,47.78
8,23,1,0,0,1,2,29,40,9,false,0,40.0,30.91,30.0,29.5
9,26,1,0,0,2,1,29,0,31,true,19,55.56,44.09,46.4,58.75
10,27,1,0,0,0,2,40,19,-1,false,0,52.78,41.11,28.0,0.0
11,28,1,0,0,2,0,31,40,-1,true,18,57.78,67.0,50.0,0.0
12,33,1,0,0,0,2,30,40,-1,false,0,40.0,21.25,24.44,0.0
13,39,1,0,0,2,0,30,11,-1,true,18,65.62,56.25,63.33,0.0
14,41,1,0,0,2,0,19,11,-1,true,17,65.96,60.0,61.11,0.0
15,43,1,0,0,2,0,9,0,-1,true,18,50.0,51.5,47.2,0.0
16,46,1,0,0,2,0,11,31,-1,true,17,59.46,54.44,64.0,0.0
17,42,1,0,1,0,0,-1,-1,-1,true,18,46.92,0.0,0.0,0.0
18,42,1,0,1,0,0,-1,-1,-1,true,19,46.67,0.0,0.0,0.0
19,42,1,0,2,0,0,-1,-1,-1,false,0,45.9,0.0,0.0,0.0
20,18,1,1,0,2,0,42,40,-1,true,36,58.7,59.23,55.56,0.0
21,46,1,1,0,1,2,14,23,19,false,0,71.62,81.21,61.2,59.0
22,27,1,1,0,2,0,40,42,-1,true,37,63.89,60.0,60.26,0.0
23,34,1,1,0,2,1,19,7,5,true,36,69.12,54.0,68.5,61.03
24,41,1,1,0,2,0,19,11,-1,true,37,63.83,60.0,63.33,0.0
25,0,1,1,0,2,0,30,40,-1,true,37,58.0,61.25,55.56,0.0
26,4,1,1,0,2,0,19,48,-1,true,35,65.28,58.0,75.53,0.0
27,2,1,1,0,2,0,23,19,-1,true,35,52.27,63.2,56.0,0.0
28,29,1,1,0,2,1,40,30,11,true,36,67.05,56.67,61.88,66.67
29,16,1,1,0,2,0,14,23,-1,true,36,57.14,67.53,56.8,0.0
