modelId,nodeId,taskId,round,type,positiveVote,negativeVote,evaluator1,evaluator2,evaluator3,aggregated,aggModelId,accuracy,acc1,acc2,acc3
1,-1,1,0,2,0,0,-1,-1,-1,true,0,0.0,0.0,0.0,0.0
2,0,1,0,0,2,0,20,3,-1,true,14,50.0,48.24,50.56,0.0
3,1,1,0,0,2,0,3,6,-1,true,14,59.0,56.67,78.67,0.0
4,2,1,0,0,2,0,18,32,-1,true,16,36.36,45.22,58.29,0.0
5,4,1,0,0,2,0,34,6,-1,true,14,54.17,60.88,69.33,0.0
6,5,1,0,0,2,0,32,27,-1,true,15,48.72,65.71,54.44,0.0
7,9,1,0,0,2,0,33,6,-1,true,14,42.5,52.0,56.0,0.0
8,11,1,0,0,2,0,27,20,-1,true,15,27.78,27.22,21.76,0.0
9,23,1,0,0,2,0,6,15,-1,true,14,64.0,74.67,60.49,0.0
10,38,1,0,0,2,0,6,3,-1,true,16,52.63,57.33,43.89,0.0
11,39,1,0,0,2,0,46,15,-1,true,16,60.42,64.86,66.83,0.0
12,40,1,0,0,2,0,46,0,-1,true,15,5.56,20.0,24.4,0.0
13,41,1,0,0,2,0,3,33,-1,true,15,54.26,51.67,64.0,0.0
14,6,1,0,1,0,2,10,15,-1,true,15,47.78,0.0,0.0,0.0
15,6,1,0,1,0,2,15,20,-1,true,16,46.67,0.0,0.0,0.0
16,6,1,0,2,0,0,-1,-1,-1,false,0,47.78,0.0,0.0,0.0
17,1,1,1,0,2,0,27,20,-1,true,35,63.0,73.33,74.71,0.0
18,10,1,1,0,2,0,33,0,-1,true,35,60.53,72.0,70.0,0.0
19,39,1,1,0,2,0,27,3,-1,true,37,67.71,73.33,71.11,0.0
20,30,1,1,0,2,0,3,20,-1,true,35,62.5,60.56,65.29,0.0
21,5,1,1,0,2,0,34,15,-1,true,36,61.54,69.12,73.9,0.0
22,9,1,1,0,2,0,3,33,-1,true,35,65.0,62.22,68.0,0.0
23,13,1,1,0,2,0,33,20,-1,true,38,75.86,68.0,67.06,0.0
24,41,1,1,0,2,0,19,18,-1,true,37,57.45,69.0,67.83,0.0
25,11,1,1,0,2,0,15,27,-1,true,35,61.11,67.8,65.0,0.0
26,4,1,1,0,2,0,18,3,-1,true,37,58.33,68.7,63.89,0.0
27,38,1,1,0,2,1,3,19,15,true,38,71.05,58.33,65.0,68.05
28,35,1,1,0,2,0,20,23,-1,true,38,67.05,66.47,66.8,0.0
29,2,1,1,0,2,0,23,18,-1,true,36,68.18,66.8,65.22,0.0
30,29,1,1,0,2,0,3,19,-1,true,36,69.32,75.0,77.0,0.0
31,43,1,1,0,2,1,3,20,15,true,37,68.75,57.78,64.71,66.83
32,47,1,1,0,2,0,34,27,-1,true,38,72.09,73.53,70.0,0.0
33,8,1,1,0,2,0,15,33,-1,true,39,55.26,66.83,68.0,0.0
34,16,1,1,0,2,0,33,3,-1,true,36,71.43,64.0,63.89,0.0
